# Unicode Characters in the Enclosed Alphanumeric Supplement Block
# Source: http://www.fileformat.info/info/unicode/block/enclosed_alphanumeric_supplement/list.htm
"U+1F100", "\xe1\xbc\x90\x30", "DIGIT ZERO FULL STOP (U+1F100)"
"U+1F101", "\xe1\xbc\x90\x31", "DIGIT ZERO COMMA (U+1F101)"
"U+1F102", "\xe1\xbc\x90\x32", "DIGIT ONE COMMA (U+1F102)"
"U+1F103", "\xe1\xbc\x90\x33", "DIGIT TWO COMMA (U+1F103)"
"U+1F104", "\xe1\xbc\x90\x34", "DIGIT THREE COMMA (U+1F104)"
"U+1F105", "\xe1\xbc\x90\x35", "DIGIT FOUR COMMA (U+1F105)"
"U+1F106", "\xe1\xbc\x90\x36", "DIGIT FIVE COMMA (U+1F106)"
"U+1F107", "\xe1\xbc\x90\x37", "DIGIT SIX COMMA (U+1F107)"
"U+1F108", "\xe1\xbc\x90\x38", "DIGIT SEVEN COMMA (U+1F108)"
"U+1F109", "\xe1\xbc\x90\x39", "DIGIT EIGHT COMMA (U+1F109)"
"U+1F10A", "\xe1\xbc\x90\x41", "DIGIT NINE COMMA (U+1F10A)"
"U+1F110", "\xe1\xbc\x91\x30", "PARENTHESIZED LATIN CAPITAL LETTER A (U+1F110)"
"U+1F111", "\xe1\xbc\x91\x31", "PARENTHESIZED LATIN CAPITAL LETTER B (U+1F111)"
"U+1F112", "\xe1\xbc\x91\x32", "PARENTHESIZED LATIN CAPITAL LETTER C (U+1F112)"
"U+1F113", "\xe1\xbc\x91\x33", "PARENTHESIZED LATIN CAPITAL LETTER D (U+1F113)"
"U+1F114", "\xe1\xbc\x91\x34", "PARENTHESIZED LATIN CAPITAL LETTER E (U+1F114)"
"U+1F115", "\xe1\xbc\x91\x35", "PARENTHESIZED LATIN CAPITAL LETTER F (U+1F115)"
"U+1F116", "\xe1\xbc\x91\x36", "PARENTHESIZED LATIN CAPITAL LETTER G (U+1F116)"
"U+1F117", "\xe1\xbc\x91\x37", "PARENTHESIZED LATIN CAPITAL LETTER H (U+1F117)"
"U+1F118", "\xe1\xbc\x91\x38", "PARENTHESIZED LATIN CAPITAL LETTER I (U+1F118)"
"U+1F119", "\xe1\xbc\x91\x39", "PARENTHESIZED LATIN CAPITAL LETTER J (U+1F119)"
"U+1F11A", "\xe1\xbc\x91\x41", "PARENTHESIZED LATIN CAPITAL LETTER K (U+1F11A)"
"U+1F11B", "\xe1\xbc\x91\x42", "PARENTHESIZED LATIN CAPITAL LETTER L (U+1F11B)"
"U+1F11C", "\xe1\xbc\x91\x43", "PARENTHESIZED LATIN CAPITAL LETTER M (U+1F11C)"
"U+1F11D", "\xe1\xbc\x91\x44", "PARENTHESIZED LATIN CAPITAL LETTER N (U+1F11D)"
"U+1F11E", "\xe1\xbc\x91\x45", "PARENTHESIZED LATIN CAPITAL LETTER O (U+1F11E)"
"U+1F11F", "\xe1\xbc\x91\x46", "PARENTHESIZED LATIN CAPITAL LETTER P (U+1F11F)"
"U+1F120", "\xe1\xbc\x92\x30", "PARENTHESIZED LATIN CAPITAL LETTER Q (U+1F120)"
"U+1F121", "\xe1\xbc\x92\x31", "PARENTHESIZED LATIN CAPITAL LETTER R (U+1F121)"
"U+1F122", "\xe1\xbc\x92\x32", "PARENTHESIZED LATIN CAPITAL LETTER S (U+1F122)"
"U+1F123", "\xe1\xbc\x92\x33", "PARENTHESIZED LATIN CAPITAL LETTER T (U+1F123)"
"U+1F124", "\xe1\xbc\x92\x34", "PARENTHESIZED LATIN CAPITAL LETTER U (U+1F124)"
"U+1F125", "\xe1\xbc\x92\x35", "PARENTHESIZED LATIN CAPITAL LETTER V (U+1F125)"
"U+1F126", "\xe1\xbc\x92\x36", "PARENTHESIZED LATIN CAPITAL LETTER W (U+1F126)"
"U+1F127", "\xe1\xbc\x92\x37", "PARENTHESIZED LATIN CAPITAL LETTER X (U+1F127)"
"U+1F128", "\xe1\xbc\x92\x38", "PARENTHESIZED LATIN CAPITAL LETTER Y (U+1F128)"
"U+1F129", "\xe1\xbc\x92\x39", "PARENTHESIZED LATIN CAPITAL LETTER Z (U+1F129)"
"U+1F12A", "\xe1\xbc\x92\x41", "TORTOISE SHELL BRACKETED LATIN CAPITAL LETTER S (U+1F12A)"
"U+1F12B", "\xe1\xbc\x92\x42", "CIRCLED ITALIC LATIN CAPITAL LETTER C (U+1F12B)"
"U+1F12C", "\xe1\xbc\x92\x43", "CIRCLED ITALIC LATIN CAPITAL LETTER R (U+1F12C)"
"U+1F12D", "\xe1\xbc\x92\x44", "CIRCLED CD (U+1F12D)"
"U+1F12E", "\xe1\xbc\x92\x45", "CIRCLED WZ (U+1F12E)"
"U+1F130", "\xe1\xbc\x93\x30", "SQUARED LATIN CAPITAL LETTER A (U+1F130)"
"U+1F131", "\xe1\xbc\x93\x31", "SQUARED LATIN CAPITAL LETTER B (U+1F131)"
"U+1F132", "\xe1\xbc\x93\x32", "SQUARED LATIN CAPITAL LETTER C (U+1F132)"
"U+1F133", "\xe1\xbc\x93\x33", "SQUARED LATIN CAPITAL LETTER D (U+1F133)"
"U+1F134", "\xe1\xbc\x93\x34", "SQUARED LATIN CAPITAL LETTER E (U+1F134)"
"U+1F135", "\xe1\xbc\x93\x35", "SQUARED LATIN CAPITAL LETTER F (U+1F135)"
"U+1F136", "\xe1\xbc\x93\x36", "SQUARED LATIN CAPITAL LETTER G (U+1F136)"
"U+1F137", "\xe1\xbc\x93\x37", "SQUARED LATIN CAPITAL LETTER H (U+1F137)"
"U+1F138", "\xe1\xbc\x93\x38", "SQUARED LATIN CAPITAL LETTER I (U+1F138)"
"U+1F139", "\xe1\xbc\x93\x39", "SQUARED LATIN CAPITAL LETTER J (U+1F139)"
"U+1F13A", "\xe1\xbc\x93\x41", "SQUARED LATIN CAPITAL LETTER K (U+1F13A)"
"U+1F13B", "\xe1\xbc\x93\x42", "SQUARED LATIN CAPITAL LETTER L (U+1F13B)"
"U+1F13C", "\xe1\xbc\x93\x43", "SQUARED LATIN CAPITAL LETTER M (U+1F13C)"
"U+1F13D", "\xe1\xbc\x93\x44", "SQUARED LATIN CAPITAL LETTER N (U+1F13D)"
"U+1F13E", "\xe1\xbc\x93\x45", "SQUARED LATIN CAPITAL LETTER O (U+1F13E)"
"U+1F13F", "\xe1\xbc\x93\x46", "SQUARED LATIN CAPITAL LETTER P (U+1F13F)"
"U+1F140", "\xe1\xbc\x94\x30", "SQUARED LATIN CAPITAL LETTER Q (U+1F140)"
"U+1F141", "\xe1\xbc\x94\x31", "SQUARED LATIN CAPITAL LETTER R (U+1F141)"
"U+1F142", "\xe1\xbc\x94\x32", "SQUARED LATIN CAPITAL LETTER S (U+1F142)"
"U+1F143", "\xe1\xbc\x94\x33", "SQUARED LATIN CAPITAL LETTER T (U+1F143)"
"U+1F144", "\xe1\xbc\x94\x34", "SQUARED LATIN CAPITAL LETTER U (U+1F144)"
"U+1F145", "\xe1\xbc\x94\x35", "SQUARED LATIN CAPITAL LETTER V (U+1F145)"
"U+1F146", "\xe1\xbc\x94\x36", "SQUARED LATIN CAPITAL LETTER W (U+1F146)"
"U+1F147", "\xe1\xbc\x94\x37", "SQUARED LATIN CAPITAL LETTER X (U+1F147)"
"U+1F148", "\xe1\xbc\x94\x38", "SQUARED LATIN CAPITAL LETTER Y (U+1F148)"
"U+1F149", "\xe1\xbc\x94\x39", "SQUARED LATIN CAPITAL LETTER Z (U+1F149)"
"U+1F14A", "\xe1\xbc\x94\x41", "SQUARED HV (U+1F14A)"
"U+1F14B", "\xe1\xbc\x94\x42", "SQUARED MV (U+1F14B)"
