# Unicode Characters in the Enclosed Ideographic Supplement Block
# Source: http://www.fileformat.info/info/unicode/block/enclosed_ideographic_supplement/list.htm
"U+1F200", "\xe1\xbc\xa0\x30", "SQUARE HIRAGANA HOKA (U+1F200)"
"U+1F201", "\xe1\xbc\xa0\x31", "SQUARED KATAKANA KOKO (U+1F201)"
"U+1F202", "\xe1\xbc\xa0\x32", "SQUARED KATAKANA SA (U+1F202)"
"U+1F210", "\xe1\xbc\xa1\x30", "SQUARED CJK UNIFIED IDEOGRAPH-624B (U+1F210)"
"U+1F211", "\xe1\xbc\xa1\x31", "SQUARED CJK UNIFIED IDEOGRAPH-5B57 (U+1F211)"
"U+1F212", "\xe1\xbc\xa1\x32", "SQUARED CJK UNIFIED IDEOGRAPH-53CC (U+1F212)"
"U+1F213", "\xe1\xbc\xa1\x33", "SQUARED KATAKANA DE (U+1F213)"
"U+1F214", "\xe1\xbc\xa1\x34", "SQUARED CJK UNIFIED IDEOGRAPH-4E8C (U+1F214)"
"U+1F215", "\xe1\xbc\xa1\x35", "SQUARED CJK UNIFIED IDEOGRAPH-591A (U+1F215)"
"U+1F216", "\xe1\xbc\xa1\x36", "SQUARED CJK UNIFIED IDEOGRAPH-89E3 (U+1F216)"
"U+1F217", "\xe1\xbc\xa1\x37", "SQUARED CJK UNIFIED IDEOGRAPH-5929 (U+1F217)"
"U+1F218", "\xe1\xbc\xa1\x38", "SQUARED CJK UNIFIED IDEOGRAPH-4EA4 (U+1F218)"
"U+1F219", "\xe1\xbc\xa1\x39", "SQUARED CJK UNIFIED IDEOGRAPH-6620 (U+1F219)"
"U+1F21A", "\xe1\xbc\xa1\x41", "SQUARED CJK UNIFIED IDEOGRAPH-7121 (U+1F21A)"
"U+1F21B", "\xe1\xbc\xa1\x42", "SQUARED CJK UNIFIED IDEOGRAPH-6599 (U+1F21B)"
"U+1F21C", "\xe1\xbc\xa1\x43", "SQUARED CJK UNIFIED IDEOGRAPH-524D (U+1F21C)"
"U+1F21D", "\xe1\xbc\xa1\x44", "SQUARED CJK UNIFIED IDEOGRAPH-5F8C (U+1F21D)"
"U+1F21E", "\xe1\xbc\xa1\x45", "SQUARED CJK UNIFIED IDEOGRAPH-518D (U+1F21E)"
"U+1F21F", "\xe1\xbc\xa1\x46", "SQUARED CJK UNIFIED IDEOGRAPH-65B0 (U+1F21F)"
"U+1F220", "\xe1\xbc\xa2\x30", "SQUARED CJK UNIFIED IDEOGRAPH-521D (U+1F220)"
"U+1F221", "\xe1\xbc\xa2\x31", "SQUARED CJK UNIFIED IDEOGRAPH-7D42 (U+1F221)"
"U+1F222", "\xe1\xbc\xa2\x32", "SQUARED CJK UNIFIED IDEOGRAPH-751F (U+1F222)"
"U+1F223", "\xe1\xbc\xa2\x33", "SQUARED CJK UNIFIED IDEOGRAPH-8CA9 (U+1F223)"
"U+1F224", "\xe1\xbc\xa2\x34", "SQUARED CJK UNIFIED IDEOGRAPH-58F0 (U+1F224)"
"U+1F225", "\xe1\xbc\xa2\x35", "SQUARED CJK UNIFIED IDEOGRAPH-5439 (U+1F225)"
"U+1F226", "\xe1\xbc\xa2\x36", "SQUARED CJK UNIFIED IDEOGRAPH-6F14 (U+1F226)"
"U+1F227", "\xe1\xbc\xa2\x37", "SQUARED CJK UNIFIED IDEOGRAPH-6295 (U+1F227)"
"U+1F228", "\xe1\xbc\xa2\x38", "SQUARED CJK UNIFIED IDEOGRAPH-6355 (U+1F228)"
"U+1F229", "\xe1\xbc\xa2\x39", "SQUARED CJK UNIFIED IDEOGRAPH-4E00 (U+1F229)"
"U+1F22A", "\xe1\xbc\xa2\x41", "SQUARED CJK UNIFIED IDEOGRAPH-4E09 (U+1F22A)"
"U+1F22B", "\xe1\xbc\xa2\x42", "SQUARED CJK UNIFIED IDEOGRAPH-904A (U+1F22B)"
"U+1F22C", "\xe1\xbc\xa2\x43", "SQUARED CJK UNIFIED IDEOGRAPH-5DE6 (U+1F22C)"
"U+1F22D", "\xe1\xbc\xa2\x44", "SQUARED CJK UNIFIED IDEOGRAPH-4E2D (U+1F22D)"
"U+1F22E", "\xe1\xbc\xa2\x45", "SQUARED CJK UNIFIED IDEOGRAPH-53F3 (U+1F22E)"
"U+1F22F", "\xe1\xbc\xa2\x46", "SQUARED CJK UNIFIED IDEOGRAPH-6307 (U+1F22F)"
"U+1F230", "\xe1\xbc\xa3\x30", "SQUARED CJK UNIFIED IDEOGRAPH-8D70 (U+1F230)"
"U+1F231", "\xe1\xbc\xa3\x31", "SQUARED CJK UNIFIED IDEOGRAPH-6253 (U+1F231)"
"U+1F232", "\xe1\xbc\xa3\x32", "SQUARED CJK UNIFIED IDEOGRAPH-7981 (U+1F232)"
"U+1F233", "\xe1\xbc\xa3\x33", "SQUARED CJK UNIFIED IDEOGRAPH-7A7A (U+1F233)"
"U+1F234", "\xe1\xbc\xa3\x34", "SQUARED CJK UNIFIED IDEOGRAPH-5408 (U+1F234)"
"U+1F235", "\xe1\xbc\xa3\x35", "SQUARED CJK UNIFIED IDEOGRAPH-6E80 (U+1F235)"
"U+1F236", "\xe1\xbc\xa3\x36", "SQUARED CJK UNIFIED IDEOGRAPH-6709 (U+1F236)"
"U+1F237", "\xe1\xbc\xa3\x37", "SQUARED CJK UNIFIED IDEOGRAPH-6708 (U+1F237)"
"U+1F238", "\xe1\xbc\xa3\x38", "SQUARED CJK UNIFIED IDEOGRAPH-7533 (U+1F238)"
"U+1F239", "\xe1\xbc\xa3\x39", "SQUARED CJK UNIFIED IDEOGRAPH-5272 (U+1F239)"
"U+1F23A", "\xe1\xbc\xa3\x41", "SQUARED CJK UNIFIED IDEOGRAPH-55B6 (U+1F23A)"
"U+1F240", "\xe1\xbc\xa4\x30", "TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-672C (U+1F240)"
"U+1F241", "\xe1\xbc\xa4\x31", "TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-4E09 (U+1F241)"
"U+1F242", "\xe1\xbc\xa4\x32", "TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-4E8C (U+1F242)"
"U+1F243", "\xe1\xbc\xa4\x33", "TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-5B89 (U+1F243)"
"U+1F244", "\xe1\xbc\xa4\x34", "TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-70B9 (U+1F244)"
"U+1F245", "\xe1\xbc\xa4\x35", "TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-6253 (U+1F245)"
"U+1F246", "\xe1\xbc\xa4\x36", "TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-76D7 (U+1F246)"
"U+1F247", "\xe1\xbc\xa4\x37", "TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-52DD (U+1F247)"
"U+1F248", "\xe1\xbc\xa4\x38", "TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-6557 (U+1F248)"
"U+1F250", "\xe1\xbc\xa5\x30", "CIRCLED IDEOGRAPH ADVANTAGE (U+1F250)"
"U+1F251", "\xe1\xbc\xa5\x31", "CIRCLED IDEOGRAPH ACCEPT (U+1F251)"
