# Unicode Characters in the Miscellaneous Symbols And Pictographs Block
# Source: http://www.fileformat.info/info/unicode/block/miscellaneous_symbols_and_pictographs/list.htm
"U+1F300", "\xe1\xbc\xb0\x30", "CYCLONE (U+1F300)"
"U+1F301", "\xe1\xbc\xb0\x31", "FOGGY (U+1F301)"
"U+1F302", "\xe1\xbc\xb0\x32", "CLOSED UMBRELLA (U+1F302)"
"U+1F303", "\xe1\xbc\xb0\x33", "NIGHT WITH STARS (U+1F303)"
"U+1F304", "\xe1\xbc\xb0\x34", "SUNRISE OVER MOUNTAINS (U+1F304)"
"U+1F305", "\xe1\xbc\xb0\x35", "SUNRISE (U+1F305)"
"U+1F306", "\xe1\xbc\xb0\x36", "CITYSCAPE AT DUSK (U+1F306)"
"U+1F307", "\xe1\xbc\xb0\x37", "SUNSET OVER BUILDINGS (U+1F307)"
"U+1F308", "\xe1\xbc\xb0\x38", "RAINBOW (U+1F308)"
"U+1F309", "\xe1\xbc\xb0\x39", "BRIDGE AT NIGHT (U+1F309)"
"U+1F30A", "\xe1\xbc\xb0\x41", "WATER WAVE (U+1F30A)"
"U+1F30B", "\xe1\xbc\xb0\x42", "VOLCANO (U+1F30B)"
"U+1F30C", "\xe1\xbc\xb0\x43", "MILKY WAY (U+1F30C)"
"U+1F30D", "\xe1\xbc\xb0\x44", "EARTH GLOBE EUROPE-AFRICA (U+1F30D)"
"U+1F30E", "\xe1\xbc\xb0\x45", "EARTH GLOBE AMERICAS (U+1F30E)"
"U+1F30F", "\xe1\xbc\xb0\x46", "EARTH GLOBE ASIA-AUSTRALIA (U+1F30F)"
"U+1F310", "\xe1\xbc\xb1\x30", "GLOBE WITH MERIDIANS (U+1F310)"
"U+1F311", "\xe1\xbc\xb1\x31", "NEW MOON SYMBOL (U+1F311)"
"U+1F312", "\xe1\xbc\xb1\x32", "WAXING CRESCENT MOON SYMBOL (U+1F312)"
"U+1F313", "\xe1\xbc\xb1\x33", "FIRST QUARTER MOON SYMBOL (U+1F313)"
"U+1F314", "\xe1\xbc\xb1\x34", "WAXING GIBBOUS MOON SYMBOL (U+1F314)"
"U+1F315", "\xe1\xbc\xb1\x35", "FULL MOON SYMBOL (U+1F315)"
"U+1F316", "\xe1\xbc\xb1\x36", "WANING GIBBOUS MOON SYMBOL (U+1F316)"
"U+1F317", "\xe1\xbc\xb1\x37", "LAST QUARTER MOON SYMBOL (U+1F317)"
"U+1F318", "\xe1\xbc\xb1\x38", "WANING CRESCENT MOON SYMBOL (U+1F318)"
"U+1F319", "\xe1\xbc\xb1\x39", "CRESCENT MOON (U+1F319)"
"U+1F31A", "\xe1\xbc\xb1\x41", "NEW MOON WITH FACE (U+1F31A)"
"U+1F31B", "\xe1\xbc\xb1\x42", "FIRST QUARTER MOON WITH FACE (U+1F31B)"
"U+1F31C", "\xe1\xbc\xb1\x43", "LAST QUARTER MOON WITH FACE (U+1F31C)"
"U+1F31D", "\xe1\xbc\xb1\x44", "FULL MOON WITH FACE (U+1F31D)"
"U+1F31E", "\xe1\xbc\xb1\x45", "SUN WITH FACE (U+1F31E)"
"U+1F31F", "\xe1\xbc\xb1\x46", "GLOWING STAR (U+1F31F)"
"U+1F320", "\xe1\xbc\xb2\x30", "SHOOTING STAR (U+1F320)"
"U+1F330", "\xe1\xbc\xb3\x30", "CHESTNUT (U+1F330)"
"U+1F331", "\xe1\xbc\xb3\x31", "SEEDLING (U+1F331)"
"U+1F332", "\xe1\xbc\xb3\x32", "EVERGREEN TREE (U+1F332)"
"U+1F333", "\xe1\xbc\xb3\x33", "DECIDUOUS TREE (U+1F333)"
"U+1F334", "\xe1\xbc\xb3\x34", "PALM TREE (U+1F334)"
"U+1F335", "\xe1\xbc\xb3\x35", "CACTUS (U+1F335)"
"U+1F337", "\xe1\xbc\xb3\x37", "TULIP (U+1F337)"
"U+1F338", "\xe1\xbc\xb3\x38", "CHERRY BLOSSOM (U+1F338)"
"U+1F339", "\xe1\xbc\xb3\x39", "ROSE (U+1F339)"
"U+1F33A", "\xe1\xbc\xb3\x41", "HIBISCUS (U+1F33A)"
"U+1F33B", "\xe1\xbc\xb3\x42", "SUNFLOWER (U+1F33B)"
"U+1F33C", "\xe1\xbc\xb3\x43", "BLOSSOM (U+1F33C)"
"U+1F33D", "\xe1\xbc\xb3\x44", "EAR OF MAIZE (U+1F33D)"
"U+1F33E", "\xe1\xbc\xb3\x45", "EAR OF RICE (U+1F33E)"
"U+1F33F", "\xe1\xbc\xb3\x46", "HERB (U+1F33F)"
"U+1F340", "\xe1\xbc\xb4\x30", "FOUR LEAF CLOVER (U+1F340)"
"U+1F341", "\xe1\xbc\xb4\x31", "MAPLE LEAF (U+1F341)"
"U+1F342", "\xe1\xbc\xb4\x32", "FALLEN LEAF (U+1F342)"
"U+1F343", "\xe1\xbc\xb4\x33", "LEAF FLUTTERING IN WIND (U+1F343)"
"U+1F344", "\xe1\xbc\xb4\x34", "MUSHROOM (U+1F344)"
"U+1F345", "\xe1\xbc\xb4\x35", "TOMATO (U+1F345)"
"U+1F346", "\xe1\xbc\xb4\x36", "AUBERGINE (U+1F346)"
"U+1F347", "\xe1\xbc\xb4\x37", "GRAPES (U+1F347)"
"U+1F348", "\xe1\xbc\xb4\x38", "MELON (U+1F348)"
"U+1F349", "\xe1\xbc\xb4\x39", "WATERMELON (U+1F349)"
"U+1F34A", "\xe1\xbc\xb4\x41", "TANGERINE (U+1F34A)"
"U+1F34B", "\xe1\xbc\xb4\x42", "LEMON (U+1F34B)"
"U+1F34C", "\xe1\xbc\xb4\x43", "BANANA (U+1F34C)"
"U+1F34D", "\xe1\xbc\xb4\x44", "PINEAPPLE (U+1F34D)"
"U+1F34E", "\xe1\xbc\xb4\x45", "RED APPLE (U+1F34E)"
"U+1F34F", "\xe1\xbc\xb4\x46", "GREEN APPLE (U+1F34F)"
"U+1F350", "\xe1\xbc\xb5\x30", "PEAR (U+1F350)"
"U+1F351", "\xe1\xbc\xb5\x31", "PEACH (U+1F351)"
"U+1F352", "\xe1\xbc\xb5\x32", "CHERRIES (U+1F352)"
"U+1F353", "\xe1\xbc\xb5\x33", "STRAWBERRY (U+1F353)"
"U+1F354", "\xe1\xbc\xb5\x34", "HAMBURGER (U+1F354)"
"U+1F355", "\xe1\xbc\xb5\x35", "SLICE OF PIZZA (U+1F355)"
"U+1F356", "\xe1\xbc\xb5\x36", "MEAT ON BONE (U+1F356)"
"U+1F357", "\xe1\xbc\xb5\x37", "POULTRY LEG (U+1F357)"
"U+1F358", "\xe1\xbc\xb5\x38", "RICE CRACKER (U+1F358)"
"U+1F359", "\xe1\xbc\xb5\x39", "RICE BALL (U+1F359)"
"U+1F35A", "\xe1\xbc\xb5\x41", "COOKED RICE (U+1F35A)"
"U+1F35B", "\xe1\xbc\xb5\x42", "CURRY AND RICE (U+1F35B)"
"U+1F35C", "\xe1\xbc\xb5\x43", "STEAMING BOWL (U+1F35C)"
"U+1F35D", "\xe1\xbc\xb5\x44", "SPAGHETTI (U+1F35D)"
"U+1F35E", "\xe1\xbc\xb5\x45", "BREAD (U+1F35E)"
"U+1F35F", "\xe1\xbc\xb5\x46", "FRENCH FRIES (U+1F35F)"
"U+1F360", "\xe1\xbc\xb6\x30", "ROASTED SWEET POTATO (U+1F360)"
"U+1F361", "\xe1\xbc\xb6\x31", "DANGO (U+1F361)"
"U+1F362", "\xe1\xbc\xb6\x32", "ODEN (U+1F362)"
"U+1F363", "\xe1\xbc\xb6\x33", "SUSHI (U+1F363)"
"U+1F364", "\xe1\xbc\xb6\x34", "FRIED SHRIMP (U+1F364)"
"U+1F365", "\xe1\xbc\xb6\x35", "FISH CAKE WITH SWIRL DESIGN (U+1F365)"
"U+1F366", "\xe1\xbc\xb6\x36", "SOFT ICE CREAM (U+1F366)"
"U+1F367", "\xe1\xbc\xb6\x37", "SHAVED ICE (U+1F367)"
"U+1F368", "\xe1\xbc\xb6\x38", "ICE CREAM (U+1F368)"
"U+1F369", "\xe1\xbc\xb6\x39", "DOUGHNUT (U+1F369)"
"U+1F36A", "\xe1\xbc\xb6\x41", "COOKIE (U+1F36A)"
"U+1F36B", "\xe1\xbc\xb6\x42", "CHOCOLATE BAR (U+1F36B)"
"U+1F36C", "\xe1\xbc\xb6\x43", "CANDY (U+1F36C)"
"U+1F36D", "\xe1\xbc\xb6\x44", "LOLLIPOP (U+1F36D)"
"U+1F36E", "\xe1\xbc\xb6\x45", "CUSTARD (U+1F36E)"
"U+1F36F", "\xe1\xbc\xb6\x46", "HONEY POT (U+1F36F)"
"U+1F370", "\xe1\xbc\xb7\x30", "SHORTCAKE (U+1F370)"
"U+1F371", "\xe1\xbc\xb7\x31", "BENTO BOX (U+1F371)"
"U+1F372", "\xe1\xbc\xb7\x32", "POT OF FOOD (U+1F372)"
"U+1F373", "\xe1\xbc\xb7\x33", "COOKING (U+1F373)"
"U+1F374", "\xe1\xbc\xb7\x34", "FORK AND KNIFE (U+1F374)"
"U+1F375", "\xe1\xbc\xb7\x35", "TEACUP WITHOUT HANDLE (U+1F375)"
"U+1F376", "\xe1\xbc\xb7\x36", "SAKE BOTTLE AND CUP (U+1F376)"
"U+1F377", "\xe1\xbc\xb7\x37", "WINE GLASS (U+1F377)"
"U+1F378", "\xe1\xbc\xb7\x38", "COCKTAIL GLASS (U+1F378)"
"U+1F379", "\xe1\xbc\xb7\x39", "TROPICAL DRINK (U+1F379)"
"U+1F37A", "\xe1\xbc\xb7\x41", "BEER MUG (U+1F37A)"
"U+1F37B", "\xe1\xbc\xb7\x42", "CLINKING BEER MUGS (U+1F37B)"
"U+1F37C", "\xe1\xbc\xb7\x43", "BABY BOTTLE (U+1F37C)"
"U+1F380", "\xe1\xbc\xb8\x30", "RIBBON (U+1F380)"
"U+1F381", "\xe1\xbc\xb8\x31", "WRAPPED PRESENT (U+1F381)"
"U+1F382", "\xe1\xbc\xb8\x32", "BIRTHDAY CAKE (U+1F382)"
"U+1F383", "\xe1\xbc\xb8\x33", "JACK-O-LANTERN (U+1F383)"
"U+1F384", "\xe1\xbc\xb8\x34", "CHRISTMAS TREE (U+1F384)"
"U+1F385", "\xe1\xbc\xb8\x35", "FATHER CHRISTMAS (U+1F385)"
"U+1F386", "\xe1\xbc\xb8\x36", "FIREWORKS (U+1F386)"
"U+1F387", "\xe1\xbc\xb8\x37", "FIREWORK SPARKLER (U+1F387)"
"U+1F388", "\xe1\xbc\xb8\x38", "BALLOON (U+1F388)"
"U+1F389", "\xe1\xbc\xb8\x39", "PARTY POPPER (U+1F389)"
"U+1F38A", "\xe1\xbc\xb8\x41", "CONFETTI BALL (U+1F38A)"
"U+1F38B", "\xe1\xbc\xb8\x42", "TANABATA TREE (U+1F38B)"
"U+1F38C", "\xe1\xbc\xb8\x43", "CROSSED FLAGS (U+1F38C)"
"U+1F38D", "\xe1\xbc\xb8\x44", "PINE DECORATION (U+1F38D)"
"U+1F38E", "\xe1\xbc\xb8\x45", "JAPANESE DOLLS (U+1F38E)"
"U+1F38F", "\xe1\xbc\xb8\x46", "CARP STREAMER (U+1F38F)"
"U+1F390", "\xe1\xbc\xb9\x30", "WIND CHIME (U+1F390)"
"U+1F391", "\xe1\xbc\xb9\x31", "MOON VIEWING CEREMONY (U+1F391)"
"U+1F392", "\xe1\xbc\xb9\x32", "SCHOOL SATCHEL (U+1F392)"
"U+1F393", "\xe1\xbc\xb9\x33", "GRADUATION CAP (U+1F393)"
"U+1F3A0", "\xe1\xbc\xba\x30", "CAROUSEL HORSE (U+1F3A0)"
"U+1F3A1", "\xe1\xbc\xba\x31", "FERRIS WHEEL (U+1F3A1)"
"U+1F3A2", "\xe1\xbc\xba\x32", "ROLLER COASTER (U+1F3A2)"
"U+1F3A3", "\xe1\xbc\xba\x33", "FISHING POLE AND FISH (U+1F3A3)"
"U+1F3A4", "\xe1\xbc\xba\x34", "MICROPHONE (U+1F3A4)"
"U+1F3A5", "\xe1\xbc\xba\x35", "MOVIE CAMERA (U+1F3A5)"
"U+1F3A6", "\xe1\xbc\xba\x36", "CINEMA (U+1F3A6)"
"U+1F3A7", "\xe1\xbc\xba\x37", "HEADPHONE (U+1F3A7)"
"U+1F3A8", "\xe1\xbc\xba\x38", "ARTIST PALETTE (U+1F3A8)"
"U+1F3A9", "\xe1\xbc\xba\x39", "TOP HAT (U+1F3A9)"
"U+1F3AA", "\xe1\xbc\xba\x41", "CIRCUS TENT (U+1F3AA)"
"U+1F3AB", "\xe1\xbc\xba\x42", "TICKET (U+1F3AB)"
"U+1F3AC", "\xe1\xbc\xba\x43", "CLAPPER BOARD (U+1F3AC)"
"U+1F3AD", "\xe1\xbc\xba\x44", "PERFORMING ARTS (U+1F3AD)"
"U+1F3AE", "\xe1\xbc\xba\x45", "VIDEO GAME (U+1F3AE)"
"U+1F3AF", "\xe1\xbc\xba\x46", "DIRECT HIT (U+1F3AF)"
"U+1F3B0", "\xe1\xbc\xbb\x30", "SLOT MACHINE (U+1F3B0)"
"U+1F3B1", "\xe1\xbc\xbb\x31", "BILLIARDS (U+1F3B1)"
"U+1F3B2", "\xe1\xbc\xbb\x32", "GAME DIE (U+1F3B2)"
"U+1F3B3", "\xe1\xbc\xbb\x33", "BOWLING (U+1F3B3)"
"U+1F3B4", "\xe1\xbc\xbb\x34", "FLOWER PLAYING CARDS (U+1F3B4)"
"U+1F3B5", "\xe1\xbc\xbb\x35", "MUSICAL NOTE (U+1F3B5)"
"U+1F3B6", "\xe1\xbc\xbb\x36", "MULTIPLE MUSICAL NOTES (U+1F3B6)"
"U+1F3B7", "\xe1\xbc\xbb\x37", "SAXOPHONE (U+1F3B7)"
"U+1F3B8", "\xe1\xbc\xbb\x38", "GUITAR (U+1F3B8)"
"U+1F3B9", "\xe1\xbc\xbb\x39", "MUSICAL KEYBOARD (U+1F3B9)"
"U+1F3BA", "\xe1\xbc\xbb\x41", "TRUMPET (U+1F3BA)"
"U+1F3BB", "\xe1\xbc\xbb\x42", "VIOLIN (U+1F3BB)"
"U+1F3BC", "\xe1\xbc\xbb\x43", "MUSICAL SCORE (U+1F3BC)"
"U+1F3BD", "\xe1\xbc\xbb\x44", "RUNNING SHIRT WITH SASH (U+1F3BD)"
"U+1F3BE", "\xe1\xbc\xbb\x45", "TENNIS RACQUET AND BALL (U+1F3BE)"
"U+1F3BF", "\xe1\xbc\xbb\x46", "SKI AND SKI BOOT (U+1F3BF)"
"U+1F3C0", "\xe1\xbc\xbc\x30", "BASKETBALL AND HOOP (U+1F3C0)"
"U+1F3C1", "\xe1\xbc\xbc\x31", "CHEQUERED FLAG (U+1F3C1)"
"U+1F3C2", "\xe1\xbc\xbc\x32", "SNOWBOARDER (U+1F3C2)"
"U+1F3C3", "\xe1\xbc\xbc\x33", "RUNNER (U+1F3C3)"
"U+1F3C4", "\xe1\xbc\xbc\x34", "SURFER (U+1F3C4)"
"U+1F3C6", "\xe1\xbc\xbc\x36", "TROPHY (U+1F3C6)"
"U+1F3C7", "\xe1\xbc\xbc\x37", "HORSE RACING (U+1F3C7)"
"U+1F3C8", "\xe1\xbc\xbc\x38", "AMERICAN FOOTBALL (U+1F3C8)"
"U+1F3C9", "\xe1\xbc\xbc\x39", "RUGBY FOOTBALL (U+1F3C9)"
"U+1F3CA", "\xe1\xbc\xbc\x41", "SWIMMER (U+1F3CA)"
"U+1F3E0", "\xe1\xbc\xbe\x30", "HOUSE BUILDING (U+1F3E0)"
"U+1F3E1", "\xe1\xbc\xbe\x31", "HOUSE WITH GARDEN (U+1F3E1)"
"U+1F3E2", "\xe1\xbc\xbe\x32", "OFFICE BUILDING (U+1F3E2)"
"U+1F3E3", "\xe1\xbc\xbe\x33", "JAPANESE POST OFFICE (U+1F3E3)"
"U+1F3E4", "\xe1\xbc\xbe\x34", "EUROPEAN POST OFFICE (U+1F3E4)"
"U+1F3E5", "\xe1\xbc\xbe\x35", "HOSPITAL (U+1F3E5)"
"U+1F3E6", "\xe1\xbc\xbe\x36", "BANK (U+1F3E6)"
"U+1F3E7", "\xe1\xbc\xbe\x37", "AUTOMATED TELLER MACHINE (U+1F3E7)"
"U+1F3E8", "\xe1\xbc\xbe\x38", "HOTEL (U+1F3E8)"
"U+1F3E9", "\xe1\xbc\xbe\x39", "LOVE HOTEL (U+1F3E9)"
"U+1F3EA", "\xe1\xbc\xbe\x41", "CONVENIENCE STORE (U+1F3EA)"
"U+1F3EB", "\xe1\xbc\xbe\x42", "SCHOOL (U+1F3EB)"
"U+1F3EC", "\xe1\xbc\xbe\x43", "DEPARTMENT STORE (U+1F3EC)"
"U+1F3ED", "\xe1\xbc\xbe\x44", "FACTORY (U+1F3ED)"
"U+1F3EE", "\xe1\xbc\xbe\x45", "IZAKAYA LANTERN (U+1F3EE)"
"U+1F3EF", "\xe1\xbc\xbe\x46", "JAPANESE CASTLE (U+1F3EF)"
"U+1F3F0", "\xe1\xbc\xbf\x30", "EUROPEAN CASTLE (U+1F3F0)"
"U+1F400", "\xe1\xbd\x80\x30", "RAT (U+1F400)"
"U+1F401", "\xe1\xbd\x80\x31", "MOUSE (U+1F401)"
"U+1F402", "\xe1\xbd\x80\x32", "OX (U+1F402)"
"U+1F403", "\xe1\xbd\x80\x33", "WATER BUFFALO (U+1F403)"
"U+1F404", "\xe1\xbd\x80\x34", "COW (U+1F404)"
"U+1F405", "\xe1\xbd\x80\x35", "TIGER (U+1F405)"
"U+1F406", "\xe1\xbd\x80\x36", "LEOPARD (U+1F406)"
"U+1F407", "\xe1\xbd\x80\x37", "RABBIT (U+1F407)"
"U+1F408", "\xe1\xbd\x80\x38", "CAT (U+1F408)"
"U+1F409", "\xe1\xbd\x80\x39", "DRAGON (U+1F409)"
"U+1F40A", "\xe1\xbd\x80\x41", "CROCODILE (U+1F40A)"
"U+1F40B", "\xe1\xbd\x80\x42", "WHALE (U+1F40B)"
"U+1F40C", "\xe1\xbd\x80\x43", "SNAIL (U+1F40C)"
"U+1F40D", "\xe1\xbd\x80\x44", "SNAKE (U+1F40D)"
"U+1F40E", "\xe1\xbd\x80\x45", "HORSE (U+1F40E)"
"U+1F40F", "\xe1\xbd\x80\x46", "RAM (U+1F40F)"
"U+1F410", "\xe1\xbd\x81\x30", "GOAT (U+1F410)"
"U+1F411", "\xe1\xbd\x81\x31", "SHEEP (U+1F411)"
"U+1F412", "\xe1\xbd\x81\x32", "MONKEY (U+1F412)"
"U+1F413", "\xe1\xbd\x81\x33", "ROOSTER (U+1F413)"
"U+1F414", "\xe1\xbd\x81\x34", "CHICKEN (U+1F414)"
"U+1F415", "\xe1\xbd\x81\x35", "DOG (U+1F415)"
"U+1F416", "\xe1\xbd\x81\x36", "PIG (U+1F416)"
"U+1F417", "\xe1\xbd\x81\x37", "BOAR (U+1F417)"
"U+1F418", "\xe1\xbd\x81\x38", "ELEPHANT (U+1F418)"
"U+1F419", "\xe1\xbd\x81\x39", "OCTOPUS (U+1F419)"
"U+1F41A", "\xe1\xbd\x81\x41", "SPIRAL SHELL (U+1F41A)"
"U+1F41B", "\xe1\xbd\x81\x42", "BUG (U+1F41B)"
"U+1F41C", "\xe1\xbd\x81\x43", "ANT (U+1F41C)"
"U+1F41D", "\xe1\xbd\x81\x44", "HONEYBEE (U+1F41D)"
"U+1F41E", "\xe1\xbd\x81\x45", "LADY BEETLE (U+1F41E)"
"U+1F41F", "\xe1\xbd\x81\x46", "FISH (U+1F41F)"
"U+1F420", "\xe1\xbd\x82\x30", "TROPICAL FISH (U+1F420)"
"U+1F421", "\xe1\xbd\x82\x31", "BLOWFISH (U+1F421)"
"U+1F422", "\xe1\xbd\x82\x32", "TURTLE (U+1F422)"
"U+1F423", "\xe1\xbd\x82\x33", "HATCHING CHICK (U+1F423)"
"U+1F424", "\xe1\xbd\x82\x34", "BABY CHICK (U+1F424)"
"U+1F425", "\xe1\xbd\x82\x35", "FRONT-FACING BABY CHICK (U+1F425)"
"U+1F426", "\xe1\xbd\x82\x36", "BIRD (U+1F426)"
"U+1F427", "\xe1\xbd\x82\x37", "PENGUIN (U+1F427)"
"U+1F428", "\xe1\xbd\x82\x38", "KOALA (U+1F428)"
"U+1F429", "\xe1\xbd\x82\x39", "POODLE (U+1F429)"
"U+1F42A", "\xe1\xbd\x82\x41", "DROMEDARY CAMEL (U+1F42A)"
"U+1F42B", "\xe1\xbd\x82\x42", "BACTRIAN CAMEL (U+1F42B)"
"U+1F42C", "\xe1\xbd\x82\x43", "DOLPHIN (U+1F42C)"
"U+1F42D", "\xe1\xbd\x82\x44", "MOUSE FACE (U+1F42D)"
"U+1F42E", "\xe1\xbd\x82\x45", "COW FACE (U+1F42E)"
"U+1F42F", "\xe1\xbd\x82\x46", "TIGER FACE (U+1F42F)"
"U+1F430", "\xe1\xbd\x83\x30", "RABBIT FACE (U+1F430)"
"U+1F431", "\xe1\xbd\x83\x31", "CAT FACE (U+1F431)"
"U+1F432", "\xe1\xbd\x83\x32", "DRAGON FACE (U+1F432)"
"U+1F433", "\xe1\xbd\x83\x33", "SPOUTING WHALE (U+1F433)"
"U+1F434", "\xe1\xbd\x83\x34", "HORSE FACE (U+1F434)"
"U+1F435", "\xe1\xbd\x83\x35", "MONKEY FACE (U+1F435)"
"U+1F436", "\xe1\xbd\x83\x36", "DOG FACE (U+1F436)"
"U+1F437", "\xe1\xbd\x83\x37", "PIG FACE (U+1F437)"
"U+1F438", "\xe1\xbd\x83\x38", "FROG FACE (U+1F438)"
"U+1F439", "\xe1\xbd\x83\x39", "HAMSTER FACE (U+1F439)"
"U+1F43A", "\xe1\xbd\x83\x41", "WOLF FACE (U+1F43A)"
