# Unicode Characters in the Emoticons Block
# Source: http://www.fileformat.info/info/unicode/block/emoticons/list.htm
"U+1F600", "\xe1\xbd\xa0\x30", "GRINNING FACE (U+1F600)"
"U+1F601", "\xe1\xbd\xa0\x31", "GRINNING FACE WITH SMILING EYES (U+1F601)"
"U+1F602", "\xe1\xbd\xa0\x32", "FACE WITH TEARS OF JOY (U+1F602)"
"U+1F603", "\xe1\xbd\xa0\x33", "SMILING FACE WITH OPEN MOUTH (U+1F603)"
"U+1F604", "\xe1\xbd\xa0\x34", "SMILING FACE WITH OPEN MOUTH AND SMILING EYES (U+1F604)"
"U+1F605", "\xe1\xbd\xa0\x35", "SMILING FACE WITH OPEN MOUTH AND COLD SWEAT (U+1F605)"
"U+1F606", "\xe1\xbd\xa0\x36", "SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES (U+1F606)"
"U+1F607", "\xe1\xbd\xa0\x37", "SMILING FACE WITH HALO (U+1F607)"
"U+1F608", "\xe1\xbd\xa0\x38", "SMILING FACE WITH HORNS (U+1F608)"
"U+1F609", "\xe1\xbd\xa0\x39", "WINKING FACE (U+1F609)"
"U+1F60A", "\xe1\xbd\xa0\x41", "SMILING FACE WITH SMILING EYES (U+1F60A)"
"U+1F60B", "\xe1\xbd\xa0\x42", "FACE SAVOURING DELICIOUS FOOD (U+1F60B)"
"U+1F60C", "\xe1\xbd\xa0\x43", "RELIEVED FACE (U+1F60C)"
"U+1F60D", "\xe1\xbd\xa0\x44", "SMILING FACE WITH HEART-SHAPED EYES (U+1F60D)"
"U+1F60E", "\xe1\xbd\xa0\x45", "SMILING FACE WITH SUNGLASSES (U+1F60E)"
"U+1F60F", "\xe1\xbd\xa0\x46", "SMIRKING FACE (U+1F60F)"
"U+1F610", "\xe1\xbd\xa1\x30", "NEUTRAL FACE (U+1F610)"
"U+1F611", "\xe1\xbd\xa1\x31", "EXPRESSIONLESS FACE (U+1F611)"
"U+1F612", "\xe1\xbd\xa1\x32", "UNAMUSED FACE (U+1F612)"
"U+1F613", "\xe1\xbd\xa1\x33", "FACE WITH COLD SWEAT (U+1F613)"
"U+1F614", "\xe1\xbd\xa1\x34", "PENSIVE FACE (U+1F614)"
"U+1F615", "\xe1\xbd\xa1\x35", "CONFUSED FACE (U+1F615)"
"U+1F616", "\xe1\xbd\xa1\x36", "CONFOUNDED FACE (U+1F616)"
"U+1F617", "\xe1\xbd\xa1\x37", "KISSING FACE (U+1F617)"
"U+1F618", "\xe1\xbd\xa1\x38", "FACE THROWING A KISS (U+1F618)"
"U+1F619", "\xe1\xbd\xa1\x39", "KISSING FACE WITH SMILING EYES (U+1F619)"
"U+1F61A", "\xe1\xbd\xa1\x41", "KISSING FACE WITH CLOSED EYES (U+1F61A)"
