# Unicode Characters in the Transport And Map Symbols Block
# Source: http://www.fileformat.info/info/unicode/block/transport_and_map_symbols/list.htm
"U+1F680", "\xe1\xbd\xa8\x30", "ROCKET (U+1F680)"
"U+1F681", "\xe1\xbd\xa8\x31", "HELICOPTER (U+1F681)"
"U+1F682", "\xe1\xbd\xa8\x32", "STEAM LOCOMOTIVE (U+1F682)"
"U+1F683", "\xe1\xbd\xa8\x33", "RAILWAY CAR (U+1F683)"
"U+1F684", "\xe1\xbd\xa8\x34", "HIGH-SPEED TRAIN (U+1F684)"
"U+1F685", "\xe1\xbd\xa8\x35", "HIGH-SPEED TRAIN WITH BULLET NOSE (U+1F685)"
"U+1F686", "\xe1\xbd\xa8\x36", "TRAIN (U+1F686)"
"U+1F687", "\xe1\xbd\xa8\x37", "METRO (U+1F687)"
"U+1F688", "\xe1\xbd\xa8\x38", "LIGHT RAIL (U+1F688)"
"U+1F689", "\xe1\xbd\xa8\x39", "STATION (U+1F689)"
"U+1F68A", "\xe1\xbd\xa8\x41", "TRAM (U+1F68A)"
"U+1F68B", "\xe1\xbd\xa8\x42", "TRAM CAR (U+1F68B)"
"U+1F68C", "\xe1\xbd\xa8\x43", "BUS (U+1F68C)"
"U+1F68D", "\xe1\xbd\xa8\x44", "ONCOMING BUS (U+1F68D)"
"U+1F68E", "\xe1\xbd\xa8\x45", "TROLLEYBUS (U+1F68E)"
"U+1F68F", "\xe1\xbd\xa8\x46", "BUS STOP (U+1F68F)"
"U+1F690", "\xe1\xbd\xa9\x30", "MINIBUS (U+1F690)"
"U+1F691", "\xe1\xbd\xa9\x31", "AMBULANCE (U+1F691)"
"U+1F692", "\xe1\xbd\xa9\x32", "FIRE ENGINE (U+1F692)"
"U+1F693", "\xe1\xbd\xa9\x33", "POLICE CAR (U+1F693)"
"U+1F694", "\xe1\xbd\xa9\x34", "ONCOMING POLICE CAR (U+1F694)"
"U+1F695", "\xe1\xbd\xa9\x35", "TAXI (U+1F695)"
"U+1F696", "\xe1\xbd\xa9\x36", "ONCOMING TAXI (U+1F696)"
"U+1F697", "\xe1\xbd\xa9\x37", "AUTOMOBILE (U+1F697)"
