# Unicode Characters in the Alchemical Symbols Block
# Source: http://www.fileformat.info/info/unicode/block/alchemical_symbols/list.htm
"U+1F700", "\xe1\xbd\xb0\x30", "ALCHEMICAL SYMBOL FOR QUINTESSENCE (U+1F700)"
"U+1F701", "\xe1\xbd\xb0\x31", "ALCHEMICAL SYMBOL FOR AIR (U+1F701)"
"U+1F702", "\xe1\xbd\xb0\x32", "ALCHEMICAL SYMBOL FOR FIRE (U+1F702)"
"U+1F703", "\xe1\xbd\xb0\x33", "ALCHEMICAL SYMBOL FOR EARTH (U+1F703)"
"U+1F704", "\xe1\xbd\xb0\x34", "ALCHEMICAL SYMBOL FOR WATER (U+1F704)"
"U+1F705", "\xe1\xbd\xb0\x35", "ALCHEMICAL SYMBOL FOR AQUAFORTIS (U+1F705)"
"U+1F706", "\xe1\xbd\xb0\x36", "ALCHEMICAL SYMBOL FOR AQUA REGIA (U+1F706)"
"U+1F707", "\xe1\xbd\xb0\x37", "ALCHEMICAL SYMBOL FOR AQUA REGIA-2 (U+1F707)"
"U+1F708", "\xe1\xbd\xb0\x38", "ALCHEMICAL SYMBOL FOR AQUA VITAE (U+1F708)"
"U+1F709", "\xe1\xbd\xb0\x39", "ALCHEMICAL SYMBOL FOR AQUA VITAE-2 (U+1F709)"
"U+1F70A", "\xe1\xbd\xb0\x41", "ALCHEMICAL SYMBOL FOR VINEGAR (U+1F70A)"
"U+1F70B", "\xe1\xbd\xb0\x42", "ALCHEMICAL SYMBOL FOR VINEGAR-2 (U+1F70B)"
"U+1F70C", "\xe1\xbd\xb0\x43", "ALCHEMICAL SYMBOL FOR VINEGAR-3 (U+1F70C)"
"U+1F70D", "\xe1\xbd\xb0\x44", "ALCHEMICAL SYMBOL FOR SULFUR (U+1F70D)"
"U+1F70E", "\xe1\xbd\xb0\x45", "ALCHEMICAL SYMBOL FOR PHILOSOPHERS SULFUR (U+1F70E)"
"U+1F70F", "\xe1\xbd\xb0\x46", "ALCHEMICAL SYMBOL FOR BLACK SULFUR (U+1F70F)"
"U+1F710", "\xe1\xbd\xb1\x30", "ALCHEMICAL SYMBOL FOR MERCURY SUBLIMATE (U+1F710)"
"U+1F711", "\xe1\xbd\xb1\x31", "ALCHEMICAL SYMBOL FOR MERCURY SUBLIMATE-2 (U+1F711)"
"U+1F712", "\xe1\xbd\xb1\x32", "ALCHEMICAL SYMBOL FOR MERCURY SUBLIMATE-3 (U+1F712)"
"U+1F713", "\xe1\xbd\xb1\x33", "ALCHEMICAL SYMBOL FOR CINNABAR (U+1F713)"
"U+1F714", "\xe1\xbd\xb1\x34", "ALCHEMICAL SYMBOL FOR SALT (U+1F714)"
"U+1F715", "\xe1\xbd\xb1\x35", "ALCHEMICAL SYMBOL FOR NITRE (U+1F715)"
"U+1F716", "\xe1\xbd\xb1\x36", "ALCHEMICAL SYMBOL FOR VITRIOL (U+1F716)"
"U+1F717", "\xe1\xbd\xb1\x37", "ALCHEMICAL SYMBOL FOR VITRIOL-2 (U+1F717)"
"U+1F718", "\xe1\xbd\xb1\x38", "ALCHEMICAL SYMBOL FOR ROCK SALT (U+1F718)"
"U+1F719", "\xe1\xbd\xb1\x39", "ALCHEMICAL SYMBOL FOR ROCK SALT-2 (U+1F719)"
"U+1F71A", "\xe1\xbd\xb1\x41", "ALCHEMICAL SYMBOL FOR GOLD (U+1F71A)"
"U+1F71B", "\xe1\xbd\xb1\x42", "ALCHEMICAL SYMBOL FOR SILVER (U+1F71B)"
"U+1F71C", "\xe1\xbd\xb1\x43", "ALCHEMICAL SYMBOL FOR IRON ORE (U+1F71C)"
"U+1F71D", "\xe1\xbd\xb1\x44", "ALCHEMICAL SYMBOL FOR IRON ORE-2 (U+1F71D)"
"U+1F71E", "\xe1\xbd\xb1\x45", "ALCHEMICAL SYMBOL FOR CROCUS OF IRON (U+1F71E)"
