# Unicode Characters in the General Punctuation Block
# Source: http://www.fileformat.info/info/unicode/block/general_punctuation/list.htm
"U+2000", "\xe2\x80\x80", "EN QUAD (U+2000)"
"U+2001", "\xe2\x80\x81", "EM QUAD (U+2001)"
"U+2002", "\xe2\x80\x82", "EN SPACE (U+2002)"
"U+2003", "\xe2\x80\x83", "EM SPACE (U+2003)"
"U+2004", "\xe2\x80\x84", "THREE-PER-EM SPACE (U+2004)"
"U+2005", "\xe2\x80\x85", "FOUR-PER-EM SPACE (U+2005)"
"U+2006", "\xe2\x80\x86", "SIX-PER-EM SPACE (U+2006)"
"U+2007", "\xe2\x80\x87", "FIGURE SPACE (U+2007)"
"U+2008", "\xe2\x80\x88", "PUNCTUATION SPACE (U+2008)"
"U+2009", "\xe2\x80\x89", "THIN SPACE (U+2009)"
"U+200A", "\xe2\x80\x8a", "HAIR SPACE (U+200A)"
"U+200B", "\xe2\x80\x8b", "ZERO WIDTH SPACE (U+200B)"
"U+200C", "\xe2\x80\x8c", "ZERO WIDTH NON-JOINER (U+200C)"
"U+200D", "\xe2\x80\x8d", "ZERO WIDTH JOINER (U+200D)"
"U+200E", "\xe2\x80\x8e", "LEFT-TO-RIGHT MARK (U+200E)"
"U+200F", "\xe2\x80\x8f", "RIGHT-TO-LEFT MARK (U+200F)"
"U+2010", "\xe2\x80\x90", "HYPHEN (U+2010)"
"U+2011", "\xe2\x80\x91", "NON-BREAKING HYPHEN (U+2011)"
"U+2012", "\xe2\x80\x92", "FIGURE DASH (U+2012)"
"U+2013", "\xe2\x80\x93", "EN DASH (U+2013)"
"U+2014", "\xe2\x80\x94", "EM DASH (U+2014)"
"U+2015", "\xe2\x80\x95", "HORIZONTAL BAR (U+2015)"
"U+2016", "\xe2\x80\x96", "DOUBLE VERTICAL LINE (U+2016)"
"U+2017", "\xe2\x80\x97", "DOUBLE LOW LINE (U+2017)"
"U+2018", "\xe2\x80\x98", "LEFT SINGLE QUOTATION MARK (U+2018)"
"U+2019", "\xe2\x80\x99", "RIGHT SINGLE QUOTATION MARK (U+2019)"
"U+201A", "\xe2\x80\x9a", "SINGLE LOW-9 QUOTATION MARK (U+201A)"
"U+201B", "\xe2\x80\x9b", "SINGLE HIGH-REVERSED-9 QUOTATION MARK (U+201B)"
"U+201C", "\xe2\x80\x9c", "LEFT DOUBLE QUOTATION MARK (U+201C)"
"U+201D", "\xe2\x80\x9d", "RIGHT DOUBLE QUOTATION MARK (U+201D)"
"U+201E", "\xe2\x80\x9e", "DOUBLE LOW-9 QUOTATION MARK (U+201E)"
"U+201F", "\xe2\x80\x9f", "DOUBLE HIGH-REVERSED-9 QUOTATION MARK (U+201F)"
"U+2020", "\xe2\x80\xa0", "DAGGER (U+2020)"
"U+2021", "\xe2\x80\xa1", "DOUBLE DAGGER (U+2021)"
"U+2022", "\xe2\x80\xa2", "BULLET (U+2022)"
"U+2023", "\xe2\x80\xa3", "TRIANGULAR BULLET (U+2023)"
"U+2024", "\xe2\x80\xa4", "ONE DOT LEADER (U+2024)"
