# Unicode Characters in the Superscripts and Subscripts Block
# Source: http://www.fileformat.info/info/unicode/block/superscripts_and_subscripts/list.htm
"U+2070", "\xe2\x81\xb0", "SUPERSCRIPT ZERO (U+2070)"
"U+2071", "\xe2\x81\xb1", "SUPERSCRIPT LATIN SMALL LETTER I (U+2071)"
"U+2074", "\xe2\x81\xb4", "SUPERSCRIPT FOUR (U+2074)"
"U+2075", "\xe2\x81\xb5", "SUPERSCRIPT FIVE (U+2075)"
"U+2076", "\xe2\x81\xb6", "SUPERSCRIPT SIX (U+2076)"
"U+2077", "\xe2\x81\xb7", "SUPERSCRIPT SEVEN (U+2077)"
"U+2078", "\xe2\x81\xb8", "SUPERSCRIPT EIGHT (U+2078)"
"U+2079", "\xe2\x81\xb9", "SUPERSCRIPT NINE (U+2079)"
"U+207A", "\xe2\x81\xba", "SUPERSCRIPT PLUS SIGN (U+207A)"
"U+207B", "\xe2\x81\xbb", "SUPERSCRIPT MINUS (U+207B)"
"U+207C", "\xe2\x81\xbc", "SUPERSCRIPT EQUALS SIGN (U+207C)"
"U+207D", "\xe2\x81\xbd", "SUPERSCRIPT LEFT PARENTHESIS (U+207D)"
"U+207E", "\xe2\x81\xbe", "SUPERSCRIPT RIGHT PARENTHESIS (U+207E)"
"U+207F", "\xe2\x81\xbf", "SUPERSCRIPT LATIN SMALL LETTER N (U+207F)"
"U+2080", "\xe2\x82\x80", "SUBSCRIPT ZERO (U+2080)"
"U+2081", "\xe2\x82\x81", "SUBSCRIPT ONE (U+2081)"
"U+2082", "\xe2\x82\x82", "SUBSCRIPT TWO (U+2082)"
"U+2083", "\xe2\x82\x83", "SUBSCRIPT THREE (U+2083)"
"U+2084", "\xe2\x82\x84", "SUBSCRIPT FOUR (U+2084)"
"U+2085", "\xe2\x82\x85", "SUBSCRIPT FIVE (U+2085)"
"U+2086", "\xe2\x82\x86", "SUBSCRIPT SIX (U+2086)"
"U+2087", "\xe2\x82\x87", "SUBSCRIPT SEVEN (U+2087)"
"U+2088", "\xe2\x82\x88", "SUBSCRIPT EIGHT (U+2088)"
"U+2089", "\xe2\x82\x89", "SUBSCRIPT NINE (U+2089)"
"U+208A", "\xe2\x82\x8a", "SUBSCRIPT PLUS SIGN (U+208A)"
"U+208B", "\xe2\x82\x8b", "SUBSCRIPT MINUS (U+208B)"
"U+208C", "\xe2\x82\x8c", "SUBSCRIPT EQUALS SIGN (U+208C)"
"U+208D", "\xe2\x82\x8d", "SUBSCRIPT LEFT PARENTHESIS (U+208D)"
"U+208E", "\xe2\x82\x8e", "SUBSCRIPT RIGHT PARENTHESIS (U+208E)"
"U+2090", "\xe2\x82\x90", "LATIN SUBSCRIPT SMALL LETTER A (U+2090)"
"U+2091", "\xe2\x82\x91", "LATIN SUBSCRIPT SMALL LETTER E (U+2091)"
"U+2092", "\xe2\x82\x92", "LATIN SUBSCRIPT SMALL LETTER O (U+2092)"
"U+2093", "\xe2\x82\x93", "LATIN SUBSCRIPT SMALL LETTER X (U+2093)"
"U+2094", "\xe2\x82\x94", "LATIN SUBSCRIPT SMALL LETTER SCHWA (U+2094)"
"U+2095", "\xe2\x82\x95", "LATIN SUBSCRIPT SMALL LETTER H (U+2095)"
"U+2096", "\xe2\x82\x96", "LATIN SUBSCRIPT SMALL LETTER K (U+2096)"
"U+2097", "\xe2\x82\x97", "LATIN SUBSCRIPT SMALL LETTER L (U+2097)"
"U+2098", "\xe2\x82\x98", "LATIN SUBSCRIPT SMALL LETTER M (U+2098)"
"U+2099", "\xe2\x82\x99", "LATIN SUBSCRIPT SMALL LETTER N (U+2099)"
"U+209A", "\xe2\x82\x9a", "LATIN SUBSCRIPT SMALL LETTER P (U+209A)"
"U+209B", "\xe2\x82\x9b", "LATIN SUBSCRIPT SMALL LETTER S (U+209B)"
"U+209C", "\xe2\x82\x9c", "LATIN SUBSCRIPT SMALL LETTER T (U+209C)"
