# Unicode Characters in the Currency Symbols Block
# Source: http://www.fileformat.info/info/unicode/block/currency_symbols/list.htm
"U+20A0", "\xe2\x82\xa0", "EURO-CURRENCY SIGN (U+20A0)"
"U+20A1", "\xe2\x82\xa1", "COLON SIGN (U+20A1)"
"U+20A2", "\xe2\x82\xa2", "CRUZEIRO SIGN (U+20A2)"
"U+20A3", "\xe2\x82\xa3", "FRENCH FRANC SIGN (U+20A3)"
"U+20A4", "\xe2\x82\xa4", "LIRA SIGN (U+20A4)"
"U+20A5", "\xe2\x82\xa5", "MILL SIGN (U+20A5)"
"U+20A6", "\xe2\x82\xa6", "NAIRA SIGN (U+20A6)"
"U+20A7", "\xe2\x82\xa7", "PESETA SIGN (U+20A7)"
"U+20A8", "\xe2\x82\xa8", "RUPEE SIGN (U+20A8)"
"U+20A9", "\xe2\x82\xa9", "WON SIGN (U+20A9)"
"U+20AA", "\xe2\x82\xaa", "NEW SHEQEL SIGN (U+20AA)"
"U+20AB", "\xe2\x82\xab", "DONG SIGN (U+20AB)"
"U+20AC", "\xe2\x82\xac", "EURO SIGN (U+20AC)"
"U+20AD", "\xe2\x82\xad", "KIP SIGN (U+20AD)"
"U+20AE", "\xe2\x82\xae", "TUGRIK SIGN (U+20AE)"
"U+20AF", "\xe2\x82\xaf", "DRACHMA SIGN (U+20AF)"
"U+20B0", "\xe2\x82\xb0", "GERMAN PENNY SIGN (U+20B0)"
"U+20B1", "\xe2\x82\xb1", "PESO SIGN (U+20B1)"
"U+20B2", "\xe2\x82\xb2", "GUARANI SIGN (U+20B2)"
"U+20B3", "\xe2\x82\xb3", "AUSTRAL SIGN (U+20B3)"
"U+20B4", "\xe2\x82\xb4", "HRYVNIA SIGN (U+20B4)"
"U+20B5", "\xe2\x82\xb5", "CEDI SIGN (U+20B5)"
"U+20B6", "\xe2\x82\xb6", "LIVRE TOURNOIS SIGN (U+20B6)"
"U+20B7", "\xe2\x82\xb7", "SPESMILO SIGN (U+20B7)"
"U+20B8", "\xe2\x82\xb8", "TENGE SIGN (U+20B8)"
"U+20B9", "\xe2\x82\xb9", "INDIAN RUPEE SIGN (U+20B9)"
