# Unicode Characters in the Letterlike Symbols Block
# Source: http://www.fileformat.info/info/unicode/block/letterlike_symbols/list.htm
"U+2100", "\xe2\x84\x80", "ACCOUNT OF (U+2100)"
"U+2101", "\xe2\x84\x81", "ADDRESSED TO THE SUBJECT (U+2101)"
"U+2102", "\xe2\x84\x82", "DOUBLE-STRUCK CAPITAL C (U+2102)"
"U+2103", "\xe2\x84\x83", "DEGREE CELSIUS (U+2103)"
"U+2104", "\xe2\x84\x84", "CENTRE LINE SYMBOL (U+2104)"
"U+2105", "\xe2\x84\x85", "CARE OF (U+2105)"
"U+2106", "\xe2\x84\x86", "CADA UNA (U+2106)"
"U+2107", "\xe2\x84\x87", "EULER CONSTANT (U+2107)"
"U+2108", "\xe2\x84\x88", "SCRUPLE (U+2108)"
"U+2109", "\xe2\x84\x89", "DEGREE FAHRENHEIT (U+2109)"
"U+210A", "\xe2\x84\x8a", "SCRIPT SMALL G (U+210A)"
"U+210B", "\xe2\x84\x8b", "SCRIPT CAPITAL H (U+210B)"
"U+210C", "\xe2\x84\x8c", "BLACK-LETTER CAPITAL H (U+210C)"
"U+210D", "\xe2\x84\x8d", "DOUBLE-STRUCK CAPITAL H (U+210D)"
"U+210E", "\xe2\x84\x8e", "PLANCK CONSTANT (U+210E)"
"U+210F", "\xe2\x84\x8f", "PLANCK CONSTANT OVER TWO PI (U+210F)"
"U+2110", "\xe2\x84\x90", "SCRIPT CAPITAL I (U+2110)"
"U+2111", "\xe2\x84\x91", "BLACK-LETTER CAPITAL I (U+2111)"
"U+2112", "\xe2\x84\x92", "SCRIPT CAPITAL L (U+2112)"
"U+2113", "\xe2\x84\x93", "SCRIPT SMALL L (U+2113)"
"U+2114", "\xe2\x84\x94", "L B BAR SYMBOL (U+2114)"
"U+2115", "\xe2\x84\x95", "DOUBLE-STRUCK CAPITAL N (U+2115)"
"U+2116", "\xe2\x84\x96", "NUMERO SIGN (U+2116)"
"U+2117", "\xe2\x84\x97", "SOUND RECORDING COPYRIGHT (U+2117)"
"U+2118", "\xe2\x84\x98", "SCRIPT CAPITAL P (U+2118)"
"U+2119", "\xe2\x84\x99", "DOUBLE-STRUCK CAPITAL P (U+2119)"
"U+211A", "\xe2\x84\x9a", "DOUBLE-STRUCK CAPITAL Q (U+211A)"
"U+211B", "\xe2\x84\x9b", "SCRIPT CAPITAL R (U+211B)"
"U+211C", "\xe2\x84\x9c", "BLACK-LETTER CAPITAL R (U+211C)"
"U+211D", "\xe2\x84\x9d", "DOUBLE-STRUCK CAPITAL R (U+211D)"
"U+211E", "\xe2\x84\x9e", "PRESCRIPTION TAKE (U+211E)"
"U+211F", "\xe2\x84\x9f", "RESPONSE (U+211F)"
"U+2120", "\xe2\x84\xa0", "SERVICE MARK (U+2120)"
"U+2121", "\xe2\x84\xa1", "TELEPHONE SIGN (U+2121)"
"U+2122", "\xe2\x84\xa2", "TRADE MARK SIGN (U+2122)"
"U+2123", "\xe2\x84\xa3", "VERSICLE (U+2123)"
"U+2124", "\xe2\x84\xa4", "DOUBLE-STRUCK CAPITAL Z (U+2124)"
"U+2125", "\xe2\x84\xa5", "OUNCE SIGN (U+2125)"
"U+2126", "\xe2\x84\xa6", "OHM SIGN (U+2126)"
"U+2127", "\xe2\x84\xa7", "INVERTED OHM SIGN (U+2127)"
"U+2128", "\xe2\x84\xa8", "BLACK-LETTER CAPITAL Z (U+2128)"
"U+2129", "\xe2\x84\xa9", "TURNED GREEK SMALL LETTER IOTA (U+2129)"
"U+212A", "\xe2\x84\xaa", "KELVIN SIGN (U+212A)"
"U+212B", "\xe2\x84\xab", "ANGSTROM SIGN (U+212B)"
"U+212C", "\xe2\x84\xac", "SCRIPT CAPITAL B (U+212C)"
"U+212D", "\xe2\x84\xad", "BLACK-LETTER CAPITAL C (U+212D)"
"U+212E", "\xe2\x84\xae", "ESTIMATED SYMBOL (U+212E)"
"U+212F", "\xe2\x84\xaf", "SCRIPT SMALL E (U+212F)"
"U+2130", "\xe2\x84\xb0", "SCRIPT CAPITAL E (U+2130)"
"U+2131", "\xe2\x84\xb1", "SCRIPT CAPITAL F (U+2131)"
"U+2132", "\xe2\x84\xb2", "TURNED CAPITAL F (U+2132)"
"U+2133", "\xe2\x84\xb3", "SCRIPT CAPITAL M (U+2133)"
"U+2134", "\xe2\x84\xb4", "SCRIPT SMALL O (U+2134)"
"U+2135", "\xe2\x84\xb5", "ALEF SYMBOL (U+2135)"
"U+2136", "\xe2\x84\xb6", "BET SYMBOL (U+2136)"
"U+2137", "\xe2\x84\xb7", "GIMEL SYMBOL (U+2137)"
