# Unicode Characters in the Number Forms Block
# Source: http://www.fileformat.info/info/unicode/block/number_forms/list.htm
"U+2150", "\xe2\x85\x90", "VULGAR FRACTION ONE SEVENTH (U+2150)"
"U+2151", "\xe2\x85\x91", "VULGAR FRACTION ONE NINTH (U+2151)"
"U+2152", "\xe2\x85\x92", "VULGAR FRACTION ONE TENTH (U+2152)"
"U+2153", "\xe2\x85\x93", "VULGAR FRACTION ONE THIRD (U+2153)"
"U+2154", "\xe2\x85\x94", "VULGAR FRACTION TWO THIRDS (U+2154)"
"U+2155", "\xe2\x85\x95", "VULGAR FRACTION ONE FIFTH (U+2155)"
"U+2156", "\xe2\x85\x96", "VULGAR FRACTION TWO FIFTHS (U+2156)"
"U+2157", "\xe2\x85\x97", "VULGAR FRACTION THREE FIFTHS (U+2157)"
"U+2158", "\xe2\x85\x98", "VULGAR FRACTION FOUR FIFTHS (U+2158)"
"U+2159", "\xe2\x85\x99", "VULGAR FRACTION ONE SIXTH (U+2159)"
"U+215A", "\xe2\x85\x9a", "VULGAR FRACTION FIVE SIXTHS (U+215A)"
"U+215B", "\xe2\x85\x9b", "VULGAR FRACTION ONE EIGHTH (U+215B)"
"U+215C", "\xe2\x85\x9c", "VULGAR FRACTION THREE EIGHTHS (U+215C)"
"U+215D", "\xe2\x85\x9d", "VULGAR FRACTION FIVE EIGHTHS (U+215D)"
"U+215E", "\xe2\x85\x9e", "VULGAR FRACTION SEVEN EIGHTHS (U+215E)"
"U+215F", "\xe2\x85\x9f", "FRACTION NUMERATOR ONE (U+215F)"
"U+2160", "\xe2\x85\xa0", "ROMAN NUMERAL ONE (U+2160)"
"U+2161", "\xe2\x85\xa1", "ROMAN NUMERAL TWO (U+2161)"
"U+2162", "\xe2\x85\xa2", "ROMAN NUMERAL THREE (U+2162)"
"U+2163", "\xe2\x85\xa3", "ROMAN NUMERAL FOUR (U+2163)"
"U+2164", "\xe2\x85\xa4", "ROMAN NUMERAL FIVE (U+2164)"
"U+2165", "\xe2\x85\xa5", "ROMAN NUMERAL SIX (U+2165)"
"U+2166", "\xe2\x85\xa6", "ROMAN NUMERAL SEVEN (U+2166)"
"U+2167", "\xe2\x85\xa7", "ROMAN NUMERAL EIGHT (U+2167)"
"U+2168", "\xe2\x85\xa8", "ROMAN NUMERAL NINE (U+2168)"
"U+2169", "\xe2\x85\xa9", "ROMAN NUMERAL TEN (U+2169)"
"U+216A", "\xe2\x85\xaa", "ROMAN NUMERAL ELEVEN (U+216A)"
"U+216B", "\xe2\x85\xab", "ROMAN NUMERAL TWELVE (U+216B)"
"U+216C", "\xe2\x85\xac", "ROMAN NUMERAL FIFTY (U+216C)"
"U+216D", "\xe2\x85\xad", "ROMAN NUMERAL ONE HUNDRED (U+216D)"
"U+216E", "\xe2\x85\xae", "ROMAN NUMERAL FIVE HUNDRED (U+216E)"
"U+216F", "\xe2\x85\xaf", "ROMAN NUMERAL ONE THOUSAND (U+216F)"
"U+2170", "\xe2\x85\xb0", "SMALL ROMAN NUMERAL ONE (U+2170)"
"U+2171", "\xe2\x85\xb1", "SMALL ROMAN NUMERAL TWO (U+2171)"
"U+2172", "\xe2\x85\xb2", "SMALL ROMAN NUMERAL THREE (U+2172)"
"U+2173", "\xe2\x85\xb3", "SMALL ROMAN NUMERAL FOUR (U+2173)"
"U+2174", "\xe2\x85\xb4", "SMALL ROMAN NUMERAL FIVE (U+2174)"
"U+2175", "\xe2\x85\xb5", "SMALL ROMAN NUMERAL SIX (U+2175)"
"U+2176", "\xe2\x85\xb6", "SMALL ROMAN NUMERAL SEVEN (U+2176)"
"U+2177", "\xe2\x85\xb7", "SMALL ROMAN NUMERAL EIGHT (U+2177)"
"U+2178", "\xe2\x85\xb8", "SMALL ROMAN NUMERAL NINE (U+2178)"
"U+2179", "\xe2\x85\xb9", "SMALL ROMAN NUMERAL TEN (U+2179)"
"U+217A", "\xe2\x85\xba", "SMALL ROMAN NUMERAL ELEVEN (U+217A)"
"U+217B", "\xe2\x85\xbb", "SMALL ROMAN NUMERAL TWELVE (U+217B)"
"U+217C", "\xe2\x85\xbc", "SMALL ROMAN NUMERAL FIFTY (U+217C)"
"U+217D", "\xe2\x85\xbd", "SMALL ROMAN NUMERAL ONE HUNDRED (U+217D)"
"U+217E", "\xe2\x85\xbe", "SMALL ROMAN NUMERAL FIVE HUNDRED (U+217E)"
"U+217F", "\xe2\x85\xbf", "SMALL ROMAN NUMERAL ONE THOUSAND (U+217F)"
"U+2180", "\xe2\x86\x80", "ROMAN NUMERAL ONE THOUSAND C D (U+2180)"
"U+2181", "\xe2\x86\x81", "ROMAN NUMERAL FIVE THOUSAND (U+2181)"
"U+2182", "\xe2\x86\x82", "ROMAN NUMERAL TEN THOUSAND (U+2182)"
"U+2183", "\xe2\x86\x83", "ROMAN NUMERAL REVERSED ONE HUNDRED (U+2183)"
"U+2184", "\xe2\x86\x84", "LATIN SMALL LETTER REVERSED C (U+2184)"
"U+2185", "\xe2\x86\x85", "ROMAN NUMERAL SIX LATE FORM (U+2185)"
"U+2186", "\xe2\x86\x86", "ROMAN NUMERAL FIFTY EARLY FORM (U+2186)"
"U+2187", "\xe2\x86\x87", "ROMAN NUMERAL FIFTY THOUSAND (U+2187)"
"U+2188", "\xe2\x86\x88", "ROMAN NUMERAL ONE HUNDRED THOUSAND (U+2188)"
"U+2189", "\xe2\x86\x89", "VULGAR FRACTION ZERO THIRDS (U+2189)"
