# Unicode Characters in the Arrows Block
# Source: http://www.fileformat.info/info/unicode/block/arrows/list.htm
"U+2190", "\xe2\x86\x90", "LEFTWARDS ARROW (U+2190)"
"U+2191", "\xe2\x86\x91", "UPWARDS ARROW (U+2191)"
"U+2192", "\xe2\x86\x92", "RIGHTWARDS ARROW (U+2192)"
"U+2193", "\xe2\x86\x93", "DOWNWARDS ARROW (U+2193)"
"U+2194", "\xe2\x86\x94", "LEFT RIGHT ARROW (U+2194)"
"U+2195", "\xe2\x86\x95", "UP DOWN ARROW (U+2195)"
"U+2196", "\xe2\x86\x96", "NORTH WEST ARROW (U+2196)"
"U+2197", "\xe2\x86\x97", "NORTH EAST ARROW (U+2197)"
"U+2198", "\xe2\x86\x98", "SOUTH EAST ARROW (U+2198)"
"U+2199", "\xe2\x86\x99", "SOUTH WEST ARROW (U+2199)"
"U+219A", "\xe2\x86\x9a", "LEFTWARDS ARROW WITH STROKE (U+219A)"
"U+219B", "\xe2\x86\x9b", "RIGHTWARDS ARROW WITH STROKE (U+219B)"
"U+219C", "\xe2\x86\x9c", "LEFTWARDS WAVE ARROW (U+219C)"
"U+219D", "\xe2\x86\x9d", "RIGHTWARDS WAVE ARROW (U+219D)"
"U+219E", "\xe2\x86\x9e", "LEFTWARDS TWO HEADED ARROW (U+219E)"
"U+219F", "\xe2\x86\x9f", "UPWARDS TWO HEADED ARROW (U+219F)"
"U+21A0", "\xe2\x86\xa0", "RIGHTWARDS TWO HEADED ARROW (U+21A0)"
"U+21A1", "\xe2\x86\xa1", "DOWNWARDS TWO HEADED ARROW (U+21A1)"
"U+21A2", "\xe2\x86\xa2", "LEFTWARDS ARROW WITH TAIL (U+21A2)"
"U+21A3", "\xe2\x86\xa3", "RIGHTWARDS ARROW WITH TAIL (U+21A3)"
"U+21A4", "\xe2\x86\xa4", "LEFTWARDS ARROW FROM BAR (U+21A4)"
"U+21A5", "\xe2\x86\xa5", "UPWARDS ARROW FROM BAR (U+21A5)"
"U+21A6", "\xe2\x86\xa6", "RIGHTWARDS ARROW FROM BAR (U+21A6)"
"U+21A7", "\xe2\x86\xa7", "DOWNWARDS ARROW FROM BAR (U+21A7)"
"U+21A8", "\xe2\x86\xa8", "UP DOWN ARROW WITH BASE (U+21A8)"
"U+21A9", "\xe2\x86\xa9", "LEFTWARDS ARROW WITH HOOK (U+21A9)"
"U+21AA", "\xe2\x86\xaa", "RIGHTWARDS ARROW WITH HOOK (U+21AA)"
"U+21AB", "\xe2\x86\xab", "LEFTWARDS ARROW WITH LOOP (U+21AB)"
"U+21AC", "\xe2\x86\xac", "RIGHTWARDS ARROW WITH LOOP (U+21AC)"
"U+21AD", "\xe2\x86\xad", "LEFT RIGHT WAVE ARROW (U+21AD)"
"U+21AE", "\xe2\x86\xae", "LEFT RIGHT ARROW WITH STROKE (U+21AE)"
"U+21AF", "\xe2\x86\xaf", "DOWNWARDS ZIGZAG ARROW (U+21AF)"
"U+21B0", "\xe2\x86\xb0", "UPWARDS ARROW WITH TIP LEFTWARDS (U+21B0)"
"U+21B1", "\xe2\x86\xb1", "UPWARDS ARROW WITH TIP RIGHTWARDS (U+21B1)"
"U+21B2", "\xe2\x86\xb2", "DOWNWARDS ARROW WITH TIP LEFTWARDS (U+21B2)"
"U+21B3", "\xe2\x86\xb3", "DOWNWARDS ARROW WITH TIP RIGHTWARDS (U+21B3)"
"U+21B4", "\xe2\x86\xb4", "RIGHTWARDS ARROW WITH CORNER DOWNWARDS (U+21B4)"
"U+21B5", "\xe2\x86\xb5", "DOWNWARDS ARROW WITH CORNER LEFTWARDS (U+21B5)"
"U+21B6", "\xe2\x86\xb6", "ANTICLOCKWISE TOP SEMICIRCLE ARROW (U+21B6)"
"U+21B7", "\xe2\x86\xb7", "CLOCKWISE TOP SEMICIRCLE ARROW (U+21B7)"
