# Unicode Characters in the Miscellaneous Technical Block
# Source: http://www.fileformat.info/info/unicode/block/miscellaneous_technical/list.htm
"U+2300", "\xe2\x8c\x80", "DIAMETER SIGN (U+2300)"
"U+2301", "\xe2\x8c\x81", "ELECTRIC ARROW (U+2301)"
"U+2302", "\xe2\x8c\x82", "HOUSE (U+2302)"
"U+2303", "\xe2\x8c\x83", "UP ARROWHEAD (U+2303)"
"U+2304", "\xe2\x8c\x84", "DOWN ARROWHEAD (U+2304)"
"U+2305", "\xe2\x8c\x85", "PROJECTIVE (U+2305)"
"U+2306", "\xe2\x8c\x86", "PERSPECTIVE (U+2306)"
"U+2307", "\xe2\x8c\x87", "WAVY LINE (U+2307)"
"U+2308", "\xe2\x8c\x88", "LEFT CEILING (U+2308)"
"U+2309", "\xe2\x8c\x89", "RIGHT CEILING (U+2309)"
"U+230A", "\xe2\x8c\x8a", "LEFT FLOOR (U+230A)"
"U+230B", "\xe2\x8c\x8b", "RIGHT FLOOR (U+230B)"
"U+230C", "\xe2\x8c\x8c", "BOTTOM RIGHT CROP (U+230C)"
"U+230D", "\xe2\x8c\x8d", "BOTTOM LEFT CROP (U+230D)"
"U+230E", "\xe2\x8c\x8e", "TOP RIGHT CROP (U+230E)"
"U+230F", "\xe2\x8c\x8f", "TOP LEFT CROP (U+230F)"
"U+2310", "\xe2\x8c\x90", "REVERSED NOT SIGN (U+2310)"
"U+2311", "\xe2\x8c\x91", "SQUARE LOZENGE (U+2311)"
"U+2312", "\xe2\x8c\x92", "ARC (U+2312)"
"U+2313", "\xe2\x8c\x93", "SEGMENT (U+2313)"
"U+2314", "\xe2\x8c\x94", "SECTOR (U+2314)"
"U+2315", "\xe2\x8c\x95", "TELEPHONE RECORDER (U+2315)"
"U+2316", "\xe2\x8c\x96", "POSITION INDICATOR (U+2316)"
"U+2317", "\xe2\x8c\x97", "VIEWDATA SQUARE (U+2317)"
"U+2318", "\xe2\x8c\x98", "PLACE OF INTEREST SIGN (U+2318)"
"U+2319", "\xe2\x8c\x99", "TURNED NOT SIGN (U+2319)"
"U+231A", "\xe2\x8c\x9a", "WATCH (U+231A)"
"U+231B", "\xe2\x8c\x9b", "HOURGLASS (U+231B)"
"U+231C", "\xe2\x8c\x9c", "TOP LEFT CORNER (U+231C)"
"U+231D", "\xe2\x8c\x9d", "TOP RIGHT CORNER (U+231D)"
"U+231E", "\xe2\x8c\x9e", "BOTTOM LEFT CORNER (U+231E)"
"U+231F", "\xe2\x8c\x9f", "BOTTOM RIGHT CORNER (U+231F)"
"U+2320", "\xe2\x8c\xa0", "TOP HALF INTEGRAL (U+2320)"
"U+2321", "\xe2\x8c\xa1", "BOTTOM HALF INTEGRAL (U+2321)"
"U+2322", "\xe2\x8c\xa2", "FROWN (U+2322)"
"U+2323", "\xe2\x8c\xa3", "SMILE (U+2323)"
"U+2324", "\xe2\x8c\xa4", "UP ARROWHEAD BETWEEN TWO HORIZONTAL BARS (U+2324)"
"U+2325", "\xe2\x8c\xa5", "OPTION KEY (U+2325)"
"U+2326", "\xe2\x8c\xa6", "ERASE TO THE RIGHT (U+2326)"
"U+2327", "\xe2\x8c\xa7", "X IN A RECTANGLE BOX (U+2327)"
"U+2328", "\xe2\x8c\xa8", "KEYBOARD (U+2328)"
"U+2329", "\xe2\x8c\xa9", "LEFT-POINTING ANGLE BRACKET (U+2329)"
"U+232A", "\xe2\x8c\xaa", "RIGHT-POINTING ANGLE BRACKET (U+232A)"
"U+232B", "\xe2\x8c\xab", "ERASE TO THE LEFT (U+232B)"
"U+232C", "\xe2\x8c\xac", "BENZENE RING (U+232C)"
"U+232D", "\xe2\x8c\xad", "CYLINDRICITY (U+232D)"
"U+232E", "\xe2\x8c\xae", "ALL AROUND-PROFILE (U+232E)"
"U+232F", "\xe2\x8c\xaf", "SYMMETRY (U+232F)"
"U+2330", "\xe2\x8c\xb0", "TOTAL RUNOUT (U+2330)"
"U+2331", "\xe2\x8c\xb1", "DIMENSION ORIGIN (U+2331)"
"U+2332", "\xe2\x8c\xb2", "CONICAL TAPER (U+2332)"
"U+2333", "\xe2\x8c\xb3", "SLOPE (U+2333)"
"U+2334", "\xe2\x8c\xb4", "COUNTERBORE (U+2334)"
"U+2335", "\xe2\x8c\xb5", "COUNTERSINK (U+2335)"
"U+2336", "\xe2\x8c\xb6", "APL FUNCTIONAL SYMBOL I-BEAM (U+2336)"
"U+2337", "\xe2\x8c\xb7", "APL FUNCTIONAL SYMBOL SQUISH QUAD (U+2337)"
"U+2338", "\xe2\x8c\xb8", "APL FUNCTIONAL SYMBOL QUAD EQUAL (U+2338)"
"U+2339", "\xe2\x8c\xb9", "APL FUNCTIONAL SYMBOL QUAD DIVIDE (U+2339)"
"U+233A", "\xe2\x8c\xba", "APL FUNCTIONAL SYMBOL QUAD DIAMOND (U+233A)"
"U+233B", "\xe2\x8c\xbb", "APL FUNCTIONAL SYMBOL QUAD JOT (U+233B)"
