# Unicode Characters in the Control Pictures Block
# Source: http://www.fileformat.info/info/unicode/block/control_pictures/list.htm
"U+2400", "\xe2\x90\x80", "SYMBOL FOR NULL (U+2400)"
"U+2401", "\xe2\x90\x81", "SYMBOL FOR START OF HEADING (U+2401)"
"U+2402", "\xe2\x90\x82", "SYMBOL FOR START OF TEXT (U+2402)"
"U+2403", "\xe2\x90\x83", "SYMBOL FOR END OF TEXT (U+2403)"
"U+2404", "\xe2\x90\x84", "SYMBOL FOR END OF TRANSMISSION (U+2404)"
"U+2405", "\xe2\x90\x85", "SYMBOL FOR ENQUIRY (U+2405)"
"U+2406", "\xe2\x90\x86", "SYMBOL FOR ACKNOWLEDGE (U+2406)"
"U+2407", "\xe2\x90\x87", "SYMBOL FOR BELL (U+2407)"
"U+2408", "\xe2\x90\x88", "SYMBOL FOR BACKSPACE (U+2408)"
"U+2409", "\xe2\x90\x89", "SYMBOL FOR HORIZONTAL TABULATION (U+2409)"
"U+240A", "\xe2\x90\x8a", "SYMBOL FOR LINE FEED (U+240A)"
"U+240B", "\xe2\x90\x8b", "SYMBOL FOR VERTICAL TABULATION (U+240B)"
"U+240C", "\xe2\x90\x8c", "SYMBOL FOR FORM FEED (U+240C)"
"U+240D", "\xe2\x90\x8d", "SYMBOL FOR CARRIAGE RETURN (U+240D)"
"U+240E", "\xe2\x90\x8e", "SYMBOL FOR SHIFT OUT (U+240E)"
"U+240F", "\xe2\x90\x8f", "SYMBOL FOR SHIFT IN (U+240F)"
"U+2410", "\xe2\x90\x90", "SYMBOL FOR DATA LINK ESCAPE (U+2410)"
"U+2411", "\xe2\x90\x91", "SYMBOL FOR DEVICE CONTROL ONE (U+2411)"
"U+2412", "\xe2\x90\x92", "SYMBOL FOR DEVICE CONTROL TWO (U+2412)"
"U+2413", "\xe2\x90\x93", "SYMBOL FOR DEVICE CONTROL THREE (U+2413)"
"U+2414", "\xe2\x90\x94", "SYMBOL FOR DEVICE CONTROL FOUR (U+2414)"
"U+2415", "\xe2\x90\x95", "SYMBOL FOR NEGATIVE ACKNOWLEDGE (U+2415)"
"U+2416", "\xe2\x90\x96", "SYMBOL FOR SYNCHRONOUS IDLE (U+2416)"
"U+2417", "\xe2\x90\x97", "SYMBOL FOR END OF TRANSMISSION BLOCK (U+2417)"
"U+2418", "\xe2\x90\x98", "SYMBOL FOR CANCEL (U+2418)"
"U+2419", "\xe2\x90\x99", "SYMBOL FOR END OF MEDIUM (U+2419)"
"U+241A", "\xe2\x90\x9a", "SYMBOL FOR SUBSTITUTE (U+241A)"
"U+241B", "\xe2\x90\x9b", "SYMBOL FOR ESCAPE (U+241B)"
"U+241C", "\xe2\x90\x9c", "SYMBOL FOR FILE SEPARATOR (U+241C)"
"U+241D", "\xe2\x90\x9d", "SYMBOL FOR GROUP SEPARATOR (U+241D)"
"U+241E", "\xe2\x90\x9e", "SYMBOL FOR RECORD SEPARATOR (U+241E)"
"U+241F", "\xe2\x90\x9f", "SYMBOL FOR UNIT SEPARATOR (U+241F)"
"U+2420", "\xe2\x90\xa0", "SYMBOL FOR SPACE (U+2420)"
"U+2421", "\xe2\x90\xa1", "SYMBOL FOR DELETE (U+2421)"
"U+2422", "\xe2\x90\xa2", "BLANK SYMBOL (U+2422)"
"U+2423", "\xe2\x90\xa3", "OPEN BOX (U+2423)"
"U+2424", "\xe2\x90\xa4", "SYMBOL FOR NEWLINE (U+2424)"
"U+2425", "\xe2\x90\xa5", "SYMBOL FOR DELETE FORM TWO (U+2425)"
"U+2426", "\xe2\x90\xa6", "SYMBOL FOR SUBSTITUTE FORM TWO (U+2426)"
