# Unicode Characters in the Enclosed Alphanumerics Block
# Source: http://www.fileformat.info/info/unicode/block/enclosed_alphanumerics/list.htm
"U+2460", "\xe2\x91\xa0", "CIRCLED DIGIT ONE (U+2460)"
"U+2461", "\xe2\x91\xa1", "CIRCLED DIGIT TWO (U+2461)"
"U+2462", "\xe2\x91\xa2", "CIRCLED DIGIT THREE (U+2462)"
"U+2463", "\xe2\x91\xa3", "CIRCLED DIGIT FOUR (U+2463)"
"U+2464", "\xe2\x91\xa4", "CIRCLED DIGIT FIVE (U+2464)"
"U+2465", "\xe2\x91\xa5", "CIRCLED DIGIT SIX (U+2465)"
"U+2466", "\xe2\x91\xa6", "CIRCLED DIGIT SEVEN (U+2466)"
"U+2467", "\xe2\x91\xa7", "CIRCLED DIGIT EIGHT (U+2467)"
"U+2468", "\xe2\x91\xa8", "CIRCLED DIGIT NINE (U+2468)"
"U+2469", "\xe2\x91\xa9", "CIRCLED NUMBER TEN (U+2469)"
"U+246A", "\xe2\x91\xaa", "CIRCLED NUMBER ELEVEN (U+246A)"
"U+246B", "\xe2\x91\xab", "CIRCLED NUMBER TWELVE (U+246B)"
"U+246C", "\xe2\x91\xac", "CIRCLED NUMBER THIRTEEN (U+246C)"
"U+246D", "\xe2\x91\xad", "CIRCLED NUMBER FOURTEEN (U+246D)"
"U+246E", "\xe2\x91\xae", "CIRCLED NUMBER FIFTEEN (U+246E)"
"U+246F", "\xe2\x91\xaf", "CIRCLED NUMBER SIXTEEN (U+246F)"
"U+2470", "\xe2\x91\xb0", "CIRCLED NUMBER SEVENTEEN (U+2470)"
"U+2471", "\xe2\x91\xb1", "CIRCLED NUMBER EIGHTEEN (U+2471)"
"U+2472", "\xe2\x91\xb2", "CIRCLED NUMBER NINETEEN (U+2472)"
"U+2473", "\xe2\x91\xb3", "CIRCLED NUMBER TWENTY (U+2473)"
"U+2474", "\xe2\x91\xb4", "PARENTHESIZED DIGIT ONE (U+2474)"
"U+2475", "\xe2\x91\xb5", "PARENTHESIZED DIGIT TWO (U+2475)"
"U+2476", "\xe2\x91\xb6", "PARENTHESIZED DIGIT THREE (U+2476)"
"U+2477", "\xe2\x91\xb7", "PARENTHESIZED DIGIT FOUR (U+2477)"
"U+2478", "\xe2\x91\xb8", "PARENTHESIZED DIGIT FIVE (U+2478)"
"U+2479", "\xe2\x91\xb9", "PARENTHESIZED DIGIT SIX (U+2479)"
