# Unicode Characters in the Box Drawing Block
# Source: http://www.fileformat.info/info/unicode/block/box_drawing/list.htm
"U+2500", "\xe2\x94\x80", "BOX DRAWINGS LIGHT HORIZONTAL (U+2500)"
"U+2501", "\xe2\x94\x81", "BOX DRAWINGS HEAVY HORIZONTAL (U+2501)"
"U+2502", "\xe2\x94\x82", "BOX DRAWINGS LIGHT VERTICAL (U+2502)"
"U+2503", "\xe2\x94\x83", "BOX DRAWINGS HEAVY VERTICAL (U+2503)"
"U+2504", "\xe2\x94\x84", "BOX DRAWINGS LIGHT TRIPLE DASH HORIZONTAL (U+2504)"
"U+2505", "\xe2\x94\x85", "BOX DRAWINGS HEAVY TRIPLE DASH HORIZONTAL (U+2505)"
"U+2506", "\xe2\x94\x86", "BOX DRAWINGS LIGHT TRIPLE DASH VERTICAL (U+2506)"
"U+2507", "\xe2\x94\x87", "BOX DRAWINGS HEAVY TRIPLE DASH VERTICAL (U+2507)"
"U+2508", "\xe2\x94\x88", "BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL (U+2508)"
"U+2509", "\xe2\x94\x89", "BOX DRAWINGS HEAVY QUADRUPLE DASH HORIZONTAL (U+2509)"
"U+250A", "\xe2\x94\x8a", "BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL (U+250A)"
"U+250B", "\xe2\x94\x8b", "BOX DRAWINGS HEAVY QUADRUPLE DASH VERTICAL (U+250B)"
"U+250C", "\xe2\x94\x8c", "BOX DRAWINGS LIGHT DOWN AND RIGHT (U+250C)"
"U+250D", "\xe2\x94\x8d", "BOX DRAWINGS DOWN LIGHT AND RIGHT HEAVY (U+250D)"
"U+250E", "\xe2\x94\x8e", "BOX DRAWINGS DOWN HEAVY AND RIGHT LIGHT (U+250E)"
"U+250F", "\xe2\x94\x8f", "BOX DRAWINGS HEAVY DOWN AND RIGHT (U+250F)"
"U+2510", "\xe2\x94\x90", "BOX DRAWINGS LIGHT DOWN AND LEFT (U+2510)"
"U+2511", "\xe2\x94\x91", "BOX DRAWINGS DOWN LIGHT AND LEFT HEAVY (U+2511)"
"U+2512", "\xe2\x94\x92", "BOX DRAWINGS DOWN HEAVY AND LEFT LIGHT (U+2512)"
"U+2513", "\xe2\x94\x93", "BOX DRAWINGS HEAVY DOWN AND LEFT (U+2513)"
"U+2514", "\xe2\x94\x94", "BOX DRAWINGS LIGHT UP AND RIGHT (U+2514)"
"U+2515", "\xe2\x94\x95", "BOX DRAWINGS UP LIGHT AND RIGHT HEAVY (U+2515)"
"U+2516", "\xe2\x94\x96", "BOX DRAWINGS UP HEAVY AND RIGHT LIGHT (U+2516)"
"U+2517", "\xe2\x94\x97", "BOX DRAWINGS HEAVY UP AND RIGHT (U+2517)"
"U+2518", "\xe2\x94\x98", "BOX DRAWINGS LIGHT UP AND LEFT (U+2518)"
"U+2519", "\xe2\x94\x99", "BOX DRAWINGS UP LIGHT AND LEFT HEAVY (U+2519)"
"U+251A", "\xe2\x94\x9a", "BOX DRAWINGS UP HEAVY AND LEFT LIGHT (U+251A)"
"U+251B", "\xe2\x94\x9b", "BOX DRAWINGS HEAVY UP AND LEFT (U+251B)"
"U+251C", "\xe2\x94\x9c", "BOX DRAWINGS LIGHT VERTICAL AND RIGHT (U+251C)"
"U+251D", "\xe2\x94\x9d", "BOX DRAWINGS VERTICAL LIGHT AND RIGHT HEAVY (U+251D)"
