# Unicode Characters in the Geometric Shapes Block
# Source: http://www.fileformat.info/info/unicode/block/geometric_shapes/list.htm
"U+25A0", "\xe2\x96\xa0", "BLACK SQUARE (U+25A0)"
"U+25A1", "\xe2\x96\xa1", "WHITE SQUARE (U+25A1)"
"U+25A2", "\xe2\x96\xa2", "WHITE SQUARE WITH ROUNDED CORNERS (U+25A2)"
"U+25A3", "\xe2\x96\xa3", "WHITE SQUARE CONTAINING BLACK SMALL SQUARE (U+25A3)"
"U+25A4", "\xe2\x96\xa4", "SQUARE WITH HORIZONTAL FILL (U+25A4)"
"U+25A5", "\xe2\x96\xa5", "SQUARE WITH VERTICAL FILL (U+25A5)"
"U+25A6", "\xe2\x96\xa6", "SQUARE WITH ORTHOGONAL CROSSHATCH FILL (U+25A6)"
"U+25A7", "\xe2\x96\xa7", "SQUARE WITH UPPER LEFT TO LOWER RIGHT FILL (U+25A7)"
"U+25A8", "\xe2\x96\xa8", "SQUARE WITH UPPER RIGHT TO LOWER LEFT FILL (U+25A8)"
"U+25A9", "\xe2\x96\xa9", "SQUARE WITH DIAGONAL CROSSHATCH FILL (U+25A9)"
"U+25AA", "\xe2\x96\xaa", "BLACK SMALL SQUARE (U+25AA)"
"U+25AB", "\xe2\x96\xab", "WHITE SMALL SQUARE (U+25AB)"
"U+25AC", "\xe2\x96\xac", "BLACK RECTANGLE (U+25AC)"
"U+25AD", "\xe2\x96\xad", "WHITE RECTANGLE (U+25AD)"
"U+25AE", "\xe2\x96\xae", "BLACK VERTICAL RECTANGLE (U+25AE)"
"U+25AF", "\xe2\x96\xaf", "WHITE VERTICAL RECTANGLE (U+25AF)"
"U+25B0", "\xe2\x96\xb0", "BLACK PARALLELOGRAM (U+25B0)"
"U+25B1", "\xe2\x96\xb1", "WHITE PARALLELOGRAM (U+25B1)"
"U+25B2", "\xe2\x96\xb2", "BLACK UP-POINTING TRIANGLE (U+25B2)"
"U+25B3", "\xe2\x96\xb3", "WHITE UP-POINTING TRIANGLE (U+25B3)"
"U+25B4", "\xe2\x96\xb4", "BLACK UP-POINTING SMALL TRIANGLE (U+25B4)"
"U+25B5", "\xe2\x96\xb5", "WHITE UP-POINTING SMALL TRIANGLE (U+25B5)"
"U+25B6", "\xe2\x96\xb6", "BLACK RIGHT-POINTING TRIANGLE (U+25B6)"
"U+25B7", "\xe2\x96\xb7", "WHITE RIGHT-POINTING TRIANGLE (U+25B7)"
"U+25B8", "\xe2\x96\xb8", "BLACK RIGHT-POINTING SMALL TRIANGLE (U+25B8)"
"U+25B9", "\xe2\x96\xb9", "WHITE RIGHT-POINTING SMALL TRIANGLE (U+25B9)"
"U+25BA", "\xe2\x96\xba", "BLACK RIGHT-POINTING POINTER (U+25BA)"
"U+25BB", "\xe2\x96\xbb", "WHITE RIGHT-POINTING POINTER (U+25BB)"
