# Unicode Characters in the Miscellaneous Symbols Block
# Source: http://www.fileformat.info/info/unicode/block/miscellaneous_symbols/list.htm
"U+2600", "\xe2\x98\x80", "BLACK SUN WITH RAYS (U+2600)"
"U+2601", "\xe2\x98\x81", "CLOUD (U+2601)"
"U+2602", "\xe2\x98\x82", "UMBRELLA (U+2602)"
"U+2603", "\xe2\x98\x83", "SNOWMAN (U+2603)"
"U+2604", "\xe2\x98\x84", "COMET (U+2604)"
"U+2605", "\xe2\x98\x85", "BLACK STAR (U+2605)"
"U+2606", "\xe2\x98\x86", "WHITE STAR (U+2606)"
"U+2607", "\xe2\x98\x87", "LIGHTNING (U+2607)"
"U+2608", "\xe2\x98\x88", "THUNDERSTORM (U+2608)"
"U+2609", "\xe2\x98\x89", "SUN (U+2609)"
"U+260A", "\xe2\x98\x8a", "ASCENDING NODE (U+260A)"
"U+260B", "\xe2\x98\x8b", "DESCENDING NODE (U+260B)"
"U+260C", "\xe2\x98\x8c", "CONJUNCTION (U+260C)"
"U+260D", "\xe2\x98\x8d", "OPPOSITION (U+260D)"
"U+260E", "\xe2\x98\x8e", "BLACK TELEPHONE (U+260E)"
"U+260F", "\xe2\x98\x8f", "WHITE TELEPHONE (U+260F)"
"U+2610", "\xe2\x98\x90", "BALLOT BOX (U+2610)"
"U+2611", "\xe2\x98\x91", "BALLOT BOX WITH CHECK (U+2611)"
"U+2612", "\xe2\x98\x92", "BALLOT BOX WITH X (U+2612)"
"U+2613", "\xe2\x98\x93", "SALTIRE (U+2613)"
"U+2614", "\xe2\x98\x94", "UMBRELLA WITH RAIN DROPS (U+2614)"
"U+2615", "\xe2\x98\x95", "HOT BEVERAGE (U+2615)"
"U+2616", "\xe2\x98\x96", "WHITE SHOGI PIECE (U+2616)"
"U+2617", "\xe2\x98\x97", "BLACK SHOGI PIECE (U+2617)"
"U+2618", "\xe2\x98\x98", "SHAMROCK (U+2618)"
"U+2619", "\xe2\x98\x99", "REVERSED ROTATED FLORAL HEART BULLET (U+2619)"
"U+261A", "\xe2\x98\x9a", "BLACK LEFT POINTING INDEX (U+261A)"
"U+261B", "\xe2\x98\x9b", "BLACK RIGHT POINTING INDEX (U+261B)"
"U+261C", "\xe2\x98\x9c", "WHITE LEFT POINTING INDEX (U+261C)"
"U+261D", "\xe2\x98\x9d", "WHITE UP POINTING INDEX (U+261D)"
"U+261E", "\xe2\x98\x9e", "WHITE RIGHT POINTING INDEX (U+261E)"
"U+261F", "\xe2\x98\x9f", "WHITE DOWN POINTING INDEX (U+261F)"
"U+2620", "\xe2\x98\xa0", "SKULL AND CROSSBONES (U+2620)"
"U+2621", "\xe2\x98\xa1", "CAUTION SIGN (U+2621)"
"U+2622", "\xe2\x98\xa2", "RADIOACTIVE SIGN (U+2622)"
"U+2623", "\xe2\x98\xa3", "BIOHAZARD SIGN (U+2623)"
"U+2624", "\xe2\x98\xa4", "CADUCEUS (U+2624)"
"U+2625", "\xe2\x98\xa5", "ANKH (U+2625)"
"U+2626", "\xe2\x98\xa6", "ORTHODOX CROSS (U+2626)"
"U+2627", "\xe2\x98\xa7", "CHI RHO (U+2627)"
"U+2628", "\xe2\x98\xa8", "CROSS OF LORRAINE (U+2628)"
"U+2629", "\xe2\x98\xa9", "CROSS OF JERUSALEM (U+2629)"
"U+262A", "\xe2\x98\xaa", "STAR AND CRESCENT (U+262A)"
"U+262B", "\xe2\x98\xab", "FARSI SYMBOL (U+262B)"
"U+262C", "\xe2\x98\xac", "ADI SHAKTI (U+262C)"
"U+262D", "\xe2\x98\xad", "HAMMER AND SICKLE (U+262D)"
"U+262E", "\xe2\x98\xae", "PEACE SYMBOL (U+262E)"
"U+262F", "\xe2\x98\xaf", "YIN YANG (U+262F)"
"U+2630", "\xe2\x98\xb0", "TRIGRAM FOR HEAVEN (U+2630)"
"U+2631", "\xe2\x98\xb1", "TRIGRAM FOR LAKE (U+2631)"
"U+2632", "\xe2\x98\xb2", "TRIGRAM FOR FIRE (U+2632)"
"U+2633", "\xe2\x98\xb3", "TRIGRAM FOR THUNDER (U+2633)"
"U+2634", "\xe2\x98\xb4", "TRIGRAM FOR WIND (U+2634)"
"U+2635", "\xe2\x98\xb5", "TRIGRAM FOR WATER (U+2635)"
"U+2636", "\xe2\x98\xb6", "TRIGRAM FOR MOUNTAIN (U+2636)"
"U+2637", "\xe2\x98\xb7", "TRIGRAM FOR EARTH (U+2637)"
"U+2638", "\xe2\x98\xb8", "WHEEL OF DHARMA (U+2638)"
"U+2639", "\xe2\x98\xb9", "WHITE FROWNING FACE (U+2639)"
"U+263A", "\xe2\x98\xba", "WHITE SMILING FACE (U+263A)"
"U+263B", "\xe2\x98\xbb", "BLACK SMILING FACE (U+263B)"
"U+263C", "\xe2\x98\xbc", "WHITE SUN WITH RAYS (U+263C)"
"U+263D", "\xe2\x98\xbd", "FIRST QUARTER MOON (U+263D)"
"U+263E", "\xe2\x98\xbe", "LAST QUARTER MOON (U+263E)"
"U+263F", "\xe2\x98\xbf", "MERCURY (U+263F)"
"U+2640", "\xe2\x99\x80", "FEMALE SIGN (U+2640)"
"U+2641", "\xe2\x99\x81", "EARTH (U+2641)"
"U+2642", "\xe2\x99\x82", "MALE SIGN (U+2642)"
"U+2643", "\xe2\x99\x83", "JUPITER (U+2643)"
