# Unicode Characters in the Dingbats Block
# Source: http://www.fileformat.info/info/unicode/block/dingbats/list.htm
"U+2701", "\xe2\x9c\x81", "UPPER BLADE SCISSORS (U+2701)"
"U+2702", "\xe2\x9c\x82", "BLACK SCISSORS (U+2702)"
"U+2703", "\xe2\x9c\x83", "LOWER BLADE SCISSORS (U+2703)"
"U+2704", "\xe2\x9c\x84", "WHITE SCISSORS (U+2704)"
"U+2705", "\xe2\x9c\x85", "WHITE HEAVY CHECK MARK (U+2705)"
"U+2706", "\xe2\x9c\x86", "TELEPHONE LOCATION SIGN (U+2706)"
"U+2707", "\xe2\x9c\x87", "TAPE DRIVE (U+2707)"
"U+2708", "\xe2\x9c\x88", "AIRPLANE (U+2708)"
"U+2709", "\xe2\x9c\x89", "ENVELOPE (U+2709)"
"U+270A", "\xe2\x9c\x8a", "RAISED FIST (U+270A)"
"U+270B", "\xe2\x9c\x8b", "RAISED HAND (U+270B)"
"U+270C", "\xe2\x9c\x8c", "VICTORY HAND (U+270C)"
"U+270D", "\xe2\x9c\x8d", "WRITING HAND (U+270D)"
"U+270E", "\xe2\x9c\x8e", "LOWER RIGHT PENCIL (U+270E)"
"U+270F", "\xe2\x9c\x8f", "PENCIL (U+270F)"
"U+2710", "\xe2\x9c\x90", "UPPER RIGHT PENCIL (U+2710)"
"U+2711", "\xe2\x9c\x91", "WHITE NIB (U+2711)"
"U+2712", "\xe2\x9c\x92", "BLACK NIB (U+2712)"
"U+2713", "\xe2\x9c\x93", "CHECK MARK (U+2713)"
"U+2714", "\xe2\x9c\x94", "HEAVY CHECK MARK (U+2714)"
"U+2715", "\xe2\x9c\x95", "MULTIPLICATION X (U+2715)"
"U+2716", "\xe2\x9c\x96", "HEAVY MULTIPLICATION X (U+2716)"
"U+2717", "\xe2\x9c\x97", "BALLOT X (U+2717)"
"U+2718", "\xe2\x9c\x98", "HEAVY BALLOT X (U+2718)"
"U+2719", "\xe2\x9c\x99", "OUTLINED GREEK CROSS (U+2719)"
"U+271A", "\xe2\x9c\x9a", "HEAVY GREEK CROSS (U+271A)"
"U+271B", "\xe2\x9c\x9b", "OPEN CENTRE CROSS (U+271B)"
"U+271C", "\xe2\x9c\x9c", "HEAVY OPEN CENTRE CROSS (U+271C)"
"U+271D", "\xe2\x9c\x9d", "LATIN CROSS (U+271D)"
"U+271E", "\xe2\x9c\x9e", "SHADOWED WHITE LATIN CROSS (U+271E)"
"U+271F", "\xe2\x9c\x9f", "OUTLINED LATIN CROSS (U+271F)"
"U+2720", "\xe2\x9c\xa0", "MALTESE CROSS (U+2720)"
"U+2721", "\xe2\x9c\xa1", "STAR OF DAVID (U+2721)"
"U+2722", "\xe2\x9c\xa2", "FOUR TEARDROP-SPOKED ASTERISK (U+2722)"
"U+2723", "\xe2\x9c\xa3", "FOUR BALLOON-SPOKED ASTERISK (U+2723)"
"U+2724", "\xe2\x9c\xa4", "HEAVY FOUR BALLOON-SPOKED ASTERISK (U+2724)"
"U+2725", "\xe2\x9c\xa5", "FOUR CLUB-SPOKED ASTERISK (U+2725)"
"U+2726", "\xe2\x9c\xa6", "BLACK FOUR POINTED STAR (U+2726)"
"U+2727", "\xe2\x9c\xa7", "WHITE FOUR POINTED STAR (U+2727)"
"U+2728", "\xe2\x9c\xa8", "SPARKLES (U+2728)"
"U+2729", "\xe2\x9c\xa9", "STRESS OUTLINED WHITE STAR (U+2729)"
"U+272A", "\xe2\x9c\xaa", "CIRCLED WHITE STAR (U+272A)"
"U+272B", "\xe2\x9c\xab", "OPEN CENTRE BLACK STAR (U+272B)"
"U+272C", "\xe2\x9c\xac", "BLACK CENTRE WHITE STAR (U+272C)"
"U+272D", "\xe2\x9c\xad", "OUTLINED BLACK STAR (U+272D)"
"U+272E", "\xe2\x9c\xae", "HEAVY OUTLINED BLACK STAR (U+272E)"
"U+272F", "\xe2\x9c\xaf", "PINWHEEL STAR (U+272F)"
"U+2730", "\xe2\x9c\xb0", "SHADOWED WHITE STAR (U+2730)"
"U+2731", "\xe2\x9c\xb1", "HEAVY ASTERISK (U+2731)"
"U+2732", "\xe2\x9c\xb2", "OPEN CENTRE ASTERISK (U+2732)"
"U+2733", "\xe2\x9c\xb3", "EIGHT SPOKED ASTERISK (U+2733)"
"U+2734", "\xe2\x9c\xb4", "EIGHT POINTED BLACK STAR (U+2734)"
"U+2735", "\xe2\x9c\xb5", "EIGHT POINTED PINWHEEL STAR (U+2735)"
"U+2736", "\xe2\x9c\xb6", "SIX POINTED BLACK STAR (U+2736)"
"U+2737", "\xe2\x9c\xb7", "EIGHT POINTED RECTILINEAR BLACK STAR (U+2737)"
"U+2738", "\xe2\x9c\xb8", "HEAVY EIGHT POINTED RECTILINEAR BLACK STAR (U+2738)"
"U+2739", "\xe2\x9c\xb9", "TWELVE POINTED BLACK STAR (U+2739)"
"U+273A", "\xe2\x9c\xba", "SIXTEEN POINTED ASTERISK (U+273A)"
"U+273B", "\xe2\x9c\xbb", "TEARDROP-SPOKED ASTERISK (U+273B)"
"U+273C", "\xe2\x9c\xbc", "OPEN CENTRE TEARDROP-SPOKED ASTERISK (U+273C)"
"U+273D", "\xe2\x9c\xbd", "HEAVY TEARDROP-SPOKED ASTERISK (U+273D)"
"U+273E", "\xe2\x9c\xbe", "SIX PETALLED BLACK AND WHITE FLORETTE (U+273E)"
"U+273F", "\xe2\x9c\xbf", "BLACK FLORETTE (U+273F)"
"U+2740", "\xe2\x9d\x80", "WHITE FLORETTE (U+2740)"
"U+2741", "\xe2\x9d\x81", "EIGHT PETALLED OUTLINED BLACK FLORETTE (U+2741)"
"U+2742", "\xe2\x9d\x82", "CIRCLED OPEN CENTRE EIGHT POINTED STAR (U+2742)"
"U+2743", "\xe2\x9d\x83", "HEAVY TEARDROP-SPOKED PINWHEEL ASTERISK (U+2743)"
"U+2744", "\xe2\x9d\x84", "SNOWFLAKE (U+2744)"
"U+2745", "\xe2\x9d\x85", "TIGHT TRIFOLIATE SNOWFLAKE (U+2745)"
"U+2746", "\xe2\x9d\x86", "HEAVY CHEVRON SNOWFLAKE (U+2746)"
"U+2747", "\xe2\x9d\x87", "SPARKLE (U+2747)"
"U+2748", "\xe2\x9d\x88", "HEAVY SPARKLE (U+2748)"
"U+2749", "\xe2\x9d\x89", "BALLOON-SPOKED ASTERISK (U+2749)"
"U+274A", "\xe2\x9d\x8a", "EIGHT TEARDROP-SPOKED PROPELLER ASTERISK (U+274A)"
"U+274B", "\xe2\x9d\x8b", "HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK (U+274B)"
"U+274C", "\xe2\x9d\x8c", "CROSS MARK (U+274C)"
"U+274D", "\xe2\x9d\x8d", "SHADOWED WHITE CIRCLE (U+274D)"
"U+274E", "\xe2\x9d\x8e", "NEGATIVE SQUARED CROSS MARK (U+274E)"
"U+274F", "\xe2\x9d\x8f", "LOWER RIGHT DROP-SHADOWED WHITE SQUARE (U+274F)"
"U+2750", "\xe2\x9d\x90", "UPPER RIGHT DROP-SHADOWED WHITE SQUARE (U+2750)"
"U+2751", "\xe2\x9d\x91", "LOWER RIGHT SHADOWED WHITE SQUARE (U+2751)"
"U+2752", "\xe2\x9d\x92", "UPPER RIGHT SHADOWED WHITE SQUARE (U+2752)"
"U+2753", "\xe2\x9d\x93", "BLACK QUESTION MARK ORNAMENT (U+2753)"
"U+2754", "\xe2\x9d\x94", "WHITE QUESTION MARK ORNAMENT (U+2754)"
"U+2755", "\xe2\x9d\x95", "WHITE EXCLAMATION MARK ORNAMENT (U+2755)"
"U+2756", "\xe2\x9d\x96", "BLACK DIAMOND MINUS WHITE X (U+2756)"
"U+2757", "\xe2\x9d\x97", "HEAVY EXCLAMATION MARK SYMBOL (U+2757)"
"U+2758", "\xe2\x9d\x98", "LIGHT VERTICAL BAR (U+2758)"
"U+2759", "\xe2\x9d\x99", "MEDIUM VERTICAL BAR (U+2759)"
"U+275A", "\xe2\x9d\x9a", "HEAVY VERTICAL BAR (U+275A)"
"U+275B", "\xe2\x9d\x9b", "HEAVY SINGLE TURNED COMMA QUOTATION MARK ORNAMENT (U+275B)"
"U+275C", "\xe2\x9d\x9c", "HEAVY SINGLE COMMA QUOTATION MARK ORNAMENT (U+275C)"
"U+275D", "\xe2\x9d\x9d", "HEAVY DOUBLE TURNED COMMA QUOTATION MARK ORNAMENT (U+275D)"
"U+275E", "\xe2\x9d\x9e", "HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT (U+275E)"
