# Unicode Characters in the Miscellaneous Mathematical Symbols-A Block
# Source: http://www.fileformat.info/info/unicode/block/miscellaneous_mathematical_symbols_a/list.htm
"U+27C0", "\xe2\x9f\x80", "THREE DIMENSIONAL ANGLE (U+27C0)"
"U+27C1", "\xe2\x9f\x81", "WHITE TRIANGLE CONTAINING SMALL WHITE TRIANGLE (U+27C1)"
"U+27C2", "\xe2\x9f\x82", "PERPENDICULAR (U+27C2)"
"U+27C3", "\xe2\x9f\x83", "OPEN SUBSET (U+27C3)"
"U+27C4", "\xe2\x9f\x84", "OPEN SUPERSET (U+27C4)"
"U+27C5", "\xe2\x9f\x85", "LEFT S-SHAPED BAG DELIMITER (U+27C5)"
"U+27C6", "\xe2\x9f\x86", "RIGHT S-SHAPED BAG DELIMITER (U+27C6)"
"U+27C7", "\xe2\x9f\x87", "OR WITH DOT INSIDE (U+27C7)"
"U+27C8", "\xe2\x9f\x88", "REVERSE SOLIDUS PRECEDING SUBSET (U+27C8)"
"U+27C9", "\xe2\x9f\x89", "SUPERSET PRECEDING SOLIDUS (U+27C9)"
"U+27CA", "\xe2\x9f\x8a", "VERTICAL BAR WITH HORIZONTAL STROKE (U+27CA)"
"U+27CB", "\xe2\x9f\x8b", "MATHEMATICAL RISING DIAGONAL (U+27CB)"
"U+27CC", "\xe2\x9f\x8c", "LONG DIVISION (U+27CC)"
"U+27CD", "\xe2\x9f\x8d", "MATHEMATICAL FALLING DIAGONAL (U+27CD)"
"U+27CE", "\xe2\x9f\x8e", "SQUARED LOGICAL AND (U+27CE)"
"U+27CF", "\xe2\x9f\x8f", "SQUARED LOGICAL OR (U+27CF)"
"U+27D0", "\xe2\x9f\x90", "WHITE DIAMOND WITH CENTRED DOT (U+27D0)"
"U+27D1", "\xe2\x9f\x91", "AND WITH DOT (U+27D1)"
"U+27D2", "\xe2\x9f\x92", "ELEMENT OF OPENING UPWARDS (U+27D2)"
"U+27D3", "\xe2\x9f\x93", "LOWER RIGHT CORNER WITH DOT (U+27D3)"
"U+27D4", "\xe2\x9f\x94", "UPPER LEFT CORNER WITH DOT (U+27D4)"
"U+27D5", "\xe2\x9f\x95", "LEFT OUTER JOIN (U+27D5)"
"U+27D6", "\xe2\x9f\x96", "RIGHT OUTER JOIN (U+27D6)"
"U+27D7", "\xe2\x9f\x97", "FULL OUTER JOIN (U+27D7)"
"U+27D8", "\xe2\x9f\x98", "LARGE UP TACK (U+27D8)"
"U+27D9", "\xe2\x9f\x99", "LARGE DOWN TACK (U+27D9)"
"U+27DA", "\xe2\x9f\x9a", "LEFT AND RIGHT DOUBLE TURNSTILE (U+27DA)"
"U+27DB", "\xe2\x9f\x9b", "LEFT AND RIGHT TACK (U+27DB)"
"U+27DC", "\xe2\x9f\x9c", "LEFT MULTIMAP (U+27DC)"
"U+27DD", "\xe2\x9f\x9d", "LONG RIGHT TACK (U+27DD)"
"U+27DE", "\xe2\x9f\x9e", "LONG LEFT TACK (U+27DE)"
"U+27DF", "\xe2\x9f\x9f", "UP TACK WITH CIRCLE ABOVE (U+27DF)"
"U+27E0", "\xe2\x9f\xa0", "LOZENGE DIVIDED BY HORIZONTAL RULE (U+27E0)"
"U+27E1", "\xe2\x9f\xa1", "WHITE CONCAVE-SIDED DIAMOND (U+27E1)"
"U+27E2", "\xe2\x9f\xa2", "WHITE CONCAVE-SIDED DIAMOND WITH LEFTWARDS TICK (U+27E2)"
"U+27E3", "\xe2\x9f\xa3", "WHITE CONCAVE-SIDED DIAMOND WITH RIGHTWARDS TICK (U+27E3)"
"U+27E4", "\xe2\x9f\xa4", "WHITE SQUARE WITH LEFTWARDS TICK (U+27E4)"
"U+27E5", "\xe2\x9f\xa5", "WHITE SQUARE WITH RIGHTWARDS TICK (U+27E5)"
"U+27E6", "\xe2\x9f\xa6", "MATHEMATICAL LEFT WHITE SQUARE BRACKET (U+27E6)"
"U+27E7", "\xe2\x9f\xa7", "MATHEMATICAL RIGHT WHITE SQUARE BRACKET (U+27E7)"
"U+27E8", "\xe2\x9f\xa8", "MATHEMATICAL LEFT ANGLE BRACKET (U+27E8)"
"U+27E9", "\xe2\x9f\xa9", "MATHEMATICAL RIGHT ANGLE BRACKET (U+27E9)"
"U+27EA", "\xe2\x9f\xaa", "MATHEMATICAL LEFT DOUBLE ANGLE BRACKET (U+27EA)"
"U+27EB", "\xe2\x9f\xab", "MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET (U+27EB)"
"U+27EC", "\xe2\x9f\xac", "MATHEMATICAL LEFT WHITE TORTOISE SHELL BRACKET (U+27EC)"
"U+27ED", "\xe2\x9f\xad", "MATHEMATICAL RIGHT WHITE TORTOISE SHELL BRACKET (U+27ED)"
"U+27EE", "\xe2\x9f\xae", "MATHEMATICAL LEFT FLATTENED PARENTHESIS (U+27EE)"
"U+27EF", "\xe2\x9f\xaf", "MATHEMATICAL RIGHT FLATTENED PARENTHESIS (U+27EF)"
