# Unicode Characters in the Braille Patterns Block
# Source: http://www.fileformat.info/info/unicode/block/braille_patterns/list.htm
"U+2800", "\xe2\xa0\x80", "BRAILLE PATTERN BLANK (U+2800)"
"U+2801", "\xe2\xa0\x81", "BRAILLE PATTERN DOTS-1 (U+2801)"
"U+2802", "\xe2\xa0\x82", "BRAILLE PATTERN DOTS-2 (U+2802)"
"U+2803", "\xe2\xa0\x83", "BRAILLE PATTERN DOTS-12 (U+2803)"
"U+2804", "\xe2\xa0\x84", "BRAILLE PATTERN DOTS-3 (U+2804)"
"U+2805", "\xe2\xa0\x85", "BRAILLE PATTERN DOTS-13 (U+2805)"
"U+2806", "\xe2\xa0\x86", "BRAILLE PATTERN DOTS-23 (U+2806)"
"U+2807", "\xe2\xa0\x87", "BRAILLE PATTERN DOTS-123 (U+2807)"
"U+2808", "\xe2\xa0\x88", "BRAILLE PATTERN DOTS-4 (U+2808)"
"U+2809", "\xe2\xa0\x89", "BRAILLE PATTERN DOTS-14 (U+2809)"
"U+280A", "\xe2\xa0\x8a", "BRAILLE PATTERN DOTS-24 (U+280A)"
"U+280B", "\xe2\xa0\x8b", "BRAILLE PATTERN DOTS-124 (U+280B)"
"U+280C", "\xe2\xa0\x8c", "BRAILLE PATTERN DOTS-34 (U+280C)"
"U+280D", "\xe2\xa0\x8d", "BRAILLE PATTERN DOTS-134 (U+280D)"
"U+280E", "\xe2\xa0\x8e", "BRAILLE PATTERN DOTS-234 (U+280E)"
"U+280F", "\xe2\xa0\x8f", "BRAILLE PATTERN DOTS-1234 (U+280F)"
"U+2810", "\xe2\xa0\x90", "BRAILLE PATTERN DOTS-5 (U+2810)"
"U+2811", "\xe2\xa0\x91", "BRAILLE PATTERN DOTS-15 (U+2811)"
"U+2812", "\xe2\xa0\x92", "BRAILLE PATTERN DOTS-25 (U+2812)"
"U+2813", "\xe2\xa0\x93", "BRAILLE PATTERN DOTS-125 (U+2813)"
"U+2814", "\xe2\xa0\x94", "BRAILLE PATTERN DOTS-35 (U+2814)"
"U+2815", "\xe2\xa0\x95", "BRAILLE PATTERN DOTS-135 (U+2815)"
"U+2816", "\xe2\xa0\x96", "BRAILLE PATTERN DOTS-235 (U+2816)"
"U+2817", "\xe2\xa0\x97", "BRAILLE PATTERN DOTS-1235 (U+2817)"
"U+2818", "\xe2\xa0\x98", "BRAILLE PATTERN DOTS-45 (U+2818)"
"U+2819", "\xe2\xa0\x99", "BRAILLE PATTERN DOTS-145 (U+2819)"
"U+281A", "\xe2\xa0\x9a", "BRAILLE PATTERN DOTS-245 (U+281A)"
"U+281B", "\xe2\xa0\x9b", "BRAILLE PATTERN DOTS-1245 (U+281B)"
"U+281C", "\xe2\xa0\x9c", "BRAILLE PATTERN DOTS-345 (U+281C)"
"U+281D", "\xe2\xa0\x9d", "BRAILLE PATTERN DOTS-1345 (U+281D)"
"U+281E", "\xe2\xa0\x9e", "BRAILLE PATTERN DOTS-2345 (U+281E)"
"U+281F", "\xe2\xa0\x9f", "BRAILLE PATTERN DOTS-12345 (U+281F)"
"U+2820", "\xe2\xa0\xa0", "BRAILLE PATTERN DOTS-6 (U+2820)"
"U+2821", "\xe2\xa0\xa1", "BRAILLE PATTERN DOTS-16 (U+2821)"
"U+2822", "\xe2\xa0\xa2", "BRAILLE PATTERN DOTS-26 (U+2822)"
"U+2823", "\xe2\xa0\xa3", "BRAILLE PATTERN DOTS-126 (U+2823)"
"U+2824", "\xe2\xa0\xa4", "BRAILLE PATTERN DOTS-36 (U+2824)"
"U+2825", "\xe2\xa0\xa5", "BRAILLE PATTERN DOTS-136 (U+2825)"
"U+2826", "\xe2\xa0\xa6", "BRAILLE PATTERN DOTS-236 (U+2826)"
"U+2827", "\xe2\xa0\xa7", "BRAILLE PATTERN DOTS-1236 (U+2827)"
"U+2828", "\xe2\xa0\xa8", "BRAILLE PATTERN DOTS-46 (U+2828)"
"U+2829", "\xe2\xa0\xa9", "BRAILLE PATTERN DOTS-146 (U+2829)"
"U+282A", "\xe2\xa0\xaa", "BRAILLE PATTERN DOTS-246 (U+282A)"
"U+282B", "\xe2\xa0\xab", "BRAILLE PATTERN DOTS-1246 (U+282B)"
"U+282C", "\xe2\xa0\xac", "BRAILLE PATTERN DOTS-346 (U+282C)"
"U+282D", "\xe2\xa0\xad", "BRAILLE PATTERN DOTS-1346 (U+282D)"
"U+282E", "\xe2\xa0\xae", "BRAILLE PATTERN DOTS-2346 (U+282E)"
"U+282F", "\xe2\xa0\xaf", "BRAILLE PATTERN DOTS-12346 (U+282F)"
"U+2830", "\xe2\xa0\xb0", "BRAILLE PATTERN DOTS-56 (U+2830)"
"U+2831", "\xe2\xa0\xb1", "BRAILLE PATTERN DOTS-156 (U+2831)"
"U+2832", "\xe2\xa0\xb2", "BRAILLE PATTERN DOTS-256 (U+2832)"
"U+2833", "\xe2\xa0\xb3", "BRAILLE PATTERN DOTS-1256 (U+2833)"
"U+2834", "\xe2\xa0\xb4", "BRAILLE PATTERN DOTS-356 (U+2834)"
"U+2835", "\xe2\xa0\xb5", "BRAILLE PATTERN DOTS-1356 (U+2835)"
"U+2836", "\xe2\xa0\xb6", "BRAILLE PATTERN DOTS-2356 (U+2836)"
"U+2837", "\xe2\xa0\xb7", "BRAILLE PATTERN DOTS-12356 (U+2837)"
"U+2838", "\xe2\xa0\xb8", "BRAILLE PATTERN DOTS-456 (U+2838)"
"U+2839", "\xe2\xa0\xb9", "BRAILLE PATTERN DOTS-1456 (U+2839)"
"U+283A", "\xe2\xa0\xba", "BRAILLE PATTERN DOTS-2456 (U+283A)"
"U+283B", "\xe2\xa0\xbb", "BRAILLE PATTERN DOTS-12456 (U+283B)"
"U+283C", "\xe2\xa0\xbc", "BRAILLE PATTERN DOTS-3456 (U+283C)"
"U+283D", "\xe2\xa0\xbd", "BRAILLE PATTERN DOTS-13456 (U+283D)"
"U+283E", "\xe2\xa0\xbe", "BRAILLE PATTERN DOTS-23456 (U+283E)"
"U+283F", "\xe2\xa0\xbf", "BRAILLE PATTERN DOTS-123456 (U+283F)"
"U+2840", "\xe2\xa1\x80", "BRAILLE PATTERN DOTS-7 (U+2840)"
"U+2841", "\xe2\xa1\x81", "BRAILLE PATTERN DOTS-17 (U+2841)"
"U+2842", "\xe2\xa1\x82", "BRAILLE PATTERN DOTS-27 (U+2842)"
"U+2843", "\xe2\xa1\x83", "BRAILLE PATTERN DOTS-127 (U+2843)"
"U+2844", "\xe2\xa1\x84", "BRAILLE PATTERN DOTS-37 (U+2844)"
"U+2845", "\xe2\xa1\x85", "BRAILLE PATTERN DOTS-137 (U+2845)"
"U+2846", "\xe2\xa1\x86", "BRAILLE PATTERN DOTS-237 (U+2846)"
"U+2847", "\xe2\xa1\x87", "BRAILLE PATTERN DOTS-1237 (U+2847)"
"U+2848", "\xe2\xa1\x88", "BRAILLE PATTERN DOTS-47 (U+2848)"
"U+2849", "\xe2\xa1\x89", "BRAILLE PATTERN DOTS-147 (U+2849)"
"U+284A", "\xe2\xa1\x8a", "BRAILLE PATTERN DOTS-247 (U+284A)"
"U+284B", "\xe2\xa1\x8b", "BRAILLE PATTERN DOTS-1247 (U+284B)"
"U+284C", "\xe2\xa1\x8c", "BRAILLE PATTERN DOTS-347 (U+284C)"
"U+284D", "\xe2\xa1\x8d", "BRAILLE PATTERN DOTS-1347 (U+284D)"
"U+284E", "\xe2\xa1\x8e", "BRAILLE PATTERN DOTS-2347 (U+284E)"
"U+284F", "\xe2\xa1\x8f", "BRAILLE PATTERN DOTS-12347 (U+284F)"
"U+2850", "\xe2\xa1\x90", "BRAILLE PATTERN DOTS-57 (U+2850)"
"U+2851", "\xe2\xa1\x91", "BRAILLE PATTERN DOTS-157 (U+2851)"
"U+2852", "\xe2\xa1\x92", "BRAILLE PATTERN DOTS-257 (U+2852)"
"U+2853", "\xe2\xa1\x93", "BRAILLE PATTERN DOTS-1257 (U+2853)"
"U+2854", "\xe2\xa1\x94", "BRAILLE PATTERN DOTS-357 (U+2854)"
"U+2855", "\xe2\xa1\x95", "BRAILLE PATTERN DOTS-1357 (U+2855)"
"U+2856", "\xe2\xa1\x96", "BRAILLE PATTERN DOTS-2357 (U+2856)"
"U+2857", "\xe2\xa1\x97", "BRAILLE PATTERN DOTS-12357 (U+2857)"
"U+2858", "\xe2\xa1\x98", "BRAILLE PATTERN DOTS-457 (U+2858)"
"U+2859", "\xe2\xa1\x99", "BRAILLE PATTERN DOTS-1457 (U+2859)"
"U+285A", "\xe2\xa1\x9a", "BRAILLE PATTERN DOTS-2457 (U+285A)"
"U+285B", "\xe2\xa1\x9b", "BRAILLE PATTERN DOTS-12457 (U+285B)"
"U+285C", "\xe2\xa1\x9c", "BRAILLE PATTERN DOTS-3457 (U+285C)"
"U+285D", "\xe2\xa1\x9d", "BRAILLE PATTERN DOTS-13457 (U+285D)"
"U+285E", "\xe2\xa1\x9e", "BRAILLE PATTERN DOTS-23457 (U+285E)"
"U+285F", "\xe2\xa1\x9f", "BRAILLE PATTERN DOTS-123457 (U+285F)"
"U+2860", "\xe2\xa1\xa0", "BRAILLE PATTERN DOTS-67 (U+2860)"
"U+2861", "\xe2\xa1\xa1", "BRAILLE PATTERN DOTS-167 (U+2861)"
"U+2862", "\xe2\xa1\xa2", "BRAILLE PATTERN DOTS-267 (U+2862)"
"U+2863", "\xe2\xa1\xa3", "BRAILLE PATTERN DOTS-1267 (U+2863)"
"U+2864", "\xe2\xa1\xa4", "BRAILLE PATTERN DOTS-367 (U+2864)"
"U+2865", "\xe2\xa1\xa5", "BRAILLE PATTERN DOTS-1367 (U+2865)"
"U+2866", "\xe2\xa1\xa6", "BRAILLE PATTERN DOTS-2367 (U+2866)"
"U+2867", "\xe2\xa1\xa7", "BRAILLE PATTERN DOTS-12367 (U+2867)"
"U+2868", "\xe2\xa1\xa8", "BRAILLE PATTERN DOTS-467 (U+2868)"
"U+2869", "\xe2\xa1\xa9", "BRAILLE PATTERN DOTS-1467 (U+2869)"
"U+286A", "\xe2\xa1\xaa", "BRAILLE PATTERN DOTS-2467 (U+286A)"
"U+286B", "\xe2\xa1\xab", "BRAILLE PATTERN DOTS-12467 (U+286B)"
"U+286C", "\xe2\xa1\xac", "BRAILLE PATTERN DOTS-3467 (U+286C)"
"U+286D", "\xe2\xa1\xad", "BRAILLE PATTERN DOTS-13467 (U+286D)"
"U+286E", "\xe2\xa1\xae", "BRAILLE PATTERN DOTS-23467 (U+286E)"
"U+286F", "\xe2\xa1\xaf", "BRAILLE PATTERN DOTS-123467 (U+286F)"
"U+2870", "\xe2\xa1\xb0", "BRAILLE PATTERN DOTS-567 (U+2870)"
"U+2871", "\xe2\xa1\xb1", "BRAILLE PATTERN DOTS-1567 (U+2871)"
"U+2872", "\xe2\xa1\xb2", "BRAILLE PATTERN DOTS-2567 (U+2872)"
"U+2873", "\xe2\xa1\xb3", "BRAILLE PATTERN DOTS-12567 (U+2873)"
"U+2874", "\xe2\xa1\xb4", "BRAILLE PATTERN DOTS-3567 (U+2874)"
