# Unicode Characters in the Supplemental Arrows-B Block
# Source: http://www.fileformat.info/info/unicode/block/supplemental_arrows_b/list.htm
"U+2900", "\xe2\xa4\x80", "RIGHTWARDS TWO-HEADED ARROW WITH VERTICAL STROKE (U+2900)"
"U+2901", "\xe2\xa4\x81", "RIGHTWARDS TWO-HEADED ARROW WITH DOUBLE VERTICAL STROKE (U+2901)"
"U+2902", "\xe2\xa4\x82", "LEFTWARDS DOUBLE ARROW WITH VERTICAL STROKE (U+2902)"
"U+2903", "\xe2\xa4\x83", "RIGHTWARDS DOUBLE ARROW WITH VERTICAL STROKE (U+2903)"
"U+2904", "\xe2\xa4\x84", "LEFT RIGHT DOUBLE ARROW WITH VERTICAL STROKE (U+2904)"
"U+2905", "\xe2\xa4\x85", "RIGHTWARDS TWO-HEADED ARROW FROM BAR (U+2905)"
"U+2906", "\xe2\xa4\x86", "LEFTWARDS DOUBLE ARROW FROM BAR (U+2906)"
"U+2907", "\xe2\xa4\x87", "RIGHTWARDS DOUBLE ARROW FROM BAR (U+2907)"
"U+2908", "\xe2\xa4\x88", "DOWNWARDS ARROW WITH HORIZONTAL STROKE (U+2908)"
"U+2909", "\xe2\xa4\x89", "UPWARDS ARROW WITH HORIZONTAL STROKE (U+2909)"
"U+290A", "\xe2\xa4\x8a", "UPWARDS TRIPLE ARROW (U+290A)"
"U+290B", "\xe2\xa4\x8b", "DOWNWARDS TRIPLE ARROW (U+290B)"
"U+290C", "\xe2\xa4\x8c", "LEFTWARDS DOUBLE DASH ARROW (U+290C)"
"U+290D", "\xe2\xa4\x8d", "RIGHTWARDS DOUBLE DASH ARROW (U+290D)"
"U+290E", "\xe2\xa4\x8e", "LEFTWARDS TRIPLE DASH ARROW (U+290E)"
"U+290F", "\xe2\xa4\x8f", "RIGHTWARDS TRIPLE DASH ARROW (U+290F)"
"U+2910", "\xe2\xa4\x90", "RIGHTWARDS TWO-HEADED TRIPLE DASH ARROW (U+2910)"
"U+2911", "\xe2\xa4\x91", "RIGHTWARDS ARROW WITH DOTTED STEM (U+2911)"
"U+2912", "\xe2\xa4\x92", "UPWARDS ARROW TO BAR (U+2912)"
"U+2913", "\xe2\xa4\x93", "DOWNWARDS ARROW TO BAR (U+2913)"
"U+2914", "\xe2\xa4\x94", "RIGHTWARDS ARROW WITH TAIL WITH VERTICAL STROKE (U+2914)"
"U+2915", "\xe2\xa4\x95", "RIGHTWARDS ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE (U+2915)"
"U+2916", "\xe2\xa4\x96", "RIGHTWARDS TWO-HEADED ARROW WITH TAIL (U+2916)"
"U+2917", "\xe2\xa4\x97", "RIGHTWARDS TWO-HEADED ARROW WITH TAIL WITH VERTICAL STROKE (U+2917)"
"U+2918", "\xe2\xa4\x98", "RIGHTWARDS TWO-HEADED ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE (U+2918)"
"U+2919", "\xe2\xa4\x99", "LEFTWARDS ARROW-TAIL (U+2919)"
"U+291A", "\xe2\xa4\x9a", "RIGHTWARDS ARROW-TAIL (U+291A)"
"U+291B", "\xe2\xa4\x9b", "LEFTWARDS DOUBLE ARROW-TAIL (U+291B)"
"U+291C", "\xe2\xa4\x9c", "RIGHTWARDS DOUBLE ARROW-TAIL (U+291C)"
"U+291D", "\xe2\xa4\x9d", "LEFTWARDS ARROW TO BLACK DIAMOND (U+291D)"
"U+291E", "\xe2\xa4\x9e", "RIGHTWARDS ARROW TO BLACK DIAMOND (U+291E)"
"U+291F", "\xe2\xa4\x9f", "LEFTWARDS ARROW FROM BAR TO BLACK DIAMOND (U+291F)"
"U+2920", "\xe2\xa4\xa0", "RIGHTWARDS ARROW FROM BAR TO BLACK DIAMOND (U+2920)"
"U+2921", "\xe2\xa4\xa1", "NORTH WEST AND SOUTH EAST ARROW (U+2921)"
"U+2922", "\xe2\xa4\xa2", "NORTH EAST AND SOUTH WEST ARROW (U+2922)"
"U+2923", "\xe2\xa4\xa3", "NORTH WEST ARROW WITH HOOK (U+2923)"
"U+2924", "\xe2\xa4\xa4", "NORTH EAST ARROW WITH HOOK (U+2924)"
"U+2925", "\xe2\xa4\xa5", "SOUTH EAST ARROW WITH HOOK (U+2925)"
"U+2926", "\xe2\xa4\xa6", "SOUTH WEST ARROW WITH HOOK (U+2926)"
"U+2927", "\xe2\xa4\xa7", "NORTH WEST ARROW AND NORTH EAST ARROW (U+2927)"
"U+2928", "\xe2\xa4\xa8", "NORTH EAST ARROW AND SOUTH EAST ARROW (U+2928)"
"U+2929", "\xe2\xa4\xa9", "SOUTH EAST ARROW AND SOUTH WEST ARROW (U+2929)"
"U+292A", "\xe2\xa4\xaa", "SOUTH WEST ARROW AND NORTH WEST ARROW (U+292A)"
"U+292B", "\xe2\xa4\xab", "RISING DIAGONAL CROSSING FALLING DIAGONAL (U+292B)"
"U+292C", "\xe2\xa4\xac", "FALLING DIAGONAL CROSSING RISING DIAGONAL (U+292C)"
"U+292D", "\xe2\xa4\xad", "SOUTH EAST ARROW CROSSING NORTH EAST ARROW (U+292D)"
"U+292E", "\xe2\xa4\xae", "NORTH EAST ARROW CROSSING SOUTH EAST ARROW (U+292E)"
"U+292F", "\xe2\xa4\xaf", "FALLING DIAGONAL CROSSING NORTH EAST ARROW (U+292F)"
"U+2930", "\xe2\xa4\xb0", "RISING DIAGONAL CROSSING SOUTH EAST ARROW (U+2930)"
"U+2931", "\xe2\xa4\xb1", "NORTH EAST ARROW CROSSING NORTH WEST ARROW (U+2931)"
"U+2932", "\xe2\xa4\xb2", "NORTH WEST ARROW CROSSING NORTH EAST ARROW (U+2932)"
"U+2933", "\xe2\xa4\xb3", "WAVE ARROW POINTING DIRECTLY RIGHT (U+2933)"
"U+2934", "\xe2\xa4\xb4", "ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS (U+2934)"
"U+2935", "\xe2\xa4\xb5", "ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS (U+2935)"
"U+2936", "\xe2\xa4\xb6", "ARROW POINTING DOWNWARDS THEN CURVING LEFTWARDS (U+2936)"
"U+2937", "\xe2\xa4\xb7", "ARROW POINTING DOWNWARDS THEN CURVING RIGHTWARDS (U+2937)"
"U+2938", "\xe2\xa4\xb8", "RIGHT-SIDE ARC CLOCKWISE ARROW (U+2938)"
"U+2939", "\xe2\xa4\xb9", "LEFT-SIDE ARC ANTICLOCKWISE ARROW (U+2939)"
"U+293A", "\xe2\xa4\xba", "TOP ARC ANTICLOCKWISE ARROW (U+293A)"
"U+293B", "\xe2\xa4\xbb", "BOTTOM ARC ANTICLOCKWISE ARROW (U+293B)"
"U+293C", "\xe2\xa4\xbc", "TOP ARC CLOCKWISE ARROW WITH MINUS (U+293C)"
"U+293D", "\xe2\xa4\xbd", "TOP ARC ANTICLOCKWISE ARROW WITH PLUS (U+293D)"
"U+293E", "\xe2\xa4\xbe", "LOWER RIGHT SEMICIRCULAR CLOCKWISE ARROW (U+293E)"
"U+293F", "\xe2\xa4\xbf", "LOWER LEFT SEMICIRCULAR ANTICLOCKWISE ARROW (U+293F)"
"U+2940", "\xe2\xa5\x80", "ANTICLOCKWISE CLOSED CIRCLE ARROW (U+2940)"
"U+2941", "\xe2\xa5\x81", "CLOCKWISE CLOSED CIRCLE ARROW (U+2941)"
"U+2942", "\xe2\xa5\x82", "RIGHTWARDS ARROW ABOVE SHORT LEFTWARDS ARROW (U+2942)"
"U+2943", "\xe2\xa5\x83", "LEFTWARDS ARROW ABOVE SHORT RIGHTWARDS ARROW (U+2943)"
"U+2944", "\xe2\xa5\x84", "SHORT RIGHTWARDS ARROW ABOVE LEFTWARDS ARROW (U+2944)"
"U+2945", "\xe2\xa5\x85", "RIGHTWARDS ARROW WITH PLUS BELOW (U+2945)"
"U+2946", "\xe2\xa5\x86", "LEFTWARDS ARROW WITH PLUS BELOW (U+2946)"
"U+2947", "\xe2\xa5\x87", "RIGHTWARDS ARROW THROUGH X (U+2947)"
"U+2948", "\xe2\xa5\x88", "LEFT RIGHT ARROW THROUGH SMALL CIRCLE (U+2948)"
"U+2949", "\xe2\xa5\x89", "UPWARDS TWO-HEADED ARROW FROM SMALL CIRCLE (U+2949)"
"U+294A", "\xe2\xa5\x8a", "LEFT BARB UP RIGHT BARB DOWN HARPOON (U+294A)"
"U+294B", "\xe2\xa5\x8b", "LEFT BARB DOWN RIGHT BARB UP HARPOON (U+294B)"
"U+294C", "\xe2\xa5\x8c", "UP BARB RIGHT DOWN BARB LEFT HARPOON (U+294C)"
