# Unicode Characters in the Miscellaneous Mathematical Symbols-B Block
# Source: http://www.fileformat.info/info/unicode/block/miscellaneous_mathematical_symbols_b/list.htm
"U+2980", "\xe2\xa6\x80", "TRIPLE VERTICAL BAR DELIMITER (U+2980)"
"U+2981", "\xe2\xa6\x81", "Z NOTATION SPOT (U+2981)"
"U+2982", "\xe2\xa6\x82", "Z NOTATION TYPE COLON (U+2982)"
"U+2983", "\xe2\xa6\x83", "LEFT WHITE CURLY BRACKET (U+2983)"
"U+2984", "\xe2\xa6\x84", "RIGHT WHITE CURLY BRACKET (U+2984)"
"U+2985", "\xe2\xa6\x85", "LEFT WHITE PARENTHESIS (U+2985)"
"U+2986", "\xe2\xa6\x86", "RIGHT WHITE PARENTHESIS (U+2986)"
"U+2987", "\xe2\xa6\x87", "Z NOTATION LEFT IMAGE BRACKET (U+2987)"
"U+2988", "\xe2\xa6\x88", "Z NOTATION RIGHT IMAGE BRACKET (U+2988)"
"U+2989", "\xe2\xa6\x89", "Z NOTATION LEFT BINDING BRACKET (U+2989)"
"U+298A", "\xe2\xa6\x8a", "Z NOTATION RIGHT BINDING BRACKET (U+298A)"
"U+298B", "\xe2\xa6\x8b", "LEFT SQUARE BRACKET WITH UNDERBAR (U+298B)"
"U+298C", "\xe2\xa6\x8c", "RIGHT SQUARE BRACKET WITH UNDERBAR (U+298C)"
"U+298D", "\xe2\xa6\x8d", "LEFT SQUARE BRACKET WITH TICK IN TOP CORNER (U+298D)"
"U+298E", "\xe2\xa6\x8e", "RIGHT SQUARE BRACKET WITH TICK IN BOTTOM CORNER (U+298E)"
"U+298F", "\xe2\xa6\x8f", "LEFT SQUARE BRACKET WITH TICK IN BOTTOM CORNER (U+298F)"
"U+2990", "\xe2\xa6\x90", "RIGHT SQUARE BRACKET WITH TICK IN TOP CORNER (U+2990)"
"U+2991", "\xe2\xa6\x91", "LEFT ANGLE BRACKET WITH DOT (U+2991)"
"U+2992", "\xe2\xa6\x92", "RIGHT ANGLE BRACKET WITH DOT (U+2992)"
"U+2993", "\xe2\xa6\x93", "LEFT ARC LESS-THAN BRACKET (U+2993)"
"U+2994", "\xe2\xa6\x94", "RIGHT ARC GREATER-THAN BRACKET (U+2994)"
"U+2995", "\xe2\xa6\x95", "DOUBLE LEFT ARC GREATER-THAN BRACKET (U+2995)"
"U+2996", "\xe2\xa6\x96", "DOUBLE RIGHT ARC LESS-THAN BRACKET (U+2996)"
"U+2997", "\xe2\xa6\x97", "LEFT BLACK TORTOISE SHELL BRACKET (U+2997)"
"U+2998", "\xe2\xa6\x98", "RIGHT BLACK TORTOISE SHELL BRACKET (U+2998)"
"U+2999", "\xe2\xa6\x99", "DOTTED FENCE (U+2999)"
"U+299A", "\xe2\xa6\x9a", "VERTICAL ZIGZAG LINE (U+299A)"
"U+299B", "\xe2\xa6\x9b", "MEASURED ANGLE OPENING LEFT (U+299B)"
"U+299C", "\xe2\xa6\x9c", "RIGHT ANGLE VARIANT WITH SQUARE (U+299C)"
"U+299D", "\xe2\xa6\x9d", "MEASURED RIGHT ANGLE WITH DOT (U+299D)"
"U+299E", "\xe2\xa6\x9e", "ANGLE WITH S INSIDE (U+299E)"
"U+299F", "\xe2\xa6\x9f", "ACUTE ANGLE (U+299F)"
"U+29A0", "\xe2\xa6\xa0", "SPHERICAL ANGLE OPENING LEFT (U+29A0)"
"U+29A1", "\xe2\xa6\xa1", "SPHERICAL ANGLE OPENING UP (U+29A1)"
"U+29A2", "\xe2\xa6\xa2", "TURNED ANGLE (U+29A2)"
"U+29A3", "\xe2\xa6\xa3", "REVERSED ANGLE (U+29A3)"
"U+29A4", "\xe2\xa6\xa4", "ANGLE WITH UNDERBAR (U+29A4)"
"U+29A5", "\xe2\xa6\xa5", "REVERSED ANGLE WITH UNDERBAR (U+29A5)"
"U+29A6", "\xe2\xa6\xa6", "OBLIQUE ANGLE OPENING UP (U+29A6)"
"U+29A7", "\xe2\xa6\xa7", "OBLIQUE ANGLE OPENING DOWN (U+29A7)"
"U+29A8", "\xe2\xa6\xa8", "MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING UP AND RIGHT (U+29A8)"
"U+29A9", "\xe2\xa6\xa9", "MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING UP AND LEFT (U+29A9)"
"U+29AA", "\xe2\xa6\xaa", "MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING DOWN AND RIGHT (U+29AA)"
"U+29AB", "\xe2\xa6\xab", "MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING DOWN AND LEFT (U+29AB)"
"U+29AC", "\xe2\xa6\xac", "MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING RIGHT AND UP (U+29AC)"
"U+29AD", "\xe2\xa6\xad", "MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING LEFT AND UP (U+29AD)"
"U+29AE", "\xe2\xa6\xae", "MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING RIGHT AND DOWN (U+29AE)"
"U+29AF", "\xe2\xa6\xaf", "MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING LEFT AND DOWN (U+29AF)"
"U+29B0", "\xe2\xa6\xb0", "REVERSED EMPTY SET (U+29B0)"
"U+29B1", "\xe2\xa6\xb1", "EMPTY SET WITH OVERBAR (U+29B1)"
"U+29B2", "\xe2\xa6\xb2", "EMPTY SET WITH SMALL CIRCLE ABOVE (U+29B2)"
"U+29B3", "\xe2\xa6\xb3", "EMPTY SET WITH RIGHT ARROW ABOVE (U+29B3)"
"U+29B4", "\xe2\xa6\xb4", "EMPTY SET WITH LEFT ARROW ABOVE (U+29B4)"
"U+29B5", "\xe2\xa6\xb5", "CIRCLE WITH HORIZONTAL BAR (U+29B5)"
"U+29B6", "\xe2\xa6\xb6", "CIRCLED VERTICAL BAR (U+29B6)"
"U+29B7", "\xe2\xa6\xb7", "CIRCLED PARALLEL (U+29B7)"
"U+29B8", "\xe2\xa6\xb8", "CIRCLED REVERSE SOLIDUS (U+29B8)"
"U+29B9", "\xe2\xa6\xb9", "CIRCLED PERPENDICULAR (U+29B9)"
