# Unicode Characters in the Supplemental Mathematical Operators Block
# Source: http://www.fileformat.info/info/unicode/block/supplemental_mathematical_operators/list.htm
"U+2A00", "\xe2\xa8\x80", "N-ARY CIRCLED DOT OPERATOR (U+2A00)"
"U+2A01", "\xe2\xa8\x81", "N-ARY CIRCLED PLUS OPERATOR (U+2A01)"
"U+2A02", "\xe2\xa8\x82", "N-ARY CIRCLED TIMES OPERATOR (U+2A02)"
"U+2A03", "\xe2\xa8\x83", "N-ARY UNION OPERATOR WITH DOT (U+2A03)"
"U+2A04", "\xe2\xa8\x84", "N-ARY UNION OPERATOR WITH PLUS (U+2A04)"
"U+2A05", "\xe2\xa8\x85", "N-ARY SQUARE INTERSECTION OPERATOR (U+2A05)"
"U+2A06", "\xe2\xa8\x86", "N-ARY SQUARE UNION OPERATOR (U+2A06)"
"U+2A07", "\xe2\xa8\x87", "TWO LOGICAL AND OPERATOR (U+2A07)"
"U+2A08", "\xe2\xa8\x88", "TWO LOGICAL OR OPERATOR (U+2A08)"
"U+2A09", "\xe2\xa8\x89", "N-ARY TIMES OPERATOR (U+2A09)"
"U+2A0A", "\xe2\xa8\x8a", "MODULO TWO SUM (U+2A0A)"
"U+2A0B", "\xe2\xa8\x8b", "SUMMATION WITH INTEGRAL (U+2A0B)"
"U+2A0C", "\xe2\xa8\x8c", "QUADRUPLE INTEGRAL OPERATOR (U+2A0C)"
"U+2A0D", "\xe2\xa8\x8d", "FINITE PART INTEGRAL (U+2A0D)"
"U+2A0E", "\xe2\xa8\x8e", "INTEGRAL WITH DOUBLE STROKE (U+2A0E)"
"U+2A0F", "\xe2\xa8\x8f", "INTEGRAL AVERAGE WITH SLASH (U+2A0F)"
"U+2A10", "\xe2\xa8\x90", "CIRCULATION FUNCTION (U+2A10)"
"U+2A11", "\xe2\xa8\x91", "ANTICLOCKWISE INTEGRATION (U+2A11)"
"U+2A12", "\xe2\xa8\x92", "LINE INTEGRATION WITH RECTANGULAR PATH AROUND POLE (U+2A12)"
"U+2A13", "\xe2\xa8\x93", "LINE INTEGRATION WITH SEMICIRCULAR PATH AROUND POLE (U+2A13)"
"U+2A14", "\xe2\xa8\x94", "LINE INTEGRATION NOT INCLUDING THE POLE (U+2A14)"
"U+2A15", "\xe2\xa8\x95", "INTEGRAL AROUND A POINT OPERATOR (U+2A15)"
"U+2A16", "\xe2\xa8\x96", "QUATERNION INTEGRAL OPERATOR (U+2A16)"
"U+2A17", "\xe2\xa8\x97", "INTEGRAL WITH LEFTWARDS ARROW WITH HOOK (U+2A17)"
"U+2A18", "\xe2\xa8\x98", "INTEGRAL WITH TIMES SIGN (U+2A18)"
"U+2A19", "\xe2\xa8\x99", "INTEGRAL WITH INTERSECTION (U+2A19)"
"U+2A1A", "\xe2\xa8\x9a", "INTEGRAL WITH UNION (U+2A1A)"
"U+2A1B", "\xe2\xa8\x9b", "INTEGRAL WITH OVERBAR (U+2A1B)"
"U+2A1C", "\xe2\xa8\x9c", "INTEGRAL WITH UNDERBAR (U+2A1C)"
"U+2A1D", "\xe2\xa8\x9d", "JOIN (U+2A1D)"
"U+2A1E", "\xe2\xa8\x9e", "LARGE LEFT TRIANGLE OPERATOR (U+2A1E)"
"U+2A1F", "\xe2\xa8\x9f", "Z NOTATION SCHEMA COMPOSITION (U+2A1F)"
"U+2A20", "\xe2\xa8\xa0", "Z NOTATION SCHEMA PIPING (U+2A20)"
"U+2A21", "\xe2\xa8\xa1", "Z NOTATION SCHEMA PROJECTION (U+2A21)"
"U+2A22", "\xe2\xa8\xa2", "PLUS SIGN WITH SMALL CIRCLE ABOVE (U+2A22)"
"U+2A23", "\xe2\xa8\xa3", "PLUS SIGN WITH CIRCUMFLEX ACCENT ABOVE (U+2A23)"
"U+2A24", "\xe2\xa8\xa4", "PLUS SIGN WITH TILDE ABOVE (U+2A24)"
"U+2A25", "\xe2\xa8\xa5", "PLUS SIGN WITH DOT BELOW (U+2A25)"
"U+2A26", "\xe2\xa8\xa6", "PLUS SIGN WITH TILDE BELOW (U+2A26)"
"U+2A27", "\xe2\xa8\xa7", "PLUS SIGN WITH SUBSCRIPT TWO (U+2A27)"
"U+2A28", "\xe2\xa8\xa8", "PLUS SIGN WITH BLACK TRIANGLE (U+2A28)"
"U+2A29", "\xe2\xa8\xa9", "MINUS SIGN WITH COMMA ABOVE (U+2A29)"
"U+2A2A", "\xe2\xa8\xaa", "MINUS SIGN WITH DOT BELOW (U+2A2A)"
"U+2A2B", "\xe2\xa8\xab", "MINUS SIGN WITH FALLING DOTS (U+2A2B)"
"U+2A2C", "\xe2\xa8\xac", "MINUS SIGN WITH RISING DOTS (U+2A2C)"
"U+2A2D", "\xe2\xa8\xad", "PLUS SIGN IN LEFT HALF CIRCLE (U+2A2D)"
"U+2A2E", "\xe2\xa8\xae", "PLUS SIGN IN RIGHT HALF CIRCLE (U+2A2E)"
"U+2A2F", "\xe2\xa8\xaf", "VECTOR OR CROSS PRODUCT (U+2A2F)"
"U+2A30", "\xe2\xa8\xb0", "MULTIPLICATION SIGN WITH DOT ABOVE (U+2A30)"
"U+2A31", "\xe2\xa8\xb1", "MULTIPLICATION SIGN WITH UNDERBAR (U+2A31)"
"U+2A32", "\xe2\xa8\xb2", "SEMIDIRECT PRODUCT WITH BOTTOM CLOSED (U+2A32)"
"U+2A33", "\xe2\xa8\xb3", "SMASH PRODUCT (U+2A33)"
"U+2A34", "\xe2\xa8\xb4", "MULTIPLICATION SIGN IN LEFT HALF CIRCLE (U+2A34)"
"U+2A35", "\xe2\xa8\xb5", "MULTIPLICATION SIGN IN RIGHT HALF CIRCLE (U+2A35)"
"U+2A36", "\xe2\xa8\xb6", "CIRCLED MULTIPLICATION SIGN WITH CIRCUMFLEX ACCENT (U+2A36)"
"U+2A37", "\xe2\xa8\xb7", "MULTIPLICATION SIGN IN DOUBLE CIRCLE (U+2A37)"
