# Unicode Characters in the Miscellaneous Symbols and Arrows Block
# Source: http://www.fileformat.info/info/unicode/block/miscellaneous_symbols_and_arrows/list.htm
"U+2B00", "\xe2\xac\x80", "NORTH EAST WHITE ARROW (U+2B00)"
"U+2B01", "\xe2\xac\x81", "NORTH WEST WHITE ARROW (U+2B01)"
"U+2B02", "\xe2\xac\x82", "SOUTH EAST WHITE ARROW (U+2B02)"
"U+2B03", "\xe2\xac\x83", "SOUTH WEST WHITE ARROW (U+2B03)"
"U+2B04", "\xe2\xac\x84", "LEFT RIGHT WHITE ARROW (U+2B04)"
"U+2B05", "\xe2\xac\x85", "LEFTWARDS BLACK ARROW (U+2B05)"
"U+2B06", "\xe2\xac\x86", "UPWARDS BLACK ARROW (U+2B06)"
"U+2B07", "\xe2\xac\x87", "DOWNWARDS BLACK ARROW (U+2B07)"
"U+2B08", "\xe2\xac\x88", "NORTH EAST BLACK ARROW (U+2B08)"
"U+2B09", "\xe2\xac\x89", "NORTH WEST BLACK ARROW (U+2B09)"
"U+2B0A", "\xe2\xac\x8a", "SOUTH EAST BLACK ARROW (U+2B0A)"
"U+2B0B", "\xe2\xac\x8b", "SOUTH WEST BLACK ARROW (U+2B0B)"
"U+2B0C", "\xe2\xac\x8c", "LEFT RIGHT BLACK ARROW (U+2B0C)"
"U+2B0D", "\xe2\xac\x8d", "UP DOWN BLACK ARROW (U+2B0D)"
"U+2B0E", "\xe2\xac\x8e", "RIGHTWARDS ARROW WITH TIP DOWNWARDS (U+2B0E)"
"U+2B0F", "\xe2\xac\x8f", "RIGHTWARDS ARROW WITH TIP UPWARDS (U+2B0F)"
"U+2B10", "\xe2\xac\x90", "LEFTWARDS ARROW WITH TIP DOWNWARDS (U+2B10)"
"U+2B11", "\xe2\xac\x91", "LEFTWARDS ARROW WITH TIP UPWARDS (U+2B11)"
"U+2B12", "\xe2\xac\x92", "SQUARE WITH TOP HALF BLACK (U+2B12)"
"U+2B13", "\xe2\xac\x93", "SQUARE WITH BOTTOM HALF BLACK (U+2B13)"
"U+2B14", "\xe2\xac\x94", "SQUARE WITH UPPER RIGHT DIAGONAL HALF BLACK (U+2B14)"
"U+2B15", "\xe2\xac\x95", "SQUARE WITH LOWER LEFT DIAGONAL HALF BLACK (U+2B15)"
"U+2B16", "\xe2\xac\x96", "DIAMOND WITH LEFT HALF BLACK (U+2B16)"
"U+2B17", "\xe2\xac\x97", "DIAMOND WITH RIGHT HALF BLACK (U+2B17)"
"U+2B18", "\xe2\xac\x98", "DIAMOND WITH TOP HALF BLACK (U+2B18)"
"U+2B19", "\xe2\xac\x99", "DIAMOND WITH BOTTOM HALF BLACK (U+2B19)"
"U+2B1A", "\xe2\xac\x9a", "DOTTED SQUARE (U+2B1A)"
"U+2B1B", "\xe2\xac\x9b", "BLACK LARGE SQUARE (U+2B1B)"
"U+2B1C", "\xe2\xac\x9c", "WHITE LARGE SQUARE (U+2B1C)"
"U+2B1D", "\xe2\xac\x9d", "BLACK VERY SMALL SQUARE (U+2B1D)"
"U+2B1E", "\xe2\xac\x9e", "WHITE VERY SMALL SQUARE (U+2B1E)"
"U+2B1F", "\xe2\xac\x9f", "BLACK PENTAGON (U+2B1F)"
"U+2B20", "\xe2\xac\xa0", "WHITE PENTAGON (U+2B20)"
"U+2B21", "\xe2\xac\xa1", "WHITE HEXAGON (U+2B21)"
"U+2B22", "\xe2\xac\xa2", "BLACK HEXAGON (U+2B22)"
"U+2B23", "\xe2\xac\xa3", "HORIZONTAL BLACK HEXAGON (U+2B23)"
"U+2B24", "\xe2\xac\xa4", "BLACK LARGE CIRCLE (U+2B24)"
"U+2B25", "\xe2\xac\xa5", "BLACK MEDIUM DIAMOND (U+2B25)"
"U+2B26", "\xe2\xac\xa6", "WHITE MEDIUM DIAMOND (U+2B26)"
"U+2B27", "\xe2\xac\xa7", "BLACK MEDIUM LOZENGE (U+2B27)"
"U+2B28", "\xe2\xac\xa8", "WHITE MEDIUM LOZENGE (U+2B28)"
"U+2B29", "\xe2\xac\xa9", "BLACK SMALL DIAMOND (U+2B29)"
"U+2B2A", "\xe2\xac\xaa", "BLACK SMALL LOZENGE (U+2B2A)"
"U+2B2B", "\xe2\xac\xab", "WHITE SMALL LOZENGE (U+2B2B)"
"U+2B2C", "\xe2\xac\xac", "BLACK HORIZONTAL ELLIPSE (U+2B2C)"
"U+2B2D", "\xe2\xac\xad", "WHITE HORIZONTAL ELLIPSE (U+2B2D)"
"U+2B2E", "\xe2\xac\xae", "BLACK VERTICAL ELLIPSE (U+2B2E)"
"U+2B2F", "\xe2\xac\xaf", "WHITE VERTICAL ELLIPSE (U+2B2F)"
"U+2B30", "\xe2\xac\xb0", "LEFT ARROW WITH SMALL CIRCLE (U+2B30)"
"U+2B31", "\xe2\xac\xb1", "THREE LEFTWARDS ARROWS (U+2B31)"
"U+2B32", "\xe2\xac\xb2", "LEFT ARROW WITH CIRCLED PLUS (U+2B32)"
"U+2B33", "\xe2\xac\xb3", "LONG LEFTWARDS SQUIGGLE ARROW (U+2B33)"
"U+2B34", "\xe2\xac\xb4", "LEFTWARDS TWO-HEADED ARROW WITH VERTICAL STROKE (U+2B34)"
"U+2B35", "\xe2\xac\xb5", "LEFTWARDS TWO-HEADED ARROW WITH DOUBLE VERTICAL STROKE (U+2B35)"
"U+2B36", "\xe2\xac\xb6", "LEFTWARDS TWO-HEADED ARROW FROM BAR (U+2B36)"
"U+2B37", "\xe2\xac\xb7", "LEFTWARDS TWO-HEADED TRIPLE DASH ARROW (U+2B37)"
"U+2B38", "\xe2\xac\xb8", "LEFTWARDS ARROW WITH DOTTED STEM (U+2B38)"
"U+2B39", "\xe2\xac\xb9", "LEFTWARDS ARROW WITH TAIL WITH VERTICAL STROKE (U+2B39)"
"U+2B3A", "\xe2\xac\xba", "LEFTWARDS ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE (U+2B3A)"
"U+2B3B", "\xe2\xac\xbb", "LEFTWARDS TWO-HEADED ARROW WITH TAIL (U+2B3B)"
"U+2B3C", "\xe2\xac\xbc", "LEFTWARDS TWO-HEADED ARROW WITH TAIL WITH VERTICAL STROKE (U+2B3C)"
"U+2B3D", "\xe2\xac\xbd", "LEFTWARDS TWO-HEADED ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE (U+2B3D)"
"U+2B3E", "\xe2\xac\xbe", "LEFTWARDS ARROW THROUGH X (U+2B3E)"
"U+2B3F", "\xe2\xac\xbf", "WAVE ARROW POINTING DIRECTLY LEFT (U+2B3F)"
"U+2B40", "\xe2\xad\x80", "EQUALS SIGN ABOVE LEFTWARDS ARROW (U+2B40)"
"U+2B41", "\xe2\xad\x81", "REVERSE TILDE OPERATOR ABOVE LEFTWARDS ARROW (U+2B41)"
"U+2B42", "\xe2\xad\x82", "LEFTWARDS ARROW ABOVE REVERSE ALMOST EQUAL TO (U+2B42)"
"U+2B43", "\xe2\xad\x83", "RIGHTWARDS ARROW THROUGH GREATER-THAN (U+2B43)"
"U+2B44", "\xe2\xad\x84", "RIGHTWARDS ARROW THROUGH SUPERSET (U+2B44)"
