# Unicode Characters in the CJK Unified Ideographs Extension D Block
# Source: http://www.fileformat.info/info/unicode/block/cjk_unified_ideographs_extension_d/list.htm
"U+2B740", "\xe2\xad\xb4\x30", "<CJK Ideograph Extension D, First> (U+2B740)"
"U+2B741", "\xe2\xad\xb4\x31", "U+2B741 (U+2B741)"
"U+2B742", "\xe2\xad\xb4\x32", "U+2B742 (U+2B742)"
"U+2B743", "\xe2\xad\xb4\x33", "U+2B743 (U+2B743)"
"U+2B744", "\xe2\xad\xb4\x34", "U+2B744 (U+2B744)"
"U+2B745", "\xe2\xad\xb4\x35", "U+2B745 (U+2B745)"
"U+2B746", "\xe2\xad\xb4\x36", "U+2B746 (U+2B746)"
"U+2B747", "\xe2\xad\xb4\x37", "U+2B747 (U+2B747)"
"U+2B748", "\xe2\xad\xb4\x38", "U+2B748 (U+2B748)"
"U+2B749", "\xe2\xad\xb4\x39", "U+2B749 (U+2B749)"
"U+2B74A", "\xe2\xad\xb4\x41", "U+2B74A (U+2B74A)"
"U+2B74B", "\xe2\xad\xb4\x42", "U+2B74B (U+2B74B)"
"U+2B74C", "\xe2\xad\xb4\x43", "U+2B74C (U+2B74C)"
"U+2B74D", "\xe2\xad\xb4\x44", "U+2B74D (U+2B74D)"
"U+2B74E", "\xe2\xad\xb4\x45", "U+2B74E (U+2B74E)"
"U+2B74F", "\xe2\xad\xb4\x46", "U+2B74F (U+2B74F)"
"U+2B750", "\xe2\xad\xb5\x30", "U+2B750 (U+2B750)"
"U+2B751", "\xe2\xad\xb5\x31", "U+2B751 (U+2B751)"
"U+2B752", "\xe2\xad\xb5\x32", "U+2B752 (U+2B752)"
"U+2B753", "\xe2\xad\xb5\x33", "U+2B753 (U+2B753)"
"U+2B754", "\xe2\xad\xb5\x34", "U+2B754 (U+2B754)"
"U+2B755", "\xe2\xad\xb5\x35", "U+2B755 (U+2B755)"
"U+2B756", "\xe2\xad\xb5\x36", "U+2B756 (U+2B756)"
"U+2B757", "\xe2\xad\xb5\x37", "U+2B757 (U+2B757)"
"U+2B758", "\xe2\xad\xb5\x38", "U+2B758 (U+2B758)"
"U+2B759", "\xe2\xad\xb5\x39", "U+2B759 (U+2B759)"
"U+2B75A", "\xe2\xad\xb5\x41", "U+2B75A (U+2B75A)"
"U+2B75B", "\xe2\xad\xb5\x42", "U+2B75B (U+2B75B)"
"U+2B75C", "\xe2\xad\xb5\x43", "U+2B75C (U+2B75C)"
"U+2B75D", "\xe2\xad\xb5\x44", "U+2B75D (U+2B75D)"
"U+2B75E", "\xe2\xad\xb5\x45", "U+2B75E (U+2B75E)"
"U+2B75F", "\xe2\xad\xb5\x46", "U+2B75F (U+2B75F)"
"U+2B760", "\xe2\xad\xb6\x30", "U+2B760 (U+2B760)"
"U+2B761", "\xe2\xad\xb6\x31", "U+2B761 (U+2B761)"
"U+2B762", "\xe2\xad\xb6\x32", "U+2B762 (U+2B762)"
"U+2B763", "\xe2\xad\xb6\x33", "U+2B763 (U+2B763)"
