# Unicode Characters in the Glagolitic Block
# Source: http://www.fileformat.info/info/unicode/block/glagolitic/list.htm
"U+2C00", "\xe2\xb0\x80", "GLAGOLITIC CAPITAL LETTER AZU (U+2C00)"
"U+2C01", "\xe2\xb0\x81", "GLAGOLITIC CAPITAL LETTER BUKY (U+2C01)"
"U+2C02", "\xe2\xb0\x82", "GLAGOLITIC CAPITAL LETTER VEDE (U+2C02)"
"U+2C03", "\xe2\xb0\x83", "GLAGOLITIC CAPITAL LETTER GLAGOLI (U+2C03)"
"U+2C04", "\xe2\xb0\x84", "GLAGOLITIC CAPITAL LETTER DOBRO (U+2C04)"
"U+2C05", "\xe2\xb0\x85", "GLAGOLITIC CAPITAL LETTER YESTU (U+2C05)"
"U+2C06", "\xe2\xb0\x86", "GLAGOLITIC CAPITAL LETTER ZHIVETE (U+2C06)"
"U+2C07", "\xe2\xb0\x87", "GLAGOLITIC CAPITAL LETTER DZELO (U+2C07)"
"U+2C08", "\xe2\xb0\x88", "GLAGOLITIC CAPITAL LETTER ZEMLJA (U+2C08)"
"U+2C09", "\xe2\xb0\x89", "GLAGOLITIC CAPITAL LETTER IZHE (U+2C09)"
"U+2C0A", "\xe2\xb0\x8a", "GLAGOLITIC CAPITAL LETTER INITIAL IZHE (U+2C0A)"
"U+2C0B", "\xe2\xb0\x8b", "GLAGOLITIC CAPITAL LETTER I (U+2C0B)"
"U+2C0C", "\xe2\xb0\x8c", "GLAGOLITIC CAPITAL LETTER DJERVI (U+2C0C)"
"U+2C0D", "\xe2\xb0\x8d", "GLAGOLITIC CAPITAL LETTER KAKO (U+2C0D)"
"U+2C0E", "\xe2\xb0\x8e", "GLAGOLITIC CAPITAL LETTER LJUDIJE (U+2C0E)"
"U+2C0F", "\xe2\xb0\x8f", "GLAGOLITIC CAPITAL LETTER MYSLITE (U+2C0F)"
"U+2C10", "\xe2\xb0\x90", "GLAGOLITIC CAPITAL LETTER NASHI (U+2C10)"
"U+2C11", "\xe2\xb0\x91", "GLAGOLITIC CAPITAL LETTER ONU (U+2C11)"
"U+2C12", "\xe2\xb0\x92", "GLAGOLITIC CAPITAL LETTER POKOJI (U+2C12)"
"U+2C13", "\xe2\xb0\x93", "GLAGOLITIC CAPITAL LETTER RITSI (U+2C13)"
"U+2C14", "\xe2\xb0\x94", "GLAGOLITIC CAPITAL LETTER SLOVO (U+2C14)"
"U+2C15", "\xe2\xb0\x95", "GLAGOLITIC CAPITAL LETTER TVRIDO (U+2C15)"
"U+2C16", "\xe2\xb0\x96", "GLAGOLITIC CAPITAL LETTER UKU (U+2C16)"
"U+2C17", "\xe2\xb0\x97", "GLAGOLITIC CAPITAL LETTER FRITU (U+2C17)"
"U+2C18", "\xe2\xb0\x98", "GLAGOLITIC CAPITAL LETTER HERU (U+2C18)"
"U+2C19", "\xe2\xb0\x99", "GLAGOLITIC CAPITAL LETTER OTU (U+2C19)"
"U+2C1A", "\xe2\xb0\x9a", "GLAGOLITIC CAPITAL LETTER PE (U+2C1A)"
"U+2C1B", "\xe2\xb0\x9b", "GLAGOLITIC CAPITAL LETTER SHTA (U+2C1B)"
"U+2C1C", "\xe2\xb0\x9c", "GLAGOLITIC CAPITAL LETTER TSI (U+2C1C)"
"U+2C1D", "\xe2\xb0\x9d", "GLAGOLITIC CAPITAL LETTER CHRIVI (U+2C1D)"
"U+2C1E", "\xe2\xb0\x9e", "GLAGOLITIC CAPITAL LETTER SHA (U+2C1E)"
"U+2C1F", "\xe2\xb0\x9f", "GLAGOLITIC CAPITAL LETTER YERU (U+2C1F)"
"U+2C20", "\xe2\xb0\xa0", "GLAGOLITIC CAPITAL LETTER YERI (U+2C20)"
"U+2C21", "\xe2\xb0\xa1", "GLAGOLITIC CAPITAL LETTER YATI (U+2C21)"
"U+2C22", "\xe2\xb0\xa2", "GLAGOLITIC CAPITAL LETTER SPIDERY HA (U+2C22)"
"U+2C23", "\xe2\xb0\xa3", "GLAGOLITIC CAPITAL LETTER YU (U+2C23)"
"U+2C24", "\xe2\xb0\xa4", "GLAGOLITIC CAPITAL LETTER SMALL YUS (U+2C24)"
"U+2C25", "\xe2\xb0\xa5", "GLAGOLITIC CAPITAL LETTER SMALL YUS WITH TAIL (U+2C25)"
"U+2C26", "\xe2\xb0\xa6", "GLAGOLITIC CAPITAL LETTER YO (U+2C26)"
"U+2C27", "\xe2\xb0\xa7", "GLAGOLITIC CAPITAL LETTER IOTATED SMALL YUS (U+2C27)"
"U+2C28", "\xe2\xb0\xa8", "GLAGOLITIC CAPITAL LETTER BIG YUS (U+2C28)"
"U+2C29", "\xe2\xb0\xa9", "GLAGOLITIC CAPITAL LETTER IOTATED BIG YUS (U+2C29)"
"U+2C2A", "\xe2\xb0\xaa", "GLAGOLITIC CAPITAL LETTER FITA (U+2C2A)"
"U+2C2B", "\xe2\xb0\xab", "GLAGOLITIC CAPITAL LETTER IZHITSA (U+2C2B)"
"U+2C2C", "\xe2\xb0\xac", "GLAGOLITIC CAPITAL LETTER SHTAPIC (U+2C2C)"
"U+2C2D", "\xe2\xb0\xad", "GLAGOLITIC CAPITAL LETTER TROKUTASTI A (U+2C2D)"
"U+2C2E", "\xe2\xb0\xae", "GLAGOLITIC CAPITAL LETTER LATINATE MYSLITE (U+2C2E)"
"U+2C30", "\xe2\xb0\xb0", "GLAGOLITIC SMALL LETTER AZU (U+2C30)"
"U+2C31", "\xe2\xb0\xb1", "GLAGOLITIC SMALL LETTER BUKY (U+2C31)"
"U+2C32", "\xe2\xb0\xb2", "GLAGOLITIC SMALL LETTER VEDE (U+2C32)"
"U+2C33", "\xe2\xb0\xb3", "GLAGOLITIC SMALL LETTER GLAGOLI (U+2C33)"
"U+2C34", "\xe2\xb0\xb4", "GLAGOLITIC SMALL LETTER DOBRO (U+2C34)"
"U+2C35", "\xe2\xb0\xb5", "GLAGOLITIC SMALL LETTER YESTU (U+2C35)"
"U+2C36", "\xe2\xb0\xb6", "GLAGOLITIC SMALL LETTER ZHIVETE (U+2C36)"
"U+2C37", "\xe2\xb0\xb7", "GLAGOLITIC SMALL LETTER DZELO (U+2C37)"
"U+2C38", "\xe2\xb0\xb8", "GLAGOLITIC SMALL LETTER ZEMLJA (U+2C38)"
"U+2C39", "\xe2\xb0\xb9", "GLAGOLITIC SMALL LETTER IZHE (U+2C39)"
"U+2C3A", "\xe2\xb0\xba", "GLAGOLITIC SMALL LETTER INITIAL IZHE (U+2C3A)"
"U+2C3B", "\xe2\xb0\xbb", "GLAGOLITIC SMALL LETTER I (U+2C3B)"
"U+2C3C", "\xe2\xb0\xbc", "GLAGOLITIC SMALL LETTER DJERVI (U+2C3C)"
"U+2C3D", "\xe2\xb0\xbd", "GLAGOLITIC SMALL LETTER KAKO (U+2C3D)"
"U+2C3E", "\xe2\xb0\xbe", "GLAGOLITIC SMALL LETTER LJUDIJE (U+2C3E)"
"U+2C3F", "\xe2\xb0\xbf", "GLAGOLITIC SMALL LETTER MYSLITE (U+2C3F)"
"U+2C40", "\xe2\xb1\x80", "GLAGOLITIC SMALL LETTER NASHI (U+2C40)"
"U+2C41", "\xe2\xb1\x81", "GLAGOLITIC SMALL LETTER ONU (U+2C41)"
"U+2C42", "\xe2\xb1\x82", "GLAGOLITIC SMALL LETTER POKOJI (U+2C42)"
"U+2C43", "\xe2\xb1\x83", "GLAGOLITIC SMALL LETTER RITSI (U+2C43)"
"U+2C44", "\xe2\xb1\x84", "GLAGOLITIC SMALL LETTER SLOVO (U+2C44)"
"U+2C45", "\xe2\xb1\x85", "GLAGOLITIC SMALL LETTER TVRIDO (U+2C45)"
"U+2C46", "\xe2\xb1\x86", "GLAGOLITIC SMALL LETTER UKU (U+2C46)"
"U+2C47", "\xe2\xb1\x87", "GLAGOLITIC SMALL LETTER FRITU (U+2C47)"
"U+2C48", "\xe2\xb1\x88", "GLAGOLITIC SMALL LETTER HERU (U+2C48)"
"U+2C49", "\xe2\xb1\x89", "GLAGOLITIC SMALL LETTER OTU (U+2C49)"
"U+2C4A", "\xe2\xb1\x8a", "GLAGOLITIC SMALL LETTER PE (U+2C4A)"
"U+2C4B", "\xe2\xb1\x8b", "GLAGOLITIC SMALL LETTER SHTA (U+2C4B)"
"U+2C4C", "\xe2\xb1\x8c", "GLAGOLITIC SMALL LETTER TSI (U+2C4C)"
"U+2C4D", "\xe2\xb1\x8d", "GLAGOLITIC SMALL LETTER CHRIVI (U+2C4D)"
"U+2C4E", "\xe2\xb1\x8e", "GLAGOLITIC SMALL LETTER SHA (U+2C4E)"
"U+2C4F", "\xe2\xb1\x8f", "GLAGOLITIC SMALL LETTER YERU (U+2C4F)"
"U+2C50", "\xe2\xb1\x90", "GLAGOLITIC SMALL LETTER YERI (U+2C50)"
"U+2C51", "\xe2\xb1\x91", "GLAGOLITIC SMALL LETTER YATI (U+2C51)"
"U+2C52", "\xe2\xb1\x92", "GLAGOLITIC SMALL LETTER SPIDERY HA (U+2C52)"
"U+2C53", "\xe2\xb1\x93", "GLAGOLITIC SMALL LETTER YU (U+2C53)"
"U+2C54", "\xe2\xb1\x94", "GLAGOLITIC SMALL LETTER SMALL YUS (U+2C54)"
"U+2C55", "\xe2\xb1\x95", "GLAGOLITIC SMALL LETTER SMALL YUS WITH TAIL (U+2C55)"
"U+2C56", "\xe2\xb1\x96", "GLAGOLITIC SMALL LETTER YO (U+2C56)"
"U+2C57", "\xe2\xb1\x97", "GLAGOLITIC SMALL LETTER IOTATED SMALL YUS (U+2C57)"
"U+2C58", "\xe2\xb1\x98", "GLAGOLITIC SMALL LETTER BIG YUS (U+2C58)"
"U+2C59", "\xe2\xb1\x99", "GLAGOLITIC SMALL LETTER IOTATED BIG YUS (U+2C59)"
"U+2C5A", "\xe2\xb1\x9a", "GLAGOLITIC SMALL LETTER FITA (U+2C5A)"
"U+2C5B", "\xe2\xb1\x9b", "GLAGOLITIC SMALL LETTER IZHITSA (U+2C5B)"
"U+2C5C", "\xe2\xb1\x9c", "GLAGOLITIC SMALL LETTER SHTAPIC (U+2C5C)"
"U+2C5D", "\xe2\xb1\x9d", "GLAGOLITIC SMALL LETTER TROKUTASTI A (U+2C5D)"
"U+2C5E", "\xe2\xb1\x9e", "GLAGOLITIC SMALL LETTER LATINATE MYSLITE (U+2C5E)"
