# Unicode Characters in the Cyrillic Extended-A Block
# Source: http://www.fileformat.info/info/unicode/block/cyrillic_extended_a/list.htm
"U+2DE0", "\xe2\xb7\xa0", "COMBINING CYRILLIC LETTER BE (U+2DE0)"
"U+2DE1", "\xe2\xb7\xa1", "COMBINING CYRILLIC LETTER VE (U+2DE1)"
"U+2DE2", "\xe2\xb7\xa2", "COMBINING CYRILLIC LETTER GHE (U+2DE2)"
"U+2DE3", "\xe2\xb7\xa3", "COMBINING CYRILLIC LETTER DE (U+2DE3)"
"U+2DE4", "\xe2\xb7\xa4", "COMBINING CYRILLIC LETTER ZHE (U+2DE4)"
"U+2DE5", "\xe2\xb7\xa5", "COMBINING CYRILLIC LETTER ZE (U+2DE5)"
"U+2DE6", "\xe2\xb7\xa6", "COMBINING CYRILLIC LETTER KA (U+2DE6)"
"U+2DE7", "\xe2\xb7\xa7", "COMBINING CYRILLIC LETTER EL (U+2DE7)"
"U+2DE8", "\xe2\xb7\xa8", "COMBINING CYRILLIC LETTER EM (U+2DE8)"
"U+2DE9", "\xe2\xb7\xa9", "COMBINING CYRILLIC LETTER EN (U+2DE9)"
"U+2DEA", "\xe2\xb7\xaa", "COMBINING CYRILLIC LETTER O (U+2DEA)"
"U+2DEB", "\xe2\xb7\xab", "COMBINING CYRILLIC LETTER PE (U+2DEB)"
"U+2DEC", "\xe2\xb7\xac", "COMBINING CYRILLIC LETTER ER (U+2DEC)"
"U+2DED", "\xe2\xb7\xad", "COMBINING CYRILLIC LETTER ES (U+2DED)"
"U+2DEE", "\xe2\xb7\xae", "COMBINING CYRILLIC LETTER TE (U+2DEE)"
"U+2DEF", "\xe2\xb7\xaf", "COMBINING CYRILLIC LETTER HA (U+2DEF)"
"U+2DF0", "\xe2\xb7\xb0", "COMBINING CYRILLIC LETTER TSE (U+2DF0)"
"U+2DF1", "\xe2\xb7\xb1", "COMBINING CYRILLIC LETTER CHE (U+2DF1)"
"U+2DF2", "\xe2\xb7\xb2", "COMBINING CYRILLIC LETTER SHA (U+2DF2)"
"U+2DF3", "\xe2\xb7\xb3", "COMBINING CYRILLIC LETTER SHCHA (U+2DF3)"
"U+2DF4", "\xe2\xb7\xb4", "COMBINING CYRILLIC LETTER FITA (U+2DF4)"
"U+2DF5", "\xe2\xb7\xb5", "COMBINING CYRILLIC LETTER ES-TE (U+2DF5)"
"U+2DF6", "\xe2\xb7\xb6", "COMBINING CYRILLIC LETTER A (U+2DF6)"
"U+2DF7", "\xe2\xb7\xb7", "COMBINING CYRILLIC LETTER IE (U+2DF7)"
"U+2DF8", "\xe2\xb7\xb8", "COMBINING CYRILLIC LETTER DJERV (U+2DF8)"
"U+2DF9", "\xe2\xb7\xb9", "COMBINING CYRILLIC LETTER MONOGRAPH UK (U+2DF9)"
"U+2DFA", "\xe2\xb7\xba", "COMBINING CYRILLIC LETTER YAT (U+2DFA)"
"U+2DFB", "\xe2\xb7\xbb", "COMBINING CYRILLIC LETTER YU (U+2DFB)"
"U+2DFC", "\xe2\xb7\xbc", "COMBINING CYRILLIC LETTER IOTIFIED A (U+2DFC)"
"U+2DFD", "\xe2\xb7\xbd", "COMBINING CYRILLIC LETTER LITTLE YUS (U+2DFD)"
"U+2DFE", "\xe2\xb7\xbe", "COMBINING CYRILLIC LETTER BIG YUS (U+2DFE)"
"U+2DFF", "\xe2\xb7\xbf", "COMBINING CYRILLIC LETTER IOTIFIED BIG YUS (U+2DFF)"
