# Unicode Characters in the Supplemental Punctuation Block
# Source: http://www.fileformat.info/info/unicode/block/supplemental_punctuation/list.htm
"U+2E00", "\xe2\xb8\x80", "RIGHT ANGLE SUBSTITUTION MARKER (U+2E00)"
"U+2E01", "\xe2\xb8\x81", "RIGHT ANGLE DOTTED SUBSTITUTION MARKER (U+2E01)"
"U+2E02", "\xe2\xb8\x82", "LEFT SUBSTITUTION BRACKET (U+2E02)"
"U+2E03", "\xe2\xb8\x83", "RIGHT SUBSTITUTION BRACKET (U+2E03)"
"U+2E04", "\xe2\xb8\x84", "LEFT DOTTED SUBSTITUTION BRACKET (U+2E04)"
"U+2E05", "\xe2\xb8\x85", "RIGHT DOTTED SUBSTITUTION BRACKET (U+2E05)"
"U+2E06", "\xe2\xb8\x86", "RAISED INTERPOLATION MARKER (U+2E06)"
"U+2E07", "\xe2\xb8\x87", "RAISED DOTTED INTERPOLATION MARKER (U+2E07)"
"U+2E08", "\xe2\xb8\x88", "DOTTED TRANSPOSITION MARKER (U+2E08)"
"U+2E09", "\xe2\xb8\x89", "LEFT TRANSPOSITION BRACKET (U+2E09)"
"U+2E0A", "\xe2\xb8\x8a", "RIGHT TRANSPOSITION BRACKET (U+2E0A)"
"U+2E0B", "\xe2\xb8\x8b", "RAISED SQUARE (U+2E0B)"
"U+2E0C", "\xe2\xb8\x8c", "LEFT RAISED OMISSION BRACKET (U+2E0C)"
"U+2E0D", "\xe2\xb8\x8d", "RIGHT RAISED OMISSION BRACKET (U+2E0D)"
"U+2E0E", "\xe2\xb8\x8e", "EDITORIAL CORONIS (U+2E0E)"
"U+2E0F", "\xe2\xb8\x8f", "PARAGRAPHOS (U+2E0F)"
"U+2E10", "\xe2\xb8\x90", "FORKED PARAGRAPHOS (U+2E10)"
"U+2E11", "\xe2\xb8\x91", "REVERSED FORKED PARAGRAPHOS (U+2E11)"
"U+2E12", "\xe2\xb8\x92", "HYPODIASTOLE (U+2E12)"
"U+2E13", "\xe2\xb8\x93", "DOTTED OBELOS (U+2E13)"
"U+2E14", "\xe2\xb8\x94", "DOWNWARDS ANCORA (U+2E14)"
"U+2E15", "\xe2\xb8\x95", "UPWARDS ANCORA (U+2E15)"
"U+2E16", "\xe2\xb8\x96", "DOTTED RIGHT-POINTING ANGLE (U+2E16)"
"U+2E17", "\xe2\xb8\x97", "DOUBLE OBLIQUE HYPHEN (U+2E17)"
"U+2E18", "\xe2\xb8\x98", "INVERTED INTERROBANG (U+2E18)"
"U+2E19", "\xe2\xb8\x99", "PALM BRANCH (U+2E19)"
"U+2E1A", "\xe2\xb8\x9a", "HYPHEN WITH DIAERESIS (U+2E1A)"
"U+2E1B", "\xe2\xb8\x9b", "TILDE WITH RING ABOVE (U+2E1B)"
"U+2E1C", "\xe2\xb8\x9c", "LEFT LOW PARAPHRASE BRACKET (U+2E1C)"
"U+2E1D", "\xe2\xb8\x9d", "RIGHT LOW PARAPHRASE BRACKET (U+2E1D)"
"U+2E1E", "\xe2\xb8\x9e", "TILDE WITH DOT ABOVE (U+2E1E)"
"U+2E1F", "\xe2\xb8\x9f", "TILDE WITH DOT BELOW (U+2E1F)"
"U+2E20", "\xe2\xb8\xa0", "LEFT VERTICAL BAR WITH QUILL (U+2E20)"
"U+2E21", "\xe2\xb8\xa1", "RIGHT VERTICAL BAR WITH QUILL (U+2E21)"
"U+2E22", "\xe2\xb8\xa2", "TOP LEFT HALF BRACKET (U+2E22)"
"U+2E23", "\xe2\xb8\xa3", "TOP RIGHT HALF BRACKET (U+2E23)"
"U+2E24", "\xe2\xb8\xa4", "BOTTOM LEFT HALF BRACKET (U+2E24)"
"U+2E25", "\xe2\xb8\xa5", "BOTTOM RIGHT HALF BRACKET (U+2E25)"
"U+2E26", "\xe2\xb8\xa6", "LEFT SIDEWAYS U BRACKET (U+2E26)"
"U+2E27", "\xe2\xb8\xa7", "RIGHT SIDEWAYS U BRACKET (U+2E27)"
"U+2E28", "\xe2\xb8\xa8", "LEFT DOUBLE PARENTHESIS (U+2E28)"
