# Unicode Characters in the CJK Compatibility Ideographs Supplement Block
# Source: http://www.fileformat.info/info/unicode/block/cjk_compatibility_ideographs_supplement/list.htm
"U+2F800", "\xe2\xbe\x80\x30", "CJK COMPATIBILITY IDEOGRAPH-2F800 (U+2F800)"
"U+2F801", "\xe2\xbe\x80\x31", "CJK COMPATIBILITY IDEOGRAPH-2F801 (U+2F801)"
"U+2F802", "\xe2\xbe\x80\x32", "CJK COMPATIBILITY IDEOGRAPH-2F802 (U+2F802)"
"U+2F803", "\xe2\xbe\x80\x33", "CJK COMPATIBILITY IDEOGRAPH-2F803 (U+2F803)"
"U+2F804", "\xe2\xbe\x80\x34", "CJK COMPATIBILITY IDEOGRAPH-2F804 (U+2F804)"
"U+2F805", "\xe2\xbe\x80\x35", "CJK COMPATIBILITY IDEOGRAPH-2F805 (U+2F805)"
"U+2F806", "\xe2\xbe\x80\x36", "CJK COMPATIBILITY IDEOGRAPH-2F806 (U+2F806)"
"U+2F807", "\xe2\xbe\x80\x37", "CJK COMPATIBILITY IDEOGRAPH-2F807 (U+2F807)"
"U+2F808", "\xe2\xbe\x80\x38", "CJK COMPATIBILITY IDEOGRAPH-2F808 (U+2F808)"
"U+2F809", "\xe2\xbe\x80\x39", "CJK COMPATIBILITY IDEOGRAPH-2F809 (U+2F809)"
"U+2F80A", "\xe2\xbe\x80\x41", "CJK COMPATIBILITY IDEOGRAPH-2F80A (U+2F80A)"
"U+2F80B", "\xe2\xbe\x80\x42", "CJK COMPATIBILITY IDEOGRAPH-2F80B (U+2F80B)"
"U+2F80C", "\xe2\xbe\x80\x43", "CJK COMPATIBILITY IDEOGRAPH-2F80C (U+2F80C)"
"U+2F80D", "\xe2\xbe\x80\x44", "CJK COMPATIBILITY IDEOGRAPH-2F80D (U+2F80D)"
"U+2F80E", "\xe2\xbe\x80\x45", "CJK COMPATIBILITY IDEOGRAPH-2F80E (U+2F80E)"
