# Unicode Characters in the Ideographic Description Characters Block
# Source: http://www.fileformat.info/info/unicode/block/ideographic_description_characters/list.htm
"U+2FF0", "\xe2\xbf\xb0", "IDEOGRAPHIC DESCRIPTION CHARACTER LEFT TO RIGHT (U+2FF0)"
"U+2FF1", "\xe2\xbf\xb1", "IDEOGRAPHIC DESCRIPTION CHARACTER ABOVE TO BELOW (U+2FF1)"
"U+2FF2", "\xe2\xbf\xb2", "IDEOGRAPHIC DESCRIPTION CHARACTER LEFT TO MIDDLE AND RIGHT (U+2FF2)"
"U+2FF3", "\xe2\xbf\xb3", "IDEOGRAPHIC DESCRIPTION CHARACTER ABOVE TO MIDDLE AND BELOW (U+2FF3)"
"U+2FF4", "\xe2\xbf\xb4", "IDEOGRAPHIC DESCRIPTION CHARACTER FULL SURROUND (U+2FF4)"
"U+2FF5", "\xe2\xbf\xb5", "IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM ABOVE (U+2FF5)"
"U+2FF6", "\xe2\xbf\xb6", "IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM BELOW (U+2FF6)"
"U+2FF7", "\xe2\xbf\xb7", "IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM LEFT (U+2FF7)"
"U+2FF8", "\xe2\xbf\xb8", "IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM UPPER LEFT (U+2FF8)"
"U+2FF9", "\xe2\xbf\xb9", "IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM UPPER RIGHT (U+2FF9)"
"U+2FFA", "\xe2\xbf\xba", "IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM LOWER LEFT (U+2FFA)"
"U+2FFB", "\xe2\xbf\xbb", "IDEOGRAPHIC DESCRIPTION CHARACTER OVERLAID (U+2FFB)"
