# Unicode Characters in the CJK Symbols and Punctuation Block
# Source: http://www.fileformat.info/info/unicode/block/cjk_symbols_and_punctuation/list.htm
"U+3000", "\xe3\x80\x80", "IDEOGRAPHIC SPACE (U+3000)"
"U+3001", "\xe3\x80\x81", "IDEOGRAPHIC COMMA (U+3001)"
"U+3002", "\xe3\x80\x82", "IDEOGRAPHIC FULL STOP (U+3002)"
"U+3003", "\xe3\x80\x83", "DITTO MARK (U+3003)"
"U+3004", "\xe3\x80\x84", "JAPANESE INDUSTRIAL STANDARD SYMBOL (U+3004)"
"U+3005", "\xe3\x80\x85", "IDEOGRAPHIC ITERATION MARK (U+3005)"
"U+3006", "\xe3\x80\x86", "IDEOGRAPHIC CLOSING MARK (U+3006)"
"U+3007", "\xe3\x80\x87", "IDEOGRAPHIC NUMBER ZERO (U+3007)"
"U+3008", "\xe3\x80\x88", "LEFT ANGLE BRACKET (U+3008)"
"U+3009", "\xe3\x80\x89", "RIGHT ANGLE BRACKET (U+3009)"
"U+300A", "\xe3\x80\x8a", "LEFT DOUBLE ANGLE BRACKET (U+300A)"
"U+300B", "\xe3\x80\x8b", "RIGHT DOUBLE ANGLE BRACKET (U+300B)"
"U+300C", "\xe3\x80\x8c", "LEFT CORNER BRACKET (U+300C)"
"U+300D", "\xe3\x80\x8d", "RIGHT CORNER BRACKET (U+300D)"
"U+300E", "\xe3\x80\x8e", "LEFT WHITE CORNER BRACKET (U+300E)"
"U+300F", "\xe3\x80\x8f", "RIGHT WHITE CORNER BRACKET (U+300F)"
"U+3010", "\xe3\x80\x90", "LEFT BLACK LENTICULAR BRACKET (U+3010)"
"U+3011", "\xe3\x80\x91", "RIGHT BLACK LENTICULAR BRACKET (U+3011)"
"U+3012", "\xe3\x80\x92", "POSTAL MARK (U+3012)"
"U+3013", "\xe3\x80\x93", "GETA MARK (U+3013)"
"U+3014", "\xe3\x80\x94", "LEFT TORTOISE SHELL BRACKET (U+3014)"
"U+3015", "\xe3\x80\x95", "RIGHT TORTOISE SHELL BRACKET (U+3015)"
"U+3016", "\xe3\x80\x96", "LEFT WHITE LENTICULAR BRACKET (U+3016)"
"U+3017", "\xe3\x80\x97", "RIGHT WHITE LENTICULAR BRACKET (U+3017)"
"U+3018", "\xe3\x80\x98", "LEFT WHITE TORTOISE SHELL BRACKET (U+3018)"
"U+3019", "\xe3\x80\x99", "RIGHT WHITE TORTOISE SHELL BRACKET (U+3019)"
"U+301A", "\xe3\x80\x9a", "LEFT WHITE SQUARE BRACKET (U+301A)"
"U+301B", "\xe3\x80\x9b", "RIGHT WHITE SQUARE BRACKET (U+301B)"
"U+301C", "\xe3\x80\x9c", "WAVE DASH (U+301C)"
"U+301D", "\xe3\x80\x9d", "REVERSED DOUBLE PRIME QUOTATION MARK (U+301D)"
"U+301E", "\xe3\x80\x9e", "DOUBLE PRIME QUOTATION MARK (U+301E)"
"U+301F", "\xe3\x80\x9f", "LOW DOUBLE PRIME QUOTATION MARK (U+301F)"
"U+3020", "\xe3\x80\xa0", "POSTAL MARK FACE (U+3020)"
"U+3021", "\xe3\x80\xa1", "HANGZHOU NUMERAL ONE (U+3021)"
"U+3022", "\xe3\x80\xa2", "HANGZHOU NUMERAL TWO (U+3022)"
"U+3023", "\xe3\x80\xa3", "HANGZHOU NUMERAL THREE (U+3023)"
"U+3024", "\xe3\x80\xa4", "HANGZHOU NUMERAL FOUR (U+3024)"
"U+3025", "\xe3\x80\xa5", "HANGZHOU NUMERAL FIVE (U+3025)"
"U+3026", "\xe3\x80\xa6", "HANGZHOU NUMERAL SIX (U+3026)"
"U+3027", "\xe3\x80\xa7", "HANGZHOU NUMERAL SEVEN (U+3027)"
"U+3028", "\xe3\x80\xa8", "HANGZHOU NUMERAL EIGHT (U+3028)"
"U+3029", "\xe3\x80\xa9", "HANGZHOU NUMERAL NINE (U+3029)"
"U+302A", "\xe3\x80\xaa", "IDEOGRAPHIC LEVEL TONE MARK (U+302A)"
"U+302B", "\xe3\x80\xab", "IDEOGRAPHIC RISING TONE MARK (U+302B)"
"U+302C", "\xe3\x80\xac", "IDEOGRAPHIC DEPARTING TONE MARK (U+302C)"
"U+302D", "\xe3\x80\xad", "IDEOGRAPHIC ENTERING TONE MARK (U+302D)"
"U+302E", "\xe3\x80\xae", "HANGUL SINGLE DOT TONE MARK (U+302E)"
"U+302F", "\xe3\x80\xaf", "HANGUL DOUBLE DOT TONE MARK (U+302F)"
"U+3030", "\xe3\x80\xb0", "WAVY DASH (U+3030)"
"U+3031", "\xe3\x80\xb1", "VERTICAL KANA REPEAT MARK (U+3031)"
"U+3032", "\xe3\x80\xb2", "VERTICAL KANA REPEAT WITH VOICED SOUND MARK (U+3032)"
"U+3033", "\xe3\x80\xb3", "VERTICAL KANA REPEAT MARK UPPER HALF (U+3033)"
"U+3034", "\xe3\x80\xb4", "VERTICAL KANA REPEAT WITH VOICED SOUND MARK UPPER HALF (U+3034)"
"U+3035", "\xe3\x80\xb5", "VERTICAL KANA REPEAT MARK LOWER HALF (U+3035)"
"U+3036", "\xe3\x80\xb6", "CIRCLED POSTAL MARK (U+3036)"
"U+3037", "\xe3\x80\xb7", "IDEOGRAPHIC TELEGRAPH LINE FEED SEPARATOR SYMBOL (U+3037)"
"U+3038", "\xe3\x80\xb8", "HANGZHOU NUMERAL TEN (U+3038)"
"U+3039", "\xe3\x80\xb9", "HANGZHOU NUMERAL TWENTY (U+3039)"
"U+303A", "\xe3\x80\xba", "HANGZHOU NUMERAL THIRTY (U+303A)"
"U+303B", "\xe3\x80\xbb", "VERTICAL IDEOGRAPHIC ITERATION MARK (U+303B)"
"U+303C", "\xe3\x80\xbc", "MASU MARK (U+303C)"
"U+303D", "\xe3\x80\xbd", "PART ALTERNATION MARK (U+303D)"
"U+303E", "\xe3\x80\xbe", "IDEOGRAPHIC VARIATION INDICATOR (U+303E)"
"U+303F", "\xe3\x80\xbf", "IDEOGRAPHIC HALF FILL SPACE (U+303F)"
