# Unicode Characters in the Hiragana Block
# Source: http://www.fileformat.info/info/unicode/block/hiragana/list.htm
"U+3041", "\xe3\x81\x81", "HIRAGANA LETTER SMALL A (U+3041)"
"U+3042", "\xe3\x81\x82", "HIRAGANA LETTER A (U+3042)"
"U+3043", "\xe3\x81\x83", "HIRAGANA LETTER SMALL I (U+3043)"
"U+3044", "\xe3\x81\x84", "HIRAGANA LETTER I (U+3044)"
"U+3045", "\xe3\x81\x85", "HIRAGANA LETTER SMALL U (U+3045)"
"U+3046", "\xe3\x81\x86", "HIRAGANA LETTER U (U+3046)"
"U+3047", "\xe3\x81\x87", "HIRAGANA LETTER SMALL E (U+3047)"
"U+3048", "\xe3\x81\x88", "HIRAGANA LETTER E (U+3048)"
"U+3049", "\xe3\x81\x89", "HIRAGANA LETTER SMALL O (U+3049)"
"U+304A", "\xe3\x81\x8a", "HIRAGANA LETTER O (U+304A)"
"U+304B", "\xe3\x81\x8b", "HIRAGANA LETTER KA (U+304B)"
"U+304C", "\xe3\x81\x8c", "HIRAGANA LETTER GA (U+304C)"
"U+304D", "\xe3\x81\x8d", "HIRAGANA LETTER KI (U+304D)"
"U+304E", "\xe3\x81\x8e", "HIRAGANA LETTER GI (U+304E)"
"U+304F", "\xe3\x81\x8f", "HIRAGANA LETTER KU (U+304F)"
"U+3050", "\xe3\x81\x90", "HIRAGANA LETTER GU (U+3050)"
"U+3051", "\xe3\x81\x91", "HIRAGANA LETTER KE (U+3051)"
"U+3052", "\xe3\x81\x92", "HIRAGANA LETTER GE (U+3052)"
"U+3053", "\xe3\x81\x93", "HIRAGANA LETTER KO (U+3053)"
"U+3054", "\xe3\x81\x94", "HIRAGANA LETTER GO (U+3054)"
"U+3055", "\xe3\x81\x95", "HIRAGANA LETTER SA (U+3055)"
"U+3056", "\xe3\x81\x96", "HIRAGANA LETTER ZA (U+3056)"
"U+3057", "\xe3\x81\x97", "HIRAGANA LETTER SI (U+3057)"
"U+3058", "\xe3\x81\x98", "HIRAGANA LETTER ZI (U+3058)"
"U+3059", "\xe3\x81\x99", "HIRAGANA LETTER SU (U+3059)"
"U+305A", "\xe3\x81\x9a", "HIRAGANA LETTER ZU (U+305A)"
"U+305B", "\xe3\x81\x9b", "HIRAGANA LETTER SE (U+305B)"
"U+305C", "\xe3\x81\x9c", "HIRAGANA LETTER ZE (U+305C)"
"U+305D", "\xe3\x81\x9d", "HIRAGANA LETTER SO (U+305D)"
"U+305E", "\xe3\x81\x9e", "HIRAGANA LETTER ZO (U+305E)"
"U+305F", "\xe3\x81\x9f", "HIRAGANA LETTER TA (U+305F)"
"U+3060", "\xe3\x81\xa0", "HIRAGANA LETTER DA (U+3060)"
"U+3061", "\xe3\x81\xa1", "HIRAGANA LETTER TI (U+3061)"
"U+3062", "\xe3\x81\xa2", "HIRAGANA LETTER DI (U+3062)"
"U+3063", "\xe3\x81\xa3", "HIRAGANA LETTER SMALL TU (U+3063)"
"U+3064", "\xe3\x81\xa4", "HIRAGANA LETTER TU (U+3064)"
"U+3065", "\xe3\x81\xa5", "HIRAGANA LETTER DU (U+3065)"
"U+3066", "\xe3\x81\xa6", "HIRAGANA LETTER TE (U+3066)"
"U+3067", "\xe3\x81\xa7", "HIRAGANA LETTER DE (U+3067)"
"U+3068", "\xe3\x81\xa8", "HIRAGANA LETTER TO (U+3068)"
"U+3069", "\xe3\x81\xa9", "HIRAGANA LETTER DO (U+3069)"
"U+306A", "\xe3\x81\xaa", "HIRAGANA LETTER NA (U+306A)"
"U+306B", "\xe3\x81\xab", "HIRAGANA LETTER NI (U+306B)"
"U+306C", "\xe3\x81\xac", "HIRAGANA LETTER NU (U+306C)"
"U+306D", "\xe3\x81\xad", "HIRAGANA LETTER NE (U+306D)"
"U+306E", "\xe3\x81\xae", "HIRAGANA LETTER NO (U+306E)"
"U+306F", "\xe3\x81\xaf", "HIRAGANA LETTER HA (U+306F)"
"U+3070", "\xe3\x81\xb0", "HIRAGANA LETTER BA (U+3070)"
"U+3071", "\xe3\x81\xb1", "HIRAGANA LETTER PA (U+3071)"
"U+3072", "\xe3\x81\xb2", "HIRAGANA LETTER HI (U+3072)"
"U+3073", "\xe3\x81\xb3", "HIRAGANA LETTER BI (U+3073)"
"U+3074", "\xe3\x81\xb4", "HIRAGANA LETTER PI (U+3074)"
"U+3075", "\xe3\x81\xb5", "HIRAGANA LETTER HU (U+3075)"
"U+3076", "\xe3\x81\xb6", "HIRAGANA LETTER BU (U+3076)"
"U+3077", "\xe3\x81\xb7", "HIRAGANA LETTER PU (U+3077)"
"U+3078", "\xe3\x81\xb8", "HIRAGANA LETTER HE (U+3078)"
"U+3079", "\xe3\x81\xb9", "HIRAGANA LETTER BE (U+3079)"
"U+307A", "\xe3\x81\xba", "HIRAGANA LETTER PE (U+307A)"
"U+307B", "\xe3\x81\xbb", "HIRAGANA LETTER HO (U+307B)"
"U+307C", "\xe3\x81\xbc", "HIRAGANA LETTER BO (U+307C)"
"U+307D", "\xe3\x81\xbd", "HIRAGANA LETTER PO (U+307D)"
"U+307E", "\xe3\x81\xbe", "HIRAGANA LETTER MA (U+307E)"
"U+307F", "\xe3\x81\xbf", "HIRAGANA LETTER MI (U+307F)"
"U+3080", "\xe3\x82\x80", "HIRAGANA LETTER MU (U+3080)"
"U+3081", "\xe3\x82\x81", "HIRAGANA LETTER ME (U+3081)"
"U+3082", "\xe3\x82\x82", "HIRAGANA LETTER MO (U+3082)"
"U+3083", "\xe3\x82\x83", "HIRAGANA LETTER SMALL YA (U+3083)"
"U+3084", "\xe3\x82\x84", "HIRAGANA LETTER YA (U+3084)"
"U+3085", "\xe3\x82\x85", "HIRAGANA LETTER SMALL YU (U+3085)"
"U+3086", "\xe3\x82\x86", "HIRAGANA LETTER YU (U+3086)"
"U+3087", "\xe3\x82\x87", "HIRAGANA LETTER SMALL YO (U+3087)"
"U+3088", "\xe3\x82\x88", "HIRAGANA LETTER YO (U+3088)"
"U+3089", "\xe3\x82\x89", "HIRAGANA LETTER RA (U+3089)"
"U+308A", "\xe3\x82\x8a", "HIRAGANA LETTER RI (U+308A)"
"U+308B", "\xe3\x82\x8b", "HIRAGANA LETTER RU (U+308B)"
"U+308C", "\xe3\x82\x8c", "HIRAGANA LETTER RE (U+308C)"
"U+308D", "\xe3\x82\x8d", "HIRAGANA LETTER RO (U+308D)"
"U+308E", "\xe3\x82\x8e", "HIRAGANA LETTER SMALL WA (U+308E)"
"U+308F", "\xe3\x82\x8f", "HIRAGANA LETTER WA (U+308F)"
"U+3090", "\xe3\x82\x90", "HIRAGANA LETTER WI (U+3090)"
"U+3091", "\xe3\x82\x91", "HIRAGANA LETTER WE (U+3091)"
"U+3092", "\xe3\x82\x92", "HIRAGANA LETTER WO (U+3092)"
"U+3093", "\xe3\x82\x93", "HIRAGANA LETTER N (U+3093)"
"U+3094", "\xe3\x82\x94", "HIRAGANA LETTER VU (U+3094)"
"U+3095", "\xe3\x82\x95", "HIRAGANA LETTER SMALL KA (U+3095)"
"U+3096", "\xe3\x82\x96", "HIRAGANA LETTER SMALL KE (U+3096)"
"U+3099", "\xe3\x82\x99", "COMBINING KATAKANA-HIRAGANA VOICED SOUND MARK (U+3099)"
"U+309A", "\xe3\x82\x9a", "COMBINING KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK (U+309A)"
"U+309B", "\xe3\x82\x9b", "KATAKANA-HIRAGANA VOICED SOUND MARK (U+309B)"
"U+309C", "\xe3\x82\x9c", "KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK (U+309C)"
