# Unicode Characters in the Katakana Block
# Source: http://www.fileformat.info/info/unicode/block/katakana/list.htm
"U+30A0", "\xe3\x82\xa0", "KATAKANA-HIRAGANA DOUBLE HYPHEN (U+30A0)"
"U+30A1", "\xe3\x82\xa1", "KATAKANA LETTER SMALL A (U+30A1)"
"U+30A2", "\xe3\x82\xa2", "KATAKANA LETTER A (U+30A2)"
"U+30A3", "\xe3\x82\xa3", "KATAKANA LETTER SMALL I (U+30A3)"
"U+30A4", "\xe3\x82\xa4", "KATAKANA LETTER I (U+30A4)"
"U+30A5", "\xe3\x82\xa5", "KATAKANA LETTER SMALL U (U+30A5)"
"U+30A6", "\xe3\x82\xa6", "KATAKANA LETTER U (U+30A6)"
"U+30A7", "\xe3\x82\xa7", "KATAKANA LETTER SMALL E (U+30A7)"
"U+30A8", "\xe3\x82\xa8", "KATAKANA LETTER E (U+30A8)"
"U+30A9", "\xe3\x82\xa9", "KATAKANA LETTER SMALL O (U+30A9)"
"U+30AA", "\xe3\x82\xaa", "KATAKANA LETTER O (U+30AA)"
"U+30AB", "\xe3\x82\xab", "KATAKANA LETTER KA (U+30AB)"
"U+30AC", "\xe3\x82\xac", "KATAKANA LETTER GA (U+30AC)"
"U+30AD", "\xe3\x82\xad", "KATAKANA LETTER KI (U+30AD)"
"U+30AE", "\xe3\x82\xae", "KATAKANA LETTER GI (U+30AE)"
"U+30AF", "\xe3\x82\xaf", "KATAKANA LETTER KU (U+30AF)"
"U+30B0", "\xe3\x82\xb0", "KATAKANA LETTER GU (U+30B0)"
"U+30B1", "\xe3\x82\xb1", "KATAKANA LETTER KE (U+30B1)"
"U+30B2", "\xe3\x82\xb2", "KATAKANA LETTER GE (U+30B2)"
"U+30B3", "\xe3\x82\xb3", "KATAKANA LETTER KO (U+30B3)"
"U+30B4", "\xe3\x82\xb4", "KATAKANA LETTER GO (U+30B4)"
"U+30B5", "\xe3\x82\xb5", "KATAKANA LETTER SA (U+30B5)"
"U+30B6", "\xe3\x82\xb6", "KATAKANA LETTER ZA (U+30B6)"
"U+30B7", "\xe3\x82\xb7", "KATAKANA LETTER SI (U+30B7)"
"U+30B8", "\xe3\x82\xb8", "KATAKANA LETTER ZI (U+30B8)"
"U+30B9", "\xe3\x82\xb9", "KATAKANA LETTER SU (U+30B9)"
"U+30BA", "\xe3\x82\xba", "KATAKANA LETTER ZU (U+30BA)"
"U+30BB", "\xe3\x82\xbb", "KATAKANA LETTER SE (U+30BB)"
"U+30BC", "\xe3\x82\xbc", "KATAKANA LETTER ZE (U+30BC)"
"U+30BD", "\xe3\x82\xbd", "KATAKANA LETTER SO (U+30BD)"
"U+30BE", "\xe3\x82\xbe", "KATAKANA LETTER ZO (U+30BE)"
"U+30BF", "\xe3\x82\xbf", "KATAKANA LETTER TA (U+30BF)"
"U+30C0", "\xe3\x83\x80", "KATAKANA LETTER DA (U+30C0)"
"U+30C1", "\xe3\x83\x81", "KATAKANA LETTER TI (U+30C1)"
"U+30C2", "\xe3\x83\x82", "KATAKANA LETTER DI (U+30C2)"
"U+30C3", "\xe3\x83\x83", "KATAKANA LETTER SMALL TU (U+30C3)"
"U+30C4", "\xe3\x83\x84", "KATAKANA LETTER TU (U+30C4)"
"U+30C5", "\xe3\x83\x85", "KATAKANA LETTER DU (U+30C5)"
"U+30C6", "\xe3\x83\x86", "KATAKANA LETTER TE (U+30C6)"
"U+30C7", "\xe3\x83\x87", "KATAKANA LETTER DE (U+30C7)"
"U+30C8", "\xe3\x83\x88", "KATAKANA LETTER TO (U+30C8)"
"U+30C9", "\xe3\x83\x89", "KATAKANA LETTER DO (U+30C9)"
"U+30CA", "\xe3\x83\x8a", "KATAKANA LETTER NA (U+30CA)"
"U+30CB", "\xe3\x83\x8b", "KATAKANA LETTER NI (U+30CB)"
"U+30CC", "\xe3\x83\x8c", "KATAKANA LETTER NU (U+30CC)"
