# Unicode Characters in the Bopomofo Block
# Source: http://www.fileformat.info/info/unicode/block/bopomofo/list.htm
"U+3105", "\xe3\x84\x85", "BOPOMOFO LETTER B (U+3105)"
"U+3106", "\xe3\x84\x86", "BOPOMOFO LETTER P (U+3106)"
"U+3107", "\xe3\x84\x87", "BOPOMOFO LETTER M (U+3107)"
"U+3108", "\xe3\x84\x88", "BOPOMOFO LETTER F (U+3108)"
"U+3109", "\xe3\x84\x89", "BOPOMOFO LETTER D (U+3109)"
"U+310A", "\xe3\x84\x8a", "BOPOMOFO LETTER T (U+310A)"
"U+310B", "\xe3\x84\x8b", "BOPOMOFO LETTER N (U+310B)"
"U+310C", "\xe3\x84\x8c", "BOPOMOFO LETTER L (U+310C)"
"U+310D", "\xe3\x84\x8d", "BOPOMOFO LETTER G (U+310D)"
"U+310E", "\xe3\x84\x8e", "BOPOMOFO LETTER K (U+310E)"
"U+310F", "\xe3\x84\x8f", "BOPOMOFO LETTER H (U+310F)"
"U+3110", "\xe3\x84\x90", "BOPOMOFO LETTER J (U+3110)"
"U+3111", "\xe3\x84\x91", "BOPOMOFO LETTER Q (U+3111)"
"U+3112", "\xe3\x84\x92", "BOPOMOFO LETTER X (U+3112)"
"U+3113", "\xe3\x84\x93", "BOPOMOFO LETTER ZH (U+3113)"
"U+3114", "\xe3\x84\x94", "BOPOMOFO LETTER CH (U+3114)"
"U+3115", "\xe3\x84\x95", "BOPOMOFO LETTER SH (U+3115)"
"U+3116", "\xe3\x84\x96", "BOPOMOFO LETTER R (U+3116)"
"U+3117", "\xe3\x84\x97", "BOPOMOFO LETTER Z (U+3117)"
"U+3118", "\xe3\x84\x98", "BOPOMOFO LETTER C (U+3118)"
"U+3119", "\xe3\x84\x99", "BOPOMOFO LETTER S (U+3119)"
"U+311A", "\xe3\x84\x9a", "BOPOMOFO LETTER A (U+311A)"
"U+311B", "\xe3\x84\x9b", "BOPOMOFO LETTER O (U+311B)"
"U+311C", "\xe3\x84\x9c", "BOPOMOFO LETTER E (U+311C)"
"U+311D", "\xe3\x84\x9d", "BOPOMOFO LETTER EH (U+311D)"
"U+311E", "\xe3\x84\x9e", "BOPOMOFO LETTER AI (U+311E)"
"U+311F", "\xe3\x84\x9f", "BOPOMOFO LETTER EI (U+311F)"
"U+3120", "\xe3\x84\xa0", "BOPOMOFO LETTER AU (U+3120)"
"U+3121", "\xe3\x84\xa1", "BOPOMOFO LETTER OU (U+3121)"
"U+3122", "\xe3\x84\xa2", "BOPOMOFO LETTER AN (U+3122)"
"U+3123", "\xe3\x84\xa3", "BOPOMOFO LETTER EN (U+3123)"
"U+3124", "\xe3\x84\xa4", "BOPOMOFO LETTER ANG (U+3124)"
"U+3125", "\xe3\x84\xa5", "BOPOMOFO LETTER ENG (U+3125)"
"U+3126", "\xe3\x84\xa6", "BOPOMOFO LETTER ER (U+3126)"
"U+3127", "\xe3\x84\xa7", "BOPOMOFO LETTER I (U+3127)"
"U+3128", "\xe3\x84\xa8", "BOPOMOFO LETTER U (U+3128)"
"U+3129", "\xe3\x84\xa9", "BOPOMOFO LETTER IU (U+3129)"
"U+312A", "\xe3\x84\xaa", "BOPOMOFO LETTER V (U+312A)"
"U+312B", "\xe3\x84\xab", "BOPOMOFO LETTER NG (U+312B)"
"U+312C", "\xe3\x84\xac", "BOPOMOFO LETTER GN (U+312C)"
"U+312D", "\xe3\x84\xad", "BOPOMOFO LETTER IH (U+312D)"
