# Unicode Characters in the Hangul Compatibility Jamo Block
# Source: http://www.fileformat.info/info/unicode/block/hangul_compatibility_jamo/list.htm
"U+3131", "\xe3\x84\xb1", "HANGUL LETTER KIYEOK (U+3131)"
"U+3132", "\xe3\x84\xb2", "HANGUL LETTER SSANGKIYEOK (U+3132)"
"U+3133", "\xe3\x84\xb3", "HANGUL LETTER KIYEOK-SIOS (U+3133)"
"U+3134", "\xe3\x84\xb4", "HANGUL LETTER NIEUN (U+3134)"
"U+3135", "\xe3\x84\xb5", "HANGUL LETTER NIEUN-CIEUC (U+3135)"
"U+3136", "\xe3\x84\xb6", "HANGUL LETTER NIEUN-HIEUH (U+3136)"
"U+3137", "\xe3\x84\xb7", "HANGUL LETTER TIKEUT (U+3137)"
"U+3138", "\xe3\x84\xb8", "HANGUL LETTER SSANGTIKEUT (U+3138)"
"U+3139", "\xe3\x84\xb9", "HANGUL LETTER RIEUL (U+3139)"
"U+313A", "\xe3\x84\xba", "HANGUL LETTER RIEUL-KIYEOK (U+313A)"
"U+313B", "\xe3\x84\xbb", "HANGUL LETTER RIEUL-MIEUM (U+313B)"
"U+313C", "\xe3\x84\xbc", "HANGUL LETTER RIEUL-PIEUP (U+313C)"
"U+313D", "\xe3\x84\xbd", "HANGUL LETTER RIEUL-SIOS (U+313D)"
"U+313E", "\xe3\x84\xbe", "HANGUL LETTER RIEUL-THIEUTH (U+313E)"
"U+313F", "\xe3\x84\xbf", "HANGUL LETTER RIEUL-PHIEUPH (U+313F)"
"U+3140", "\xe3\x85\x80", "HANGUL LETTER RIEUL-HIEUH (U+3140)"
"U+3141", "\xe3\x85\x81", "HANGUL LETTER MIEUM (U+3141)"
"U+3142", "\xe3\x85\x82", "HANGUL LETTER PIEUP (U+3142)"
"U+3143", "\xe3\x85\x83", "HANGUL LETTER SSANGPIEUP (U+3143)"
"U+3144", "\xe3\x85\x84", "HANGUL LETTER PIEUP-SIOS (U+3144)"
"U+3145", "\xe3\x85\x85", "HANGUL LETTER SIOS (U+3145)"
"U+3146", "\xe3\x85\x86", "HANGUL LETTER SSANGSIOS (U+3146)"
"U+3147", "\xe3\x85\x87", "HANGUL LETTER IEUNG (U+3147)"
"U+3148", "\xe3\x85\x88", "HANGUL LETTER CIEUC (U+3148)"
"U+3149", "\xe3\x85\x89", "HANGUL LETTER SSANGCIEUC (U+3149)"
"U+314A", "\xe3\x85\x8a", "HANGUL LETTER CHIEUCH (U+314A)"
"U+314B", "\xe3\x85\x8b", "HANGUL LETTER KHIEUKH (U+314B)"
"U+314C", "\xe3\x85\x8c", "HANGUL LETTER THIEUTH (U+314C)"
"U+314D", "\xe3\x85\x8d", "HANGUL LETTER PHIEUPH (U+314D)"
"U+314E", "\xe3\x85\x8e", "HANGUL LETTER HIEUH (U+314E)"
"U+314F", "\xe3\x85\x8f", "HANGUL LETTER A (U+314F)"
"U+3150", "\xe3\x85\x90", "HANGUL LETTER AE (U+3150)"
"U+3151", "\xe3\x85\x91", "HANGUL LETTER YA (U+3151)"
"U+3152", "\xe3\x85\x92", "HANGUL LETTER YAE (U+3152)"
"U+3153", "\xe3\x85\x93", "HANGUL LETTER EO (U+3153)"
"U+3154", "\xe3\x85\x94", "HANGUL LETTER E (U+3154)"
"U+3155", "\xe3\x85\x95", "HANGUL LETTER YEO (U+3155)"
"U+3156", "\xe3\x85\x96", "HANGUL LETTER YE (U+3156)"
"U+3157", "\xe3\x85\x97", "HANGUL LETTER O (U+3157)"
"U+3158", "\xe3\x85\x98", "HANGUL LETTER WA (U+3158)"
"U+3159", "\xe3\x85\x99", "HANGUL LETTER WAE (U+3159)"
"U+315A", "\xe3\x85\x9a", "HANGUL LETTER OE (U+315A)"
"U+315B", "\xe3\x85\x9b", "HANGUL LETTER YO (U+315B)"
