# Unicode Characters in the Kanbun Block
# Source: http://www.fileformat.info/info/unicode/block/kanbun/list.htm
"U+3190", "\xe3\x86\x90", "IDEOGRAPHIC ANNOTATION LINKING MARK (U+3190)"
"U+3191", "\xe3\x86\x91", "IDEOGRAPHIC ANNOTATION REVERSE MARK (U+3191)"
"U+3192", "\xe3\x86\x92", "IDEOGRAPHIC ANNOTATION ONE MARK (U+3192)"
"U+3193", "\xe3\x86\x93", "IDEOGRAPHIC ANNOTATION TWO MARK (U+3193)"
"U+3194", "\xe3\x86\x94", "IDEOGRAPHIC ANNOTATION THREE MARK (U+3194)"
"U+3195", "\xe3\x86\x95", "IDEOGRAPHIC ANNOTATION FOUR MARK (U+3195)"
"U+3196", "\xe3\x86\x96", "IDEOGRAPHIC ANNOTATION TOP MARK (U+3196)"
"U+3197", "\xe3\x86\x97", "IDEOGRAPHIC ANNOTATION MIDDLE MARK (U+3197)"
"U+3198", "\xe3\x86\x98", "IDEOGRAPHIC ANNOTATION BOTTOM MARK (U+3198)"
"U+3199", "\xe3\x86\x99", "IDEOGRAPHIC ANNOTATION FIRST MARK (U+3199)"
"U+319A", "\xe3\x86\x9a", "IDEOGRAPHIC ANNOTATION SECOND MARK (U+319A)"
"U+319B", "\xe3\x86\x9b", "IDEOGRAPHIC ANNOTATION THIRD MARK (U+319B)"
"U+319C", "\xe3\x86\x9c", "IDEOGRAPHIC ANNOTATION FOURTH MARK (U+319C)"
"U+319D", "\xe3\x86\x9d", "IDEOGRAPHIC ANNOTATION HEAVEN MARK (U+319D)"
"U+319E", "\xe3\x86\x9e", "IDEOGRAPHIC ANNOTATION EARTH MARK (U+319E)"
"U+319F", "\xe3\x86\x9f", "IDEOGRAPHIC ANNOTATION MAN MARK (U+319F)"
