# Unicode Characters in the Bopomofo Extended Block
# Source: http://www.fileformat.info/info/unicode/block/bopomofo_extended/list.htm
"U+31A0", "\xe3\x86\xa0", "BOPOMOFO LETTER BU (U+31A0)"
"U+31A1", "\xe3\x86\xa1", "BOPOMOFO LETTER ZI (U+31A1)"
"U+31A2", "\xe3\x86\xa2", "BOPOMOFO LETTER JI (U+31A2)"
"U+31A3", "\xe3\x86\xa3", "BOPOMOFO LETTER GU (U+31A3)"
"U+31A4", "\xe3\x86\xa4", "BOPOMOFO LETTER EE (U+31A4)"
"U+31A5", "\xe3\x86\xa5", "BOPOMOFO LETTER ENN (U+31A5)"
"U+31A6", "\xe3\x86\xa6", "BOPOMOFO LETTER OO (U+31A6)"
"U+31A7", "\xe3\x86\xa7", "BOPOMOFO LETTER ONN (U+31A7)"
"U+31A8", "\xe3\x86\xa8", "BOPOMOFO LETTER IR (U+31A8)"
"U+31A9", "\xe3\x86\xa9", "BOPOMOFO LETTER ANN (U+31A9)"
"U+31AA", "\xe3\x86\xaa", "BOPOMOFO LETTER INN (U+31AA)"
"U+31AB", "\xe3\x86\xab", "BOPOMOFO LETTER UNN (U+31AB)"
"U+31AC", "\xe3\x86\xac", "BOPOMOFO LETTER IM (U+31AC)"
"U+31AD", "\xe3\x86\xad", "BOPOMOFO LETTER NGG (U+31AD)"
"U+31AE", "\xe3\x86\xae", "BOPOMOFO LETTER AINN (U+31AE)"
"U+31AF", "\xe3\x86\xaf", "BOPOMOFO LETTER AUNN (U+31AF)"
"U+31B0", "\xe3\x86\xb0", "BOPOMOFO LETTER AM (U+31B0)"
"U+31B1", "\xe3\x86\xb1", "BOPOMOFO LETTER OM (U+31B1)"
"U+31B2", "\xe3\x86\xb2", "BOPOMOFO LETTER ONG (U+31B2)"
"U+31B3", "\xe3\x86\xb3", "BOPOMOFO LETTER INNN (U+31B3)"
"U+31B4", "\xe3\x86\xb4", "BOPOMOFO FINAL LETTER P (U+31B4)"
"U+31B5", "\xe3\x86\xb5", "BOPOMOFO FINAL LETTER T (U+31B5)"
"U+31B6", "\xe3\x86\xb6", "BOPOMOFO FINAL LETTER K (U+31B6)"
"U+31B7", "\xe3\x86\xb7", "BOPOMOFO FINAL LETTER H (U+31B7)"
"U+31B8", "\xe3\x86\xb8", "BOPOMOFO LETTER GH (U+31B8)"
"U+31B9", "\xe3\x86\xb9", "BOPOMOFO LETTER LH (U+31B9)"
"U+31BA", "\xe3\x86\xba", "BOPOMOFO LETTER ZY (U+31BA)"
