# Unicode Characters in the CJK Strokes Block
# Source: http://www.fileformat.info/info/unicode/block/cjk_strokes/list.htm
"U+31C0", "\xe3\x87\x80", "CJK STROKE T (U+31C0)"
"U+31C1", "\xe3\x87\x81", "CJK STROKE WG (U+31C1)"
"U+31C2", "\xe3\x87\x82", "CJK STROKE XG (U+31C2)"
"U+31C3", "\xe3\x87\x83", "CJK STROKE BXG (U+31C3)"
"U+31C4", "\xe3\x87\x84", "CJK STROKE SW (U+31C4)"
"U+31C5", "\xe3\x87\x85", "CJK STROKE HZZ (U+31C5)"
"U+31C6", "\xe3\x87\x86", "CJK STROKE HZG (U+31C6)"
"U+31C7", "\xe3\x87\x87", "CJK STROKE HP (U+31C7)"
"U+31C8", "\xe3\x87\x88", "CJK STROKE HZWG (U+31C8)"
"U+31C9", "\xe3\x87\x89", "CJK STROKE SZWG (U+31C9)"
"U+31CA", "\xe3\x87\x8a", "CJK STROKE HZT (U+31CA)"
"U+31CB", "\xe3\x87\x8b", "CJK STROKE HZZP (U+31CB)"
"U+31CC", "\xe3\x87\x8c", "CJK STROKE HPWG (U+31CC)"
"U+31CD", "\xe3\x87\x8d", "CJK STROKE HZW (U+31CD)"
"U+31CE", "\xe3\x87\x8e", "CJK STROKE HZZZ (U+31CE)"
"U+31CF", "\xe3\x87\x8f", "CJK STROKE N (U+31CF)"
"U+31D0", "\xe3\x87\x90", "CJK STROKE H (U+31D0)"
"U+31D1", "\xe3\x87\x91", "CJK STROKE S (U+31D1)"
"U+31D2", "\xe3\x87\x92", "CJK STROKE P (U+31D2)"
"U+31D3", "\xe3\x87\x93", "CJK STROKE SP (U+31D3)"
"U+31D4", "\xe3\x87\x94", "CJK STROKE D (U+31D4)"
"U+31D5", "\xe3\x87\x95", "CJK STROKE HZ (U+31D5)"
"U+31D6", "\xe3\x87\x96", "CJK STROKE HG (U+31D6)"
"U+31D7", "\xe3\x87\x97", "CJK STROKE SZ (U+31D7)"
"U+31D8", "\xe3\x87\x98", "CJK STROKE SWZ (U+31D8)"
"U+31D9", "\xe3\x87\x99", "CJK STROKE ST (U+31D9)"
"U+31DA", "\xe3\x87\x9a", "CJK STROKE SG (U+31DA)"
"U+31DB", "\xe3\x87\x9b", "CJK STROKE PD (U+31DB)"
"U+31DC", "\xe3\x87\x9c", "CJK STROKE PZ (U+31DC)"
"U+31DD", "\xe3\x87\x9d", "CJK STROKE TN (U+31DD)"
"U+31DE", "\xe3\x87\x9e", "CJK STROKE SZZ (U+31DE)"
"U+31DF", "\xe3\x87\x9f", "CJK STROKE SWG (U+31DF)"
"U+31E0", "\xe3\x87\xa0", "CJK STROKE HXWG (U+31E0)"
"U+31E1", "\xe3\x87\xa1", "CJK STROKE HZZZG (U+31E1)"
"U+31E2", "\xe3\x87\xa2", "CJK STROKE PG (U+31E2)"
"U+31E3", "\xe3\x87\xa3", "CJK STROKE Q (U+31E3)"
