# Unicode Characters in the CJK Unified Ideographs Extension A Block
# Source: http://www.fileformat.info/info/unicode/block/cjk_unified_ideographs_extension_a/list.htm
"U+3400", "\xe3\x90\x80", "<CJK Ideograph Extension A, First> (U+3400)"
"U+3401", "\xe3\x90\x81", "to lick; to taste, a mat, bamboo bark (U+3401)"
"U+3402", "\xe3\x90\x82", "(J) non-standard form of U+559C \u559C, to like, love, enjoy; a joyful thing (U+3402)"
"U+3403", "\xe3\x90\x83", "U+3403 (U+3403)"
"U+3404", "\xe3\x90\x84", "U+3404 (U+3404)"
"U+3405", "\xe3\x90\x85", "(an ancient form of U+4E94 \u4E94) five (U+3405)"
"U+3406", "\xe3\x90\x86", "(corrupted form) to follow, to trust to; to put confidence in; to depend on, to turn around; to turn the body, (interchangeable \u96B1) (U+3406)"
"U+3407", "\xe3\x90\x87", "U+3407 (U+3407)"
"U+3408", "\xe3\x90\x88", "U+3408 (U+3408)"
"U+3409", "\xe3\x90\x89", "U+3409 (U+3409)"
"U+340A", "\xe3\x90\x8a", "U+340A (U+340A)"
"U+340B", "\xe3\x90\x8b", "U+340B (U+340B)"
"U+340C", "\xe3\x90\x8c", "a tribe of savages in South China (U+340C)"
"U+340D", "\xe3\x90\x8d", "U+340D (U+340D)"
"U+340E", "\xe3\x90\x8e", "U+340E (U+340E)"
"U+340F", "\xe3\x90\x8f", "U+340F (U+340F)"
"U+3410", "\xe3\x90\x90", "U+3410 (U+3410)"
"U+3411", "\xe3\x90\x91", "U+3411 (U+3411)"
"U+3412", "\xe3\x90\x92", "U+3412 (U+3412)"
"U+3413", "\xe3\x90\x93", "U+3413 (U+3413)"
"U+3414", "\xe3\x90\x94", "U+3414 (U+3414)"
"U+3415", "\xe3\x90\x95", "U+3415 (U+3415)"
"U+3416", "\xe3\x90\x96", "\u3416\u6BD2, an old name for India (U+3416)"
"U+3417", "\xe3\x90\x97", "U+3417 (U+3417)"
"U+3418", "\xe3\x90\x98", "U+3418 (U+3418)"
"U+3419", "\xe3\x90\x99", "U+3419 (U+3419)"
"U+341A", "\xe3\x90\x9a", "U+341A (U+341A)"
"U+341B", "\xe3\x90\x9b", "U+341B (U+341B)"
"U+341C", "\xe3\x90\x9c", "(same as \u4EC7) an enemy, enmity, hatred, to hate, a rival, a match (U+341C)"
"U+341D", "\xe3\x90\x9d", "U+341D (U+341D)"
"U+341E", "\xe3\x90\x9e", "U+341E (U+341E)"
"U+341F", "\xe3\x90\x9f", "U+341F (U+341F)"
"U+3420", "\xe3\x90\xa0", "U+3420 (U+3420)"
"U+3421", "\xe3\x90\xa1", "(same as \u61E6) weak; timid; imbecile (U+3421)"
"U+3422", "\xe3\x90\xa2", "U+3422 (U+3422)"
"U+3423", "\xe3\x90\xa3", "U+3423 (U+3423)"
"U+3424", "\xe3\x90\xa4", "to implore; to beseech, to seek after, to beg; to pray (U+3424)"
"U+3425", "\xe3\x90\xa5", "U+3425 (U+3425)"
"U+3426", "\xe3\x90\xa6", "U+3426 (U+3426)"
"U+3427", "\xe3\x90\xa7", "(J) non-standard form of \u7B2C U+7B2C, sequence, number; grade, degree (U+3427)"
"U+3428", "\xe3\x90\xa8", "a kind of fish in legend (a record in old books) (U+3428)"
"U+3429", "\xe3\x90\xa9", "wine cups (U+3429)"
"U+342A", "\xe3\x90\xaa", "U+342A (U+342A)"
"U+342B", "\xe3\x90\xab", "(same as \u51F6) cruel, unfortunate, sad (U+342B)"
"U+342C", "\xe3\x90\xac", "(same as U+65D2 \u65D2, a corrupted form of U+8352 \u8352) a cup with pendants, a pennant, wild, barren, uncultivated (U+342C)"
"U+342D", "\xe3\x90\xad", "(same as \u5EE9) a granary, to supply (foodstuff), to stockpile (U+342D)"
"U+342E", "\xe3\x90\xae", "(same as \u8944) to help; to assist, to achieve, to rise; to raise (U+342E)"
"U+342F", "\xe3\x90\xaf", "(ancient form of \u5EB8) to employ; to use, to manifest (U+342F)"
"U+3430", "\xe3\x90\xb0", "(ancient form of \u4FE1) to believe in; to trust, truth, sincerity, confidence, a pledge or token (U+3430)"
"U+3431", "\xe3\x90\xb1", "(same as \u9B12) bushy, black hair (U+3431)"
"U+3432", "\xe3\x90\xb2", "name of an island (U+3432)"
"U+3433", "\xe3\x90\xb3", "high and level on the top (U+3433)"
"U+3434", "\xe3\x90\xb4", "(non-classical of \u6500) to drag down; to seize, to pull, to hold to (U+3434)"
"U+3435", "\xe3\x90\xb5", "U+3435 (U+3435)"
"U+3436", "\xe3\x90\xb6", "U+3436 (U+3436)"
"U+3437", "\xe3\x90\xb7", "a kind of punishment in Han Dynasty, name of chessmen in Chinese chess game (simplified form, a variant \u7F75) to curse; to revile; to abuse, to scold (U+3437)"
"U+3438", "\xe3\x90\xb8", "(non-classical form of \u6B20) to owe money, deficient, to yawn, last name (U+3438)"
"U+3439", "\xe3\x90\xb9", "(standard form of \u4EE1) strong; valiant, a minority ethnic group in China (U+3439)"
"U+343A", "\xe3\x90\xba", "(standard form of \u773E) all; the whole of; a multitude, a crowd (three or more) (U+343A)"
"U+343B", "\xe3\x90\xbb", "name of a person (U+343B)"
"U+343C", "\xe3\x90\xbc", "(corrupted form of \u62EF) to save; to lift up (U+343C)"
"U+343D", "\xe3\x90\xbd", "(simplified form of \u5051) name of a place, last name (U+343D)"
"U+343E", "\xe3\x90\xbe", "U+343E (U+343E)"
"U+343F", "\xe3\x90\xbf", "U+343F (U+343F)"
"U+3440", "\xe3\x91\x80", "U+3440 (U+3440)"
"U+3441", "\xe3\x91\x81", "(same as U+20B74 \u0B74) short; of short stature (U+3441)"
"U+3442", "\xe3\x91\x82", "(same as \u4EFF) to imitate, like; resembling, according to (U+3442)"
"U+3443", "\xe3\x91\x83", "(same as \u62D7) to pull; to drag, to break off, to pluck, as a flower (U+3443)"
"U+3444", "\xe3\x91\x84", "(ancient form of \u4FAE) to insult, to ridicule (U+3444)"
"U+3445", "\xe3\x91\x85", "(same as \u4F5C) to make; to do; to act, to write; to compose; to rise, work (U+3445)"
"U+3446", "\xe3\x91\x86", "U+3446 (U+3446)"
"U+3447", "\xe3\x91\x87", "(a simplified form) clever; ingenious; cute; pretty (U+3447)"
"U+3448", "\xe3\x91\x88", "(simplified form) rude; barbarous, stupid; dull, last name (U+3448)"
"U+3449", "\xe3\x91\x89", "cannot straighten up (U+3449)"
"U+344A", "\xe3\x91\x8a", "a kind of disease (U+344A)"
"U+344B", "\xe3\x91\x8b", "small, poor, submit to the dominion of; slow; late (U+344B)"
"U+344C", "\xe3\x91\x8c", "(same as \u5C2A) weak; a rickety person; emaciated (U+344C)"
"U+344D", "\xe3\x91\x8d", "inferior; secondary, ugly (U+344D)"
"U+344E", "\xe3\x91\x8e", "last name (U+344E)"
"U+344F", "\xe3\x91\x8f", "(corrupted form of U+4F47 \u4F47) to stand and wait; to hope for (U+344F)"
"U+3450", "\xe3\x91\x90", "to move; to start; to shake, name of a person (U+3450)"
"U+3451", "\xe3\x91\x91", "U+3451 (U+3451)"
"U+3452", "\xe3\x91\x92", "U+3452 (U+3452)"
"U+3453", "\xe3\x91\x93", "U+3453 (U+3453)"
"U+3454", "\xe3\x91\x94", "(a simplified form) (corrupted form of \u5066) all together, mutually, last name (U+3454)"
"U+3455", "\xe3\x91\x95", "U+3455 (U+3455)"
"U+3456", "\xe3\x91\x96", "U+3456 (U+3456)"
"U+3457", "\xe3\x91\x97", "a god, pregnant (U+3457)"
"U+3458", "\xe3\x91\x98", "(same as \u4EF7) a servant, a middle-man, good, great; (a simplified form) price; value (U+3458)"
"U+3459", "\xe3\x91\x99", "frivolous; flippant; capricious; playful (U+3459)"
"U+345A", "\xe3\x91\x9a", "(non-classical form of \u90A3) that, there (U+345A)"
"U+345B", "\xe3\x91\x9b", "to shake one's head (U+345B)"
"U+345C", "\xe3\x91\x9c", "(a dialect) to engrave (U+345C)"
"U+345D", "\xe3\x91\x9d", "to make a fool of; idiotic, simple, stupid (U+345D)"
"U+345E", "\xe3\x91\x9e", "(same as \u5AB5) (in old time) a maid who accompanies a bride to her new home; to escort, a concubine (U+345E)"
"U+345F", "\xe3\x91\x9f", "insincere and cunning person; a pretentious person (U+345F)"
"U+3460", "\xe3\x91\xa0", "U+3460 (U+3460)"
"U+3461", "\xe3\x91\xa1", "U+3461 (U+3461)"
"U+3462", "\xe3\x91\xa2", "U+3462 (U+3462)"
"U+3463", "\xe3\x91\xa3", "stupid; loutish, without ability; unable; lacking power (U+3463)"
"U+3464", "\xe3\x91\xa4", "(same as \u5A8C) good looking, a prostitute (U+3464)"
"U+3465", "\xe3\x91\xa5", "disrespectful; irreverent, to make light of; to neglect; careless; rush, to exchange, (said of one's personality) easy to get along with (U+3465)"
"U+3466", "\xe3\x91\xa6", "anger; rage; angry, (same as \u623E) recalcitrant; stubbornly persisting in doing something wrong; cruel; despotic (U+3466)"
"U+3467", "\xe3\x91\xa7", "(corrupted form of \u60B8) perturbed, to throb, palpitation of the heart (U+3467)"
"U+3468", "\xe3\x91\xa8", "great; big; tall; vast, noble; high in rank, very; much (U+3468)"
"U+3469", "\xe3\x91\xa9", "(simplified form of U+5138 \u5138) smart; clever (U+3469)"
"U+346A", "\xe3\x91\xaa", "(non-classical form of \u5115) a generation, a class; a series; a kind (U+346A)"
"U+346B", "\xe3\x91\xab", "U+346B (U+346B)"
"U+346C", "\xe3\x91\xac", "U+346C (U+346C)"
"U+346D", "\xe3\x91\xad", "U+346D (U+346D)"
"U+346E", "\xe3\x91\xae", "last name, girl's name (U+346E)"
"U+346F", "\xe3\x91\xaf", "last name, all; together; mutually, a low rank officer to take charge of the bandits in ancient time (U+346F)"
"U+3470", "\xe3\x91\xb0", "(a corrupted form) distress; very difficulty; anxiety; very tired (U+3470)"
"U+3471", "\xe3\x91\xb1", "a kind of monkey, fingering for an ancient string instrument (U+3471)"
"U+3472", "\xe3\x91\xb2", "U+3472 (U+3472)"
"U+3473", "\xe3\x91\xb3", "(same as \u5AB0) clever; ingenious; cute; smart; pretty, cruel, to be heired, to jest; to chaff, to bawl, mean person (as opposed to real gentleman) (U+3473)"
"U+3474", "\xe3\x91\xb4", "(standard form of \u4FB5) to usurp, to encroach upon, to raid (U+3474)"
"U+3475", "\xe3\x91\xb5", "(same as \u5AC9) envy; jealousy, to hate (U+3475)"
