# Unicode Characters in the Yijing Hexagram Symbols Block
# Source: http://www.fileformat.info/info/unicode/block/yijing_hexagram_symbols/list.htm
"U+4DC0", "\xe4\xb7\x80", "HEXAGRAM FOR THE CREATIVE HEAVEN (U+4DC0)"
"U+4DC1", "\xe4\xb7\x81", "HEXAGRAM FOR THE RECEPTIVE EARTH (U+4DC1)"
"U+4DC2", "\xe4\xb7\x82", "HEXAGRAM FOR DIFFICULTY AT THE BEGINNING (U+4DC2)"
"U+4DC3", "\xe4\xb7\x83", "HEXAGRAM FOR YOUTHFUL FOLLY (U+4DC3)"
"U+4DC4", "\xe4\xb7\x84", "HEXAGRAM FOR WAITING (U+4DC4)"
"U+4DC5", "\xe4\xb7\x85", "HEXAGRAM FOR CONFLICT (U+4DC5)"
"U+4DC6", "\xe4\xb7\x86", "HEXAGRAM FOR THE ARMY (U+4DC6)"
"U+4DC7", "\xe4\xb7\x87", "HEXAGRAM FOR HOLDING TOGETHER (U+4DC7)"
"U+4DC8", "\xe4\xb7\x88", "HEXAGRAM FOR SMALL TAMING (U+4DC8)"
"U+4DC9", "\xe4\xb7\x89", "HEXAGRAM FOR TREADING (U+4DC9)"
"U+4DCA", "\xe4\xb7\x8a", "HEXAGRAM FOR PEACE (U+4DCA)"
"U+4DCB", "\xe4\xb7\x8b", "HEXAGRAM FOR STANDSTILL (U+4DCB)"
"U+4DCC", "\xe4\xb7\x8c", "HEXAGRAM FOR FELLOWSHIP (U+4DCC)"
"U+4DCD", "\xe4\xb7\x8d", "HEXAGRAM FOR GREAT POSSESSION (U+4DCD)"
"U+4DCE", "\xe4\xb7\x8e", "HEXAGRAM FOR MODESTY (U+4DCE)"
"U+4DCF", "\xe4\xb7\x8f", "HEXAGRAM FOR ENTHUSIASM (U+4DCF)"
"U+4DD0", "\xe4\xb7\x90", "HEXAGRAM FOR FOLLOWING (U+4DD0)"
"U+4DD1", "\xe4\xb7\x91", "HEXAGRAM FOR WORK ON THE DECAYED (U+4DD1)"
"U+4DD2", "\xe4\xb7\x92", "HEXAGRAM FOR APPROACH (U+4DD2)"
"U+4DD3", "\xe4\xb7\x93", "HEXAGRAM FOR CONTEMPLATION (U+4DD3)"
"U+4DD4", "\xe4\xb7\x94", "HEXAGRAM FOR BITING THROUGH (U+4DD4)"
"U+4DD5", "\xe4\xb7\x95", "HEXAGRAM FOR GRACE (U+4DD5)"
"U+4DD6", "\xe4\xb7\x96", "HEXAGRAM FOR SPLITTING APART (U+4DD6)"
"U+4DD7", "\xe4\xb7\x97", "HEXAGRAM FOR RETURN (U+4DD7)"
"U+4DD8", "\xe4\xb7\x98", "HEXAGRAM FOR INNOCENCE (U+4DD8)"
"U+4DD9", "\xe4\xb7\x99", "HEXAGRAM FOR GREAT TAMING (U+4DD9)"
"U+4DDA", "\xe4\xb7\x9a", "HEXAGRAM FOR MOUTH CORNERS (U+4DDA)"
"U+4DDB", "\xe4\xb7\x9b", "HEXAGRAM FOR GREAT PREPONDERANCE (U+4DDB)"
"U+4DDC", "\xe4\xb7\x9c", "HEXAGRAM FOR THE ABYSMAL WATER (U+4DDC)"
"U+4DDD", "\xe4\xb7\x9d", "HEXAGRAM FOR THE CLINGING FIRE (U+4DDD)"
"U+4DDE", "\xe4\xb7\x9e", "HEXAGRAM FOR INFLUENCE (U+4DDE)"
"U+4DDF", "\xe4\xb7\x9f", "HEXAGRAM FOR DURATION (U+4DDF)"
"U+4DE0", "\xe4\xb7\xa0", "HEXAGRAM FOR RETREAT (U+4DE0)"
"U+4DE1", "\xe4\xb7\xa1", "HEXAGRAM FOR GREAT POWER (U+4DE1)"
"U+4DE2", "\xe4\xb7\xa2", "HEXAGRAM FOR PROGRESS (U+4DE2)"
"U+4DE3", "\xe4\xb7\xa3", "HEXAGRAM FOR DARKENING OF THE LIGHT (U+4DE3)"
"U+4DE4", "\xe4\xb7\xa4", "HEXAGRAM FOR THE FAMILY (U+4DE4)"
"U+4DE5", "\xe4\xb7\xa5", "HEXAGRAM FOR OPPOSITION (U+4DE5)"
"U+4DE6", "\xe4\xb7\xa6", "HEXAGRAM FOR OBSTRUCTION (U+4DE6)"
"U+4DE7", "\xe4\xb7\xa7", "HEXAGRAM FOR DELIVERANCE (U+4DE7)"
"U+4DE8", "\xe4\xb7\xa8", "HEXAGRAM FOR DECREASE (U+4DE8)"
"U+4DE9", "\xe4\xb7\xa9", "HEXAGRAM FOR INCREASE (U+4DE9)"
"U+4DEA", "\xe4\xb7\xaa", "HEXAGRAM FOR BREAKTHROUGH (U+4DEA)"
"U+4DEB", "\xe4\xb7\xab", "HEXAGRAM FOR COMING TO MEET (U+4DEB)"
"U+4DEC", "\xe4\xb7\xac", "HEXAGRAM FOR GATHERING TOGETHER (U+4DEC)"
"U+4DED", "\xe4\xb7\xad", "HEXAGRAM FOR PUSHING UPWARD (U+4DED)"
"U+4DEE", "\xe4\xb7\xae", "HEXAGRAM FOR OPPRESSION (U+4DEE)"
"U+4DEF", "\xe4\xb7\xaf", "HEXAGRAM FOR THE WELL (U+4DEF)"
"U+4DF0", "\xe4\xb7\xb0", "HEXAGRAM FOR REVOLUTION (U+4DF0)"
"U+4DF1", "\xe4\xb7\xb1", "HEXAGRAM FOR THE CAULDRON (U+4DF1)"
"U+4DF2", "\xe4\xb7\xb2", "HEXAGRAM FOR THE AROUSING THUNDER (U+4DF2)"
