# Unicode Characters in the CJK Unified Ideographs Block
# Source: http://www.fileformat.info/info/unicode/block/cjk_unified_ideographs/list.htm
"U+4E00", "\xe4\xb8\x80", "<CJK Ideograph, First> (U+4E00)"
"U+4E01", "\xe4\xb8\x81", "male adult; robust, vigorous; 4th heavenly stem (U+4E01)"
"U+4E02", "\xe4\xb8\x82", "obstruction of breath (qi) as it seeks release; variant of other characters (U+4E02)"
"U+4E03", "\xe4\xb8\x83", "seven (U+4E03)"
"U+4E04", "\xe4\xb8\x84", "above (U+4E04)"
"U+4E05", "\xe4\xb8\x85", "under, underneath, below; down; inferior; bring down; used to transliterate the Latin letter 'T' (U+4E05)"
"U+4E06", "\xe4\xb8\x86", "kwukyel (U+4E06)"
"U+4E07", "\xe4\xb8\x87", "ten thousand; innumerable (U+4E07)"
"U+4E08", "\xe4\xb8\x88", "unit of length equal 3.3 meters; gentleman, man, husband (U+4E08)"
"U+4E09", "\xe4\xb8\x89", "three (U+4E09)"
"U+4E0A", "\xe4\xb8\x8a", "top; superior, highest; go up, send up (U+4E0A)"
"U+4E0B", "\xe4\xb8\x8b", "under, underneath, below; down; inferior; bring down (U+4E0B)"
"U+4E0C", "\xe4\xb8\x8c", "table (U+4E0C)"
"U+4E0D", "\xe4\xb8\x8d", "no, not; un-; negative prefix (U+4E0D)"
"U+4E0E", "\xe4\xb8\x8e", "and; with; to; for; give, grant (U+4E0E)"
"U+4E0F", "\xe4\xb8\x8f", "parapet; invisible (U+4E0F)"
"U+4E10", "\xe4\xb8\x90", "beggar; beg; give (U+4E10)"
"U+4E11", "\xe4\xb8\x91", "clown, comedian; 2nd terrestrial branch (U+4E11)"
"U+4E12", "\xe4\xb8\x92", "the period from 1 to 3 a.m.; 2nd character of the 'branches' (U+4E12)"
"U+4E13", "\xe4\xb8\x93", "monopolize, take sole possession (U+4E13)"
"U+4E14", "\xe4\xb8\x94", "moreover, also (post-subject); about to, will soon (pre-verb) (U+4E14)"
"U+4E15", "\xe4\xb8\x95", "great, grand, glorious, distinguished (U+4E15)"
"U+4E16", "\xe4\xb8\x96", "generation; world; era (U+4E16)"
"U+4E17", "\xe4\xb8\x97", "thirty, thirtieth (U+4E17)"
"U+4E18", "\xe4\xb8\x98", "hill; elder; empty; a name (U+4E18)"
"U+4E19", "\xe4\xb8\x99", "third; 3rd heavenly stem (U+4E19)"
"U+4E1A", "\xe4\xb8\x9a", "profession, business; GB radical 111 (U+4E1A)"
"U+4E1B", "\xe4\xb8\x9b", "bush, shrub; thicket; collection (U+4E1B)"
"U+4E1C", "\xe4\xb8\x9c", "east, eastern, eastward (U+4E1C)"
"U+4E1D", "\xe4\xb8\x9d", "silk; fine thread; wire; strings (U+4E1D)"
"U+4E1E", "\xe4\xb8\x9e", "assist, aid, rescue (U+4E1E)"
"U+4E1F", "\xe4\xb8\x9f", "discard, reject, lose (U+4E1F)"
"U+4E20", "\xe4\xb8\xa0", "hill; elder; empty; a name (U+4E20)"
"U+4E21", "\xe4\xb8\xa1", "two, both, pair, couple; a tael, ounce (U+4E21)"
"U+4E22", "\xe4\xb8\xa2", "discard (U+4E22)"
"U+4E23", "\xe4\xb8\xa3", "ancient form of the tenth of the twelve Terrestrial Branches, U+9149 \u9149 (U+4E23)"
"U+4E24", "\xe4\xb8\xa4", "two, both, pair, couple; ounce (U+4E24)"
"U+4E25", "\xe4\xb8\xa5", "strict, rigorous, rigid; stern (U+4E25)"
"U+4E26", "\xe4\xb8\xa6", "equal to; side by side; also, what is more; both (U+4E26)"
