# Unicode Characters in the Yi Syllables Block
# Source: http://www.fileformat.info/info/unicode/block/yi_syllables/list.htm
"U+A000", "\xea\x80\x80", "YI SYLLABLE IT (U+A000)"
"U+A001", "\xea\x80\x81", "YI SYLLABLE IX (U+A001)"
"U+A002", "\xea\x80\x82", "YI SYLLABLE I (U+A002)"
"U+A003", "\xea\x80\x83", "YI SYLLABLE IP (U+A003)"
"U+A004", "\xea\x80\x84", "YI SYLLABLE IET (U+A004)"
"U+A005", "\xea\x80\x85", "YI SYLLABLE IEX (U+A005)"
"U+A006", "\xea\x80\x86", "YI SYLLABLE IE (U+A006)"
"U+A007", "\xea\x80\x87", "YI SYLLABLE IEP (U+A007)"
"U+A008", "\xea\x80\x88", "YI SYLLABLE AT (U+A008)"
"U+A009", "\xea\x80\x89", "YI SYLLABLE AX (U+A009)"
"U+A00A", "\xea\x80\x8a", "YI SYLLABLE A (U+A00A)"
"U+A00B", "\xea\x80\x8b", "YI SYLLABLE AP (U+A00B)"
"U+A00C", "\xea\x80\x8c", "YI SYLLABLE UOX (U+A00C)"
"U+A00D", "\xea\x80\x8d", "YI SYLLABLE UO (U+A00D)"
"U+A00E", "\xea\x80\x8e", "YI SYLLABLE UOP (U+A00E)"
"U+A00F", "\xea\x80\x8f", "YI SYLLABLE OT (U+A00F)"
"U+A010", "\xea\x80\x90", "YI SYLLABLE OX (U+A010)"
"U+A011", "\xea\x80\x91", "YI SYLLABLE O (U+A011)"
"U+A012", "\xea\x80\x92", "YI SYLLABLE OP (U+A012)"
"U+A013", "\xea\x80\x93", "YI SYLLABLE EX (U+A013)"
"U+A014", "\xea\x80\x94", "YI SYLLABLE E (U+A014)"
"U+A015", "\xea\x80\x95", "YI SYLLABLE WU (U+A015)"
"U+A016", "\xea\x80\x96", "YI SYLLABLE BIT (U+A016)"
"U+A017", "\xea\x80\x97", "YI SYLLABLE BIX (U+A017)"
"U+A018", "\xea\x80\x98", "YI SYLLABLE BI (U+A018)"
"U+A019", "\xea\x80\x99", "YI SYLLABLE BIP (U+A019)"
"U+A01A", "\xea\x80\x9a", "YI SYLLABLE BIET (U+A01A)"
"U+A01B", "\xea\x80\x9b", "YI SYLLABLE BIEX (U+A01B)"
"U+A01C", "\xea\x80\x9c", "YI SYLLABLE BIE (U+A01C)"
"U+A01D", "\xea\x80\x9d", "YI SYLLABLE BIEP (U+A01D)"
"U+A01E", "\xea\x80\x9e", "YI SYLLABLE BAT (U+A01E)"
"U+A01F", "\xea\x80\x9f", "YI SYLLABLE BAX (U+A01F)"
