# Unicode Characters in the Lisu Block
# Source: http://www.fileformat.info/info/unicode/block/lisu/list.htm
"U+A4D0", "\xea\x93\x90", "LISU LETTER BA (U+A4D0)"
"U+A4D1", "\xea\x93\x91", "LISU LETTER PA (U+A4D1)"
"U+A4D2", "\xea\x93\x92", "LISU LETTER PHA (U+A4D2)"
"U+A4D3", "\xea\x93\x93", "LISU LETTER DA (U+A4D3)"
"U+A4D4", "\xea\x93\x94", "LISU LETTER TA (U+A4D4)"
"U+A4D5", "\xea\x93\x95", "LISU LETTER THA (U+A4D5)"
"U+A4D6", "\xea\x93\x96", "LISU LETTER GA (U+A4D6)"
"U+A4D7", "\xea\x93\x97", "LISU LETTER KA (U+A4D7)"
"U+A4D8", "\xea\x93\x98", "LISU LETTER KHA (U+A4D8)"
"U+A4D9", "\xea\x93\x99", "LISU LETTER JA (U+A4D9)"
"U+A4DA", "\xea\x93\x9a", "LISU LETTER CA (U+A4DA)"
"U+A4DB", "\xea\x93\x9b", "LISU LETTER CHA (U+A4DB)"
"U+A4DC", "\xea\x93\x9c", "LISU LETTER DZA (U+A4DC)"
"U+A4DD", "\xea\x93\x9d", "LISU LETTER TSA (U+A4DD)"
"U+A4DE", "\xea\x93\x9e", "LISU LETTER TSHA (U+A4DE)"
"U+A4DF", "\xea\x93\x9f", "LISU LETTER MA (U+A4DF)"
"U+A4E0", "\xea\x93\xa0", "LISU LETTER NA (U+A4E0)"
"U+A4E1", "\xea\x93\xa1", "LISU LETTER LA (U+A4E1)"
"U+A4E2", "\xea\x93\xa2", "LISU LETTER SA (U+A4E2)"
"U+A4E3", "\xea\x93\xa3", "LISU LETTER ZHA (U+A4E3)"
"U+A4E4", "\xea\x93\xa4", "LISU LETTER ZA (U+A4E4)"
"U+A4E5", "\xea\x93\xa5", "LISU LETTER NGA (U+A4E5)"
"U+A4E6", "\xea\x93\xa6", "LISU LETTER HA (U+A4E6)"
"U+A4E7", "\xea\x93\xa7", "LISU LETTER XA (U+A4E7)"
"U+A4E8", "\xea\x93\xa8", "LISU LETTER HHA (U+A4E8)"
"U+A4E9", "\xea\x93\xa9", "LISU LETTER FA (U+A4E9)"
"U+A4EA", "\xea\x93\xaa", "LISU LETTER WA (U+A4EA)"
"U+A4EB", "\xea\x93\xab", "LISU LETTER SHA (U+A4EB)"
"U+A4EC", "\xea\x93\xac", "LISU LETTER YA (U+A4EC)"
"U+A4ED", "\xea\x93\xad", "LISU LETTER GHA (U+A4ED)"
"U+A4EE", "\xea\x93\xae", "LISU LETTER A (U+A4EE)"
"U+A4EF", "\xea\x93\xaf", "LISU LETTER AE (U+A4EF)"
"U+A4F0", "\xea\x93\xb0", "LISU LETTER E (U+A4F0)"
"U+A4F1", "\xea\x93\xb1", "LISU LETTER EU (U+A4F1)"
"U+A4F2", "\xea\x93\xb2", "LISU LETTER I (U+A4F2)"
"U+A4F3", "\xea\x93\xb3", "LISU LETTER O (U+A4F3)"
"U+A4F4", "\xea\x93\xb4", "LISU LETTER U (U+A4F4)"
"U+A4F5", "\xea\x93\xb5", "LISU LETTER UE (U+A4F5)"
"U+A4F6", "\xea\x93\xb6", "LISU LETTER UH (U+A4F6)"
"U+A4F7", "\xea\x93\xb7", "LISU LETTER OE (U+A4F7)"
"U+A4F8", "\xea\x93\xb8", "LISU LETTER TONE MYA TI (U+A4F8)"
"U+A4F9", "\xea\x93\xb9", "LISU LETTER TONE NA PO (U+A4F9)"
"U+A4FA", "\xea\x93\xba", "LISU LETTER TONE MYA CYA (U+A4FA)"
"U+A4FB", "\xea\x93\xbb", "LISU LETTER TONE MYA BO (U+A4FB)"
"U+A4FC", "\xea\x93\xbc", "LISU LETTER TONE MYA NA (U+A4FC)"
"U+A4FD", "\xea\x93\xbd", "LISU LETTER TONE MYA JEU (U+A4FD)"
"U+A4FE", "\xea\x93\xbe", "LISU PUNCTUATION COMMA (U+A4FE)"
"U+A4FF", "\xea\x93\xbf", "LISU PUNCTUATION FULL STOP (U+A4FF)"
