# Unicode Characters in the Vai Block
# Source: http://www.fileformat.info/info/unicode/block/vai/list.htm
"U+A500", "\xea\x94\x80", "VAI SYLLABLE EE (U+A500)"
"U+A501", "\xea\x94\x81", "VAI SYLLABLE EEN (U+A501)"
"U+A502", "\xea\x94\x82", "VAI SYLLABLE HEE (U+A502)"
"U+A503", "\xea\x94\x83", "VAI SYLLABLE WEE (U+A503)"
"U+A504", "\xea\x94\x84", "VAI SYLLABLE WEEN (U+A504)"
"U+A505", "\xea\x94\x85", "VAI SYLLABLE PEE (U+A505)"
"U+A506", "\xea\x94\x86", "VAI SYLLABLE BHEE (U+A506)"
"U+A507", "\xea\x94\x87", "VAI SYLLABLE BEE (U+A507)"
"U+A508", "\xea\x94\x88", "VAI SYLLABLE MBEE (U+A508)"
"U+A509", "\xea\x94\x89", "VAI SYLLABLE KPEE (U+A509)"
"U+A50A", "\xea\x94\x8a", "VAI SYLLABLE MGBEE (U+A50A)"
"U+A50B", "\xea\x94\x8b", "VAI SYLLABLE GBEE (U+A50B)"
"U+A50C", "\xea\x94\x8c", "VAI SYLLABLE FEE (U+A50C)"
"U+A50D", "\xea\x94\x8d", "VAI SYLLABLE VEE (U+A50D)"
"U+A50E", "\xea\x94\x8e", "VAI SYLLABLE TEE (U+A50E)"
"U+A50F", "\xea\x94\x8f", "VAI SYLLABLE THEE (U+A50F)"
"U+A510", "\xea\x94\x90", "VAI SYLLABLE DHEE (U+A510)"
"U+A511", "\xea\x94\x91", "VAI SYLLABLE DHHEE (U+A511)"
"U+A512", "\xea\x94\x92", "VAI SYLLABLE LEE (U+A512)"
"U+A513", "\xea\x94\x93", "VAI SYLLABLE REE (U+A513)"
"U+A514", "\xea\x94\x94", "VAI SYLLABLE DEE (U+A514)"
"U+A515", "\xea\x94\x95", "VAI SYLLABLE NDEE (U+A515)"
"U+A516", "\xea\x94\x96", "VAI SYLLABLE SEE (U+A516)"
"U+A517", "\xea\x94\x97", "VAI SYLLABLE SHEE (U+A517)"
"U+A518", "\xea\x94\x98", "VAI SYLLABLE ZEE (U+A518)"
"U+A519", "\xea\x94\x99", "VAI SYLLABLE ZHEE (U+A519)"
"U+A51A", "\xea\x94\x9a", "VAI SYLLABLE CEE (U+A51A)"
"U+A51B", "\xea\x94\x9b", "VAI SYLLABLE JEE (U+A51B)"
"U+A51C", "\xea\x94\x9c", "VAI SYLLABLE NJEE (U+A51C)"
"U+A51D", "\xea\x94\x9d", "VAI SYLLABLE YEE (U+A51D)"
"U+A51E", "\xea\x94\x9e", "VAI SYLLABLE KEE (U+A51E)"
"U+A51F", "\xea\x94\x9f", "VAI SYLLABLE NGGEE (U+A51F)"
"U+A520", "\xea\x94\xa0", "VAI SYLLABLE GEE (U+A520)"
"U+A521", "\xea\x94\xa1", "VAI SYLLABLE MEE (U+A521)"
"U+A522", "\xea\x94\xa2", "VAI SYLLABLE NEE (U+A522)"
"U+A523", "\xea\x94\xa3", "VAI SYLLABLE NYEE (U+A523)"
"U+A524", "\xea\x94\xa4", "VAI SYLLABLE I (U+A524)"
"U+A525", "\xea\x94\xa5", "VAI SYLLABLE IN (U+A525)"
"U+A526", "\xea\x94\xa6", "VAI SYLLABLE HI (U+A526)"
"U+A527", "\xea\x94\xa7", "VAI SYLLABLE HIN (U+A527)"
"U+A528", "\xea\x94\xa8", "VAI SYLLABLE WI (U+A528)"
"U+A529", "\xea\x94\xa9", "VAI SYLLABLE WIN (U+A529)"
"U+A52A", "\xea\x94\xaa", "VAI SYLLABLE PI (U+A52A)"
"U+A52B", "\xea\x94\xab", "VAI SYLLABLE BHI (U+A52B)"
"U+A52C", "\xea\x94\xac", "VAI SYLLABLE BI (U+A52C)"
