# Unicode Characters in the Modifier Tone Letters Block
# Source: http://www.fileformat.info/info/unicode/block/modifier_tone_letters/list.htm
"U+A700", "\xea\x9c\x80", "MODIFIER LETTER CHINESE TONE YIN PING (U+A700)"
"U+A701", "\xea\x9c\x81", "MODIFIER LETTER CHINESE TONE YANG PING (U+A701)"
"U+A702", "\xea\x9c\x82", "MODIFIER LETTER CHINESE TONE YIN SHANG (U+A702)"
"U+A703", "\xea\x9c\x83", "MODIFIER LETTER CHINESE TONE YANG SHANG (U+A703)"
"U+A704", "\xea\x9c\x84", "MODIFIER LETTER CHINESE TONE YIN QU (U+A704)"
"U+A705", "\xea\x9c\x85", "MODIFIER LETTER CHINESE TONE YANG QU (U+A705)"
"U+A706", "\xea\x9c\x86", "MODIFIER LETTER CHINESE TONE YIN RU (U+A706)"
"U+A707", "\xea\x9c\x87", "MODIFIER LETTER CHINESE TONE YANG RU (U+A707)"
"U+A708", "\xea\x9c\x88", "MODIFIER LETTER EXTRA-HIGH DOTTED TONE BAR (U+A708)"
"U+A709", "\xea\x9c\x89", "MODIFIER LETTER HIGH DOTTED TONE BAR (U+A709)"
"U+A70A", "\xea\x9c\x8a", "MODIFIER LETTER MID DOTTED TONE BAR (U+A70A)"
"U+A70B", "\xea\x9c\x8b", "MODIFIER LETTER LOW DOTTED TONE BAR (U+A70B)"
"U+A70C", "\xea\x9c\x8c", "MODIFIER LETTER EXTRA-LOW DOTTED TONE BAR (U+A70C)"
"U+A70D", "\xea\x9c\x8d", "MODIFIER LETTER EXTRA-HIGH DOTTED LEFT-STEM TONE BAR (U+A70D)"
"U+A70E", "\xea\x9c\x8e", "MODIFIER LETTER HIGH DOTTED LEFT-STEM TONE BAR (U+A70E)"
"U+A70F", "\xea\x9c\x8f", "MODIFIER LETTER MID DOTTED LEFT-STEM TONE BAR (U+A70F)"
"U+A710", "\xea\x9c\x90", "MODIFIER LETTER LOW DOTTED LEFT-STEM TONE BAR (U+A710)"
"U+A711", "\xea\x9c\x91", "MODIFIER LETTER EXTRA-LOW DOTTED LEFT-STEM TONE BAR (U+A711)"
"U+A712", "\xea\x9c\x92", "MODIFIER LETTER EXTRA-HIGH LEFT-STEM TONE BAR (U+A712)"
"U+A713", "\xea\x9c\x93", "MODIFIER LETTER HIGH LEFT-STEM TONE BAR (U+A713)"
"U+A714", "\xea\x9c\x94", "MODIFIER LETTER MID LEFT-STEM TONE BAR (U+A714)"
"U+A715", "\xea\x9c\x95", "MODIFIER LETTER LOW LEFT-STEM TONE BAR (U+A715)"
"U+A716", "\xea\x9c\x96", "MODIFIER LETTER EXTRA-LOW LEFT-STEM TONE BAR (U+A716)"
"U+A717", "\xea\x9c\x97", "MODIFIER LETTER DOT VERTICAL BAR (U+A717)"
"U+A718", "\xea\x9c\x98", "MODIFIER LETTER DOT SLASH (U+A718)"
"U+A719", "\xea\x9c\x99", "MODIFIER LETTER DOT HORIZONTAL BAR (U+A719)"
"U+A71A", "\xea\x9c\x9a", "MODIFIER LETTER LOWER RIGHT CORNER ANGLE (U+A71A)"
"U+A71B", "\xea\x9c\x9b", "MODIFIER LETTER RAISED UP ARROW (U+A71B)"
"U+A71C", "\xea\x9c\x9c", "MODIFIER LETTER RAISED DOWN ARROW (U+A71C)"
"U+A71D", "\xea\x9c\x9d", "MODIFIER LETTER RAISED EXCLAMATION MARK (U+A71D)"
"U+A71E", "\xea\x9c\x9e", "MODIFIER LETTER RAISED INVERTED EXCLAMATION MARK (U+A71E)"
"U+A71F", "\xea\x9c\x9f", "MODIFIER LETTER LOW INVERTED EXCLAMATION MARK (U+A71F)"
