# Unicode Characters in the Latin Extended-D Block
# Source: http://www.fileformat.info/info/unicode/block/latin_extended_d/list.htm
"U+A720", "\xea\x9c\xa0", "MODIFIER LETTER STRESS AND HIGH TONE (U+A720)"
"U+A721", "\xea\x9c\xa1", "MODIFIER LETTER STRESS AND LOW TONE (U+A721)"
"U+A722", "\xea\x9c\xa2", "LATIN CAPITAL LETTER EGYPTOLOGICAL ALEF (U+A722)"
"U+A723", "\xea\x9c\xa3", "LATIN SMALL LETTER EGYPTOLOGICAL ALEF (U+A723)"
"U+A724", "\xea\x9c\xa4", "LATIN CAPITAL LETTER EGYPTOLOGICAL AIN (U+A724)"
"U+A725", "\xea\x9c\xa5", "LATIN SMALL LETTER EGYPTOLOGICAL AIN (U+A725)"
"U+A726", "\xea\x9c\xa6", "LATIN CAPITAL LETTER HENG (U+A726)"
"U+A727", "\xea\x9c\xa7", "LATIN SMALL LETTER HENG (U+A727)"
"U+A728", "\xea\x9c\xa8", "LATIN CAPITAL LETTER TZ (U+A728)"
"U+A729", "\xea\x9c\xa9", "LATIN SMALL LETTER TZ (U+A729)"
"U+A72A", "\xea\x9c\xaa", "LATIN CAPITAL LETTER TRESILLO (U+A72A)"
"U+A72B", "\xea\x9c\xab", "LATIN SMALL LETTER TRESILLO (U+A72B)"
"U+A72C", "\xea\x9c\xac", "LATIN CAPITAL LETTER CUATRILLO (U+A72C)"
"U+A72D", "\xea\x9c\xad", "LATIN SMALL LETTER CUATRILLO (U+A72D)"
"U+A72E", "\xea\x9c\xae", "LATIN CAPITAL LETTER CUATRILLO WITH COMMA (U+A72E)"
"U+A72F", "\xea\x9c\xaf", "LATIN SMALL LETTER CUATRILLO WITH COMMA (U+A72F)"
"U+A730", "\xea\x9c\xb0", "LATIN LETTER SMALL CAPITAL F (U+A730)"
"U+A731", "\xea\x9c\xb1", "LATIN LETTER SMALL CAPITAL S (U+A731)"
"U+A732", "\xea\x9c\xb2", "LATIN CAPITAL LETTER AA (U+A732)"
"U+A733", "\xea\x9c\xb3", "LATIN SMALL LETTER AA (U+A733)"
"U+A734", "\xea\x9c\xb4", "LATIN CAPITAL LETTER AO (U+A734)"
"U+A735", "\xea\x9c\xb5", "LATIN SMALL LETTER AO (U+A735)"
"U+A736", "\xea\x9c\xb6", "LATIN CAPITAL LETTER AU (U+A736)"
"U+A737", "\xea\x9c\xb7", "LATIN SMALL LETTER AU (U+A737)"
"U+A738", "\xea\x9c\xb8", "LATIN CAPITAL LETTER AV (U+A738)"
"U+A739", "\xea\x9c\xb9", "LATIN SMALL LETTER AV (U+A739)"
"U+A73A", "\xea\x9c\xba", "LATIN CAPITAL LETTER AV WITH HORIZONTAL BAR (U+A73A)"
"U+A73B", "\xea\x9c\xbb", "LATIN SMALL LETTER AV WITH HORIZONTAL BAR (U+A73B)"
