# Unicode Characters in the Syloti Nagri Block
# Source: http://www.fileformat.info/info/unicode/block/syloti_nagri/list.htm
"U+A800", "\xea\xa0\x80", "SYLOTI NAGRI LETTER A (U+A800)"
"U+A801", "\xea\xa0\x81", "SYLOTI NAGRI LETTER I (U+A801)"
"U+A802", "\xea\xa0\x82", "SYLOTI NAGRI SIGN DVISVARA (U+A802)"
"U+A803", "\xea\xa0\x83", "SYLOTI NAGRI LETTER U (U+A803)"
"U+A804", "\xea\xa0\x84", "SYLOTI NAGRI LETTER E (U+A804)"
"U+A805", "\xea\xa0\x85", "SYLOTI NAGRI LETTER O (U+A805)"
"U+A806", "\xea\xa0\x86", "SYLOTI NAGRI SIGN HASANTA (U+A806)"
"U+A807", "\xea\xa0\x87", "SYLOTI NAGRI LETTER KO (U+A807)"
"U+A808", "\xea\xa0\x88", "SYLOTI NAGRI LETTER KHO (U+A808)"
"U+A809", "\xea\xa0\x89", "SYLOTI NAGRI LETTER GO (U+A809)"
"U+A80A", "\xea\xa0\x8a", "SYLOTI NAGRI LETTER GHO (U+A80A)"
"U+A80B", "\xea\xa0\x8b", "SYLOTI NAGRI SIGN ANUSVARA (U+A80B)"
"U+A80C", "\xea\xa0\x8c", "SYLOTI NAGRI LETTER CO (U+A80C)"
"U+A80D", "\xea\xa0\x8d", "SYLOTI NAGRI LETTER CHO (U+A80D)"
"U+A80E", "\xea\xa0\x8e", "SYLOTI NAGRI LETTER JO (U+A80E)"
"U+A80F", "\xea\xa0\x8f", "SYLOTI NAGRI LETTER JHO (U+A80F)"
"U+A810", "\xea\xa0\x90", "SYLOTI NAGRI LETTER TTO (U+A810)"
"U+A811", "\xea\xa0\x91", "SYLOTI NAGRI LETTER TTHO (U+A811)"
"U+A812", "\xea\xa0\x92", "SYLOTI NAGRI LETTER DDO (U+A812)"
"U+A813", "\xea\xa0\x93", "SYLOTI NAGRI LETTER DDHO (U+A813)"
"U+A814", "\xea\xa0\x94", "SYLOTI NAGRI LETTER TO (U+A814)"
"U+A815", "\xea\xa0\x95", "SYLOTI NAGRI LETTER THO (U+A815)"
"U+A816", "\xea\xa0\x96", "SYLOTI NAGRI LETTER DO (U+A816)"
"U+A817", "\xea\xa0\x97", "SYLOTI NAGRI LETTER DHO (U+A817)"
"U+A818", "\xea\xa0\x98", "SYLOTI NAGRI LETTER NO (U+A818)"
"U+A819", "\xea\xa0\x99", "SYLOTI NAGRI LETTER PO (U+A819)"
"U+A81A", "\xea\xa0\x9a", "SYLOTI NAGRI LETTER PHO (U+A81A)"
"U+A81B", "\xea\xa0\x9b", "SYLOTI NAGRI LETTER BO (U+A81B)"
"U+A81C", "\xea\xa0\x9c", "SYLOTI NAGRI LETTER BHO (U+A81C)"
"U+A81D", "\xea\xa0\x9d", "SYLOTI NAGRI LETTER MO (U+A81D)"
"U+A81E", "\xea\xa0\x9e", "SYLOTI NAGRI LETTER RO (U+A81E)"
"U+A81F", "\xea\xa0\x9f", "SYLOTI NAGRI LETTER LO (U+A81F)"
"U+A820", "\xea\xa0\xa0", "SYLOTI NAGRI LETTER RRO (U+A820)"
"U+A821", "\xea\xa0\xa1", "SYLOTI NAGRI LETTER SO (U+A821)"
"U+A822", "\xea\xa0\xa2", "SYLOTI NAGRI LETTER HO (U+A822)"
"U+A823", "\xea\xa0\xa3", "SYLOTI NAGRI VOWEL SIGN A (U+A823)"
"U+A824", "\xea\xa0\xa4", "SYLOTI NAGRI VOWEL SIGN I (U+A824)"
"U+A825", "\xea\xa0\xa5", "SYLOTI NAGRI VOWEL SIGN U (U+A825)"
"U+A826", "\xea\xa0\xa6", "SYLOTI NAGRI VOWEL SIGN E (U+A826)"
"U+A827", "\xea\xa0\xa7", "SYLOTI NAGRI VOWEL SIGN OO (U+A827)"
"U+A828", "\xea\xa0\xa8", "SYLOTI NAGRI POETRY MARK-1 (U+A828)"
"U+A829", "\xea\xa0\xa9", "SYLOTI NAGRI POETRY MARK-2 (U+A829)"
"U+A82A", "\xea\xa0\xaa", "SYLOTI NAGRI POETRY MARK-3 (U+A82A)"
"U+A82B", "\xea\xa0\xab", "SYLOTI NAGRI POETRY MARK-4 (U+A82B)"
