# Unicode Characters in the Phags-pa Block
# Source: http://www.fileformat.info/info/unicode/block/phags_pa/list.htm
"U+A840", "\xea\xa1\x80", "PHAGS-PA LETTER KA (U+A840)"
"U+A841", "\xea\xa1\x81", "PHAGS-PA LETTER KHA (U+A841)"
"U+A842", "\xea\xa1\x82", "PHAGS-PA LETTER GA (U+A842)"
"U+A843", "\xea\xa1\x83", "PHAGS-PA LETTER NGA (U+A843)"
"U+A844", "\xea\xa1\x84", "PHAGS-PA LETTER CA (U+A844)"
"U+A845", "\xea\xa1\x85", "PHAGS-PA LETTER CHA (U+A845)"
"U+A846", "\xea\xa1\x86", "PHAGS-PA LETTER JA (U+A846)"
"U+A847", "\xea\xa1\x87", "PHAGS-PA LETTER NYA (U+A847)"
"U+A848", "\xea\xa1\x88", "PHAGS-PA LETTER TA (U+A848)"
"U+A849", "\xea\xa1\x89", "PHAGS-PA LETTER THA (U+A849)"
"U+A84A", "\xea\xa1\x8a", "PHAGS-PA LETTER DA (U+A84A)"
"U+A84B", "\xea\xa1\x8b", "PHAGS-PA LETTER NA (U+A84B)"
"U+A84C", "\xea\xa1\x8c", "PHAGS-PA LETTER PA (U+A84C)"
"U+A84D", "\xea\xa1\x8d", "PHAGS-PA LETTER PHA (U+A84D)"
"U+A84E", "\xea\xa1\x8e", "PHAGS-PA LETTER BA (U+A84E)"
"U+A84F", "\xea\xa1\x8f", "PHAGS-PA LETTER MA (U+A84F)"
"U+A850", "\xea\xa1\x90", "PHAGS-PA LETTER TSA (U+A850)"
"U+A851", "\xea\xa1\x91", "PHAGS-PA LETTER TSHA (U+A851)"
"U+A852", "\xea\xa1\x92", "PHAGS-PA LETTER DZA (U+A852)"
"U+A853", "\xea\xa1\x93", "PHAGS-PA LETTER WA (U+A853)"
"U+A854", "\xea\xa1\x94", "PHAGS-PA LETTER ZHA (U+A854)"
"U+A855", "\xea\xa1\x95", "PHAGS-PA LETTER ZA (U+A855)"
"U+A856", "\xea\xa1\x96", "PHAGS-PA LETTER SMALL A (U+A856)"
"U+A857", "\xea\xa1\x97", "PHAGS-PA LETTER YA (U+A857)"
"U+A858", "\xea\xa1\x98", "PHAGS-PA LETTER RA (U+A858)"
"U+A859", "\xea\xa1\x99", "PHAGS-PA LETTER LA (U+A859)"
"U+A85A", "\xea\xa1\x9a", "PHAGS-PA LETTER SHA (U+A85A)"
"U+A85B", "\xea\xa1\x9b", "PHAGS-PA LETTER SA (U+A85B)"
"U+A85C", "\xea\xa1\x9c", "PHAGS-PA LETTER HA (U+A85C)"
"U+A85D", "\xea\xa1\x9d", "PHAGS-PA LETTER A (U+A85D)"
"U+A85E", "\xea\xa1\x9e", "PHAGS-PA LETTER I (U+A85E)"
"U+A85F", "\xea\xa1\x9f", "PHAGS-PA LETTER U (U+A85F)"
"U+A860", "\xea\xa1\xa0", "PHAGS-PA LETTER E (U+A860)"
"U+A861", "\xea\xa1\xa1", "PHAGS-PA LETTER O (U+A861)"
"U+A862", "\xea\xa1\xa2", "PHAGS-PA LETTER QA (U+A862)"
"U+A863", "\xea\xa1\xa3", "PHAGS-PA LETTER XA (U+A863)"
"U+A864", "\xea\xa1\xa4", "PHAGS-PA LETTER FA (U+A864)"
"U+A865", "\xea\xa1\xa5", "PHAGS-PA LETTER GGA (U+A865)"
"U+A866", "\xea\xa1\xa6", "PHAGS-PA LETTER EE (U+A866)"
"U+A867", "\xea\xa1\xa7", "PHAGS-PA SUBJOINED LETTER WA (U+A867)"
"U+A868", "\xea\xa1\xa8", "PHAGS-PA SUBJOINED LETTER YA (U+A868)"
"U+A869", "\xea\xa1\xa9", "PHAGS-PA LETTER TTA (U+A869)"
"U+A86A", "\xea\xa1\xaa", "PHAGS-PA LETTER TTHA (U+A86A)"
"U+A86B", "\xea\xa1\xab", "PHAGS-PA LETTER DDA (U+A86B)"
"U+A86C", "\xea\xa1\xac", "PHAGS-PA LETTER NNA (U+A86C)"
"U+A86D", "\xea\xa1\xad", "PHAGS-PA LETTER ALTERNATE YA (U+A86D)"
"U+A86E", "\xea\xa1\xae", "PHAGS-PA LETTER VOICELESS SHA (U+A86E)"
"U+A86F", "\xea\xa1\xaf", "PHAGS-PA LETTER VOICED HA (U+A86F)"
"U+A870", "\xea\xa1\xb0", "PHAGS-PA LETTER ASPIRATED FA (U+A870)"
"U+A871", "\xea\xa1\xb1", "PHAGS-PA SUBJOINED LETTER RA (U+A871)"
"U+A872", "\xea\xa1\xb2", "PHAGS-PA SUPERFIXED LETTER RA (U+A872)"
"U+A873", "\xea\xa1\xb3", "PHAGS-PA LETTER CANDRABINDU (U+A873)"
"U+A874", "\xea\xa1\xb4", "PHAGS-PA SINGLE HEAD MARK (U+A874)"
"U+A875", "\xea\xa1\xb5", "PHAGS-PA DOUBLE HEAD MARK (U+A875)"
"U+A876", "\xea\xa1\xb6", "PHAGS-PA MARK SHAD (U+A876)"
"U+A877", "\xea\xa1\xb7", "PHAGS-PA MARK DOUBLE SHAD (U+A877)"
