# Unicode Characters in the Saurashtra Block
# Source: http://www.fileformat.info/info/unicode/block/saurashtra/list.htm
"U+A880", "\xea\xa2\x80", "SAURASHTRA SIGN ANUSVARA (U+A880)"
"U+A881", "\xea\xa2\x81", "SAURASHTRA SIGN VISARGA (U+A881)"
"U+A882", "\xea\xa2\x82", "SAURASHTRA LETTER A (U+A882)"
"U+A883", "\xea\xa2\x83", "SAURASHTRA LETTER AA (U+A883)"
"U+A884", "\xea\xa2\x84", "SAURASHTRA LETTER I (U+A884)"
"U+A885", "\xea\xa2\x85", "SAURASHTRA LETTER II (U+A885)"
"U+A886", "\xea\xa2\x86", "SAURASHTRA LETTER U (U+A886)"
"U+A887", "\xea\xa2\x87", "SAURASHTRA LETTER UU (U+A887)"
"U+A888", "\xea\xa2\x88", "SAURASHTRA LETTER VOCALIC R (U+A888)"
"U+A889", "\xea\xa2\x89", "SAURASHTRA LETTER VOCALIC RR (U+A889)"
"U+A88A", "\xea\xa2\x8a", "SAURASHTRA LETTER VOCALIC L (U+A88A)"
"U+A88B", "\xea\xa2\x8b", "SAURASHTRA LETTER VOCALIC LL (U+A88B)"
"U+A88C", "\xea\xa2\x8c", "SAURASHTRA LETTER E (U+A88C)"
"U+A88D", "\xea\xa2\x8d", "SAURASHTRA LETTER EE (U+A88D)"
"U+A88E", "\xea\xa2\x8e", "SAURASHTRA LETTER AI (U+A88E)"
"U+A88F", "\xea\xa2\x8f", "SAURASHTRA LETTER O (U+A88F)"
"U+A890", "\xea\xa2\x90", "SAURASHTRA LETTER OO (U+A890)"
"U+A891", "\xea\xa2\x91", "SAURASHTRA LETTER AU (U+A891)"
"U+A892", "\xea\xa2\x92", "SAURASHTRA LETTER KA (U+A892)"
"U+A893", "\xea\xa2\x93", "SAURASHTRA LETTER KHA (U+A893)"
"U+A894", "\xea\xa2\x94", "SAURASHTRA LETTER GA (U+A894)"
"U+A895", "\xea\xa2\x95", "SAURASHTRA LETTER GHA (U+A895)"
"U+A896", "\xea\xa2\x96", "SAURASHTRA LETTER NGA (U+A896)"
"U+A897", "\xea\xa2\x97", "SAURASHTRA LETTER CA (U+A897)"
"U+A898", "\xea\xa2\x98", "SAURASHTRA LETTER CHA (U+A898)"
"U+A899", "\xea\xa2\x99", "SAURASHTRA LETTER JA (U+A899)"
"U+A89A", "\xea\xa2\x9a", "SAURASHTRA LETTER JHA (U+A89A)"
"U+A89B", "\xea\xa2\x9b", "SAURASHTRA LETTER NYA (U+A89B)"
"U+A89C", "\xea\xa2\x9c", "SAURASHTRA LETTER TTA (U+A89C)"
"U+A89D", "\xea\xa2\x9d", "SAURASHTRA LETTER TTHA (U+A89D)"
"U+A89E", "\xea\xa2\x9e", "SAURASHTRA LETTER DDA (U+A89E)"
"U+A89F", "\xea\xa2\x9f", "SAURASHTRA LETTER DDHA (U+A89F)"
"U+A8A0", "\xea\xa2\xa0", "SAURASHTRA LETTER NNA (U+A8A0)"
"U+A8A1", "\xea\xa2\xa1", "SAURASHTRA LETTER TA (U+A8A1)"
"U+A8A2", "\xea\xa2\xa2", "SAURASHTRA LETTER THA (U+A8A2)"
"U+A8A3", "\xea\xa2\xa3", "SAURASHTRA LETTER DA (U+A8A3)"
"U+A8A4", "\xea\xa2\xa4", "SAURASHTRA LETTER DHA (U+A8A4)"
"U+A8A5", "\xea\xa2\xa5", "SAURASHTRA LETTER NA (U+A8A5)"
"U+A8A6", "\xea\xa2\xa6", "SAURASHTRA LETTER PA (U+A8A6)"
"U+A8A7", "\xea\xa2\xa7", "SAURASHTRA LETTER PHA (U+A8A7)"
