# Unicode Characters in the Kayah Li Block
# Source: http://www.fileformat.info/info/unicode/block/kayah_li/list.htm
"U+A900", "\xea\xa4\x80", "KAYAH LI DIGIT ZERO (U+A900)"
"U+A901", "\xea\xa4\x81", "KAYAH LI DIGIT ONE (U+A901)"
"U+A902", "\xea\xa4\x82", "KAYAH LI DIGIT TWO (U+A902)"
"U+A903", "\xea\xa4\x83", "KAYAH LI DIGIT THREE (U+A903)"
"U+A904", "\xea\xa4\x84", "KAYAH LI DIGIT FOUR (U+A904)"
"U+A905", "\xea\xa4\x85", "KAYAH LI DIGIT FIVE (U+A905)"
"U+A906", "\xea\xa4\x86", "KAYAH LI DIGIT SIX (U+A906)"
"U+A907", "\xea\xa4\x87", "KAYAH LI DIGIT SEVEN (U+A907)"
"U+A908", "\xea\xa4\x88", "KAYAH LI DIGIT EIGHT (U+A908)"
"U+A909", "\xea\xa4\x89", "KAYAH LI DIGIT NINE (U+A909)"
"U+A90A", "\xea\xa4\x8a", "KAYAH LI LETTER KA (U+A90A)"
"U+A90B", "\xea\xa4\x8b", "KAYAH LI LETTER KHA (U+A90B)"
"U+A90C", "\xea\xa4\x8c", "KAYAH LI LETTER GA (U+A90C)"
"U+A90D", "\xea\xa4\x8d", "KAYAH LI LETTER NGA (U+A90D)"
"U+A90E", "\xea\xa4\x8e", "KAYAH LI LETTER SA (U+A90E)"
"U+A90F", "\xea\xa4\x8f", "KAYAH LI LETTER SHA (U+A90F)"
"U+A910", "\xea\xa4\x90", "KAYAH LI LETTER ZA (U+A910)"
"U+A911", "\xea\xa4\x91", "KAYAH LI LETTER NYA (U+A911)"
"U+A912", "\xea\xa4\x92", "KAYAH LI LETTER TA (U+A912)"
"U+A913", "\xea\xa4\x93", "KAYAH LI LETTER HTA (U+A913)"
"U+A914", "\xea\xa4\x94", "KAYAH LI LETTER NA (U+A914)"
"U+A915", "\xea\xa4\x95", "KAYAH LI LETTER PA (U+A915)"
"U+A916", "\xea\xa4\x96", "KAYAH LI LETTER PHA (U+A916)"
"U+A917", "\xea\xa4\x97", "KAYAH LI LETTER MA (U+A917)"
"U+A918", "\xea\xa4\x98", "KAYAH LI LETTER DA (U+A918)"
"U+A919", "\xea\xa4\x99", "KAYAH LI LETTER BA (U+A919)"
"U+A91A", "\xea\xa4\x9a", "KAYAH LI LETTER RA (U+A91A)"
"U+A91B", "\xea\xa4\x9b", "KAYAH LI LETTER YA (U+A91B)"
"U+A91C", "\xea\xa4\x9c", "KAYAH LI LETTER LA (U+A91C)"
"U+A91D", "\xea\xa4\x9d", "KAYAH LI LETTER WA (U+A91D)"
"U+A91E", "\xea\xa4\x9e", "KAYAH LI LETTER THA (U+A91E)"
"U+A91F", "\xea\xa4\x9f", "KAYAH LI LETTER HA (U+A91F)"
"U+A920", "\xea\xa4\xa0", "KAYAH LI LETTER VA (U+A920)"
"U+A921", "\xea\xa4\xa1", "KAYAH LI LETTER CA (U+A921)"
"U+A922", "\xea\xa4\xa2", "KAYAH LI LETTER A (U+A922)"
"U+A923", "\xea\xa4\xa3", "KAYAH LI LETTER OE (U+A923)"
"U+A924", "\xea\xa4\xa4", "KAYAH LI LETTER I (U+A924)"
"U+A925", "\xea\xa4\xa5", "KAYAH LI LETTER OO (U+A925)"
"U+A926", "\xea\xa4\xa6", "KAYAH LI VOWEL UE (U+A926)"
"U+A927", "\xea\xa4\xa7", "KAYAH LI VOWEL E (U+A927)"
"U+A928", "\xea\xa4\xa8", "KAYAH LI VOWEL U (U+A928)"
"U+A929", "\xea\xa4\xa9", "KAYAH LI VOWEL EE (U+A929)"
"U+A92A", "\xea\xa4\xaa", "KAYAH LI VOWEL O (U+A92A)"
"U+A92B", "\xea\xa4\xab", "KAYAH LI TONE PLOPHU (U+A92B)"
"U+A92C", "\xea\xa4\xac", "KAYAH LI TONE CALYA (U+A92C)"
"U+A92D", "\xea\xa4\xad", "KAYAH LI TONE CALYA PLOPHU (U+A92D)"
"U+A92E", "\xea\xa4\xae", "KAYAH LI SIGN CWI (U+A92E)"
"U+A92F", "\xea\xa4\xaf", "KAYAH LI SIGN SHYA (U+A92F)"
