# Unicode Characters in the Hangul Jamo Extended-A Block
# Source: http://www.fileformat.info/info/unicode/block/hangul_jamo_extended_a/list.htm
"U+A960", "\xea\xa5\xa0", "HANGUL CHOSEONG TIKEUT-MIEUM (U+A960)"
"U+A961", "\xea\xa5\xa1", "HANGUL CHOSEONG TIKEUT-PIEUP (U+A961)"
"U+A962", "\xea\xa5\xa2", "HANGUL CHOSEONG TIKEUT-SIOS (U+A962)"
"U+A963", "\xea\xa5\xa3", "HANGUL CHOSEONG TIKEUT-CIEUC (U+A963)"
"U+A964", "\xea\xa5\xa4", "HANGUL CHOSEONG RIEUL-KIYEOK (U+A964)"
"U+A965", "\xea\xa5\xa5", "HANGUL CHOSEONG RIEUL-SSANGKIYEOK (U+A965)"
"U+A966", "\xea\xa5\xa6", "HANGUL CHOSEONG RIEUL-TIKEUT (U+A966)"
"U+A967", "\xea\xa5\xa7", "HANGUL CHOSEONG RIEUL-SSANGTIKEUT (U+A967)"
"U+A968", "\xea\xa5\xa8", "HANGUL CHOSEONG RIEUL-MIEUM (U+A968)"
"U+A969", "\xea\xa5\xa9", "HANGUL CHOSEONG RIEUL-PIEUP (U+A969)"
"U+A96A", "\xea\xa5\xaa", "HANGUL CHOSEONG RIEUL-SSANGPIEUP (U+A96A)"
"U+A96B", "\xea\xa5\xab", "HANGUL CHOSEONG RIEUL-KAPYEOUNPIEUP (U+A96B)"
"U+A96C", "\xea\xa5\xac", "HANGUL CHOSEONG RIEUL-SIOS (U+A96C)"
"U+A96D", "\xea\xa5\xad", "HANGUL CHOSEONG RIEUL-CIEUC (U+A96D)"
"U+A96E", "\xea\xa5\xae", "HANGUL CHOSEONG RIEUL-KHIEUKH (U+A96E)"
"U+A96F", "\xea\xa5\xaf", "HANGUL CHOSEONG MIEUM-KIYEOK (U+A96F)"
"U+A970", "\xea\xa5\xb0", "HANGUL CHOSEONG MIEUM-TIKEUT (U+A970)"
"U+A971", "\xea\xa5\xb1", "HANGUL CHOSEONG MIEUM-SIOS (U+A971)"
"U+A972", "\xea\xa5\xb2", "HANGUL CHOSEONG PIEUP-SIOS-THIEUTH (U+A972)"
"U+A973", "\xea\xa5\xb3", "HANGUL CHOSEONG PIEUP-KHIEUKH (U+A973)"
"U+A974", "\xea\xa5\xb4", "HANGUL CHOSEONG PIEUP-HIEUH (U+A974)"
"U+A975", "\xea\xa5\xb5", "HANGUL CHOSEONG SSANGSIOS-PIEUP (U+A975)"
"U+A976", "\xea\xa5\xb6", "HANGUL CHOSEONG IEUNG-RIEUL (U+A976)"
"U+A977", "\xea\xa5\xb7", "HANGUL CHOSEONG IEUNG-HIEUH (U+A977)"
"U+A978", "\xea\xa5\xb8", "HANGUL CHOSEONG SSANGCIEUC-HIEUH (U+A978)"
"U+A979", "\xea\xa5\xb9", "HANGUL CHOSEONG SSANGTHIEUTH (U+A979)"
"U+A97A", "\xea\xa5\xba", "HANGUL CHOSEONG PHIEUPH-HIEUH (U+A97A)"
"U+A97B", "\xea\xa5\xbb", "HANGUL CHOSEONG HIEUH-SIOS (U+A97B)"
"U+A97C", "\xea\xa5\xbc", "HANGUL CHOSEONG SSANGYEORINHIEUH (U+A97C)"
