# Unicode Characters in the Javanese Block
# Source: http://www.fileformat.info/info/unicode/block/javanese/list.htm
"U+A980", "\xea\xa6\x80", "JAVANESE SIGN PANYANGGA (U+A980)"
"U+A981", "\xea\xa6\x81", "JAVANESE SIGN CECAK (U+A981)"
"U+A982", "\xea\xa6\x82", "JAVANESE SIGN LAYAR (U+A982)"
"U+A983", "\xea\xa6\x83", "JAVANESE SIGN WIGNYAN (U+A983)"
"U+A984", "\xea\xa6\x84", "JAVANESE LETTER A (U+A984)"
"U+A985", "\xea\xa6\x85", "JAVANESE LETTER I KAWI (U+A985)"
"U+A986", "\xea\xa6\x86", "JAVANESE LETTER I (U+A986)"
"U+A987", "\xea\xa6\x87", "JAVANESE LETTER II (U+A987)"
"U+A988", "\xea\xa6\x88", "JAVANESE LETTER U (U+A988)"
"U+A989", "\xea\xa6\x89", "JAVANESE LETTER PA CEREK (U+A989)"
"U+A98A", "\xea\xa6\x8a", "JAVANESE LETTER NGA LELET (U+A98A)"
"U+A98B", "\xea\xa6\x8b", "JAVANESE LETTER NGA LELET RASWADI (U+A98B)"
"U+A98C", "\xea\xa6\x8c", "JAVANESE LETTER E (U+A98C)"
"U+A98D", "\xea\xa6\x8d", "JAVANESE LETTER AI (U+A98D)"
"U+A98E", "\xea\xa6\x8e", "JAVANESE LETTER O (U+A98E)"
"U+A98F", "\xea\xa6\x8f", "JAVANESE LETTER KA (U+A98F)"
"U+A990", "\xea\xa6\x90", "JAVANESE LETTER KA SASAK (U+A990)"
"U+A991", "\xea\xa6\x91", "JAVANESE LETTER KA MURDA (U+A991)"
"U+A992", "\xea\xa6\x92", "JAVANESE LETTER GA (U+A992)"
"U+A993", "\xea\xa6\x93", "JAVANESE LETTER GA MURDA (U+A993)"
"U+A994", "\xea\xa6\x94", "JAVANESE LETTER NGA (U+A994)"
"U+A995", "\xea\xa6\x95", "JAVANESE LETTER CA (U+A995)"
"U+A996", "\xea\xa6\x96", "JAVANESE LETTER CA MURDA (U+A996)"
"U+A997", "\xea\xa6\x97", "JAVANESE LETTER JA (U+A997)"
"U+A998", "\xea\xa6\x98", "JAVANESE LETTER NYA MURDA (U+A998)"
"U+A999", "\xea\xa6\x99", "JAVANESE LETTER JA MAHAPRANA (U+A999)"
"U+A99A", "\xea\xa6\x9a", "JAVANESE LETTER NYA (U+A99A)"
"U+A99B", "\xea\xa6\x9b", "JAVANESE LETTER TTA (U+A99B)"
"U+A99C", "\xea\xa6\x9c", "JAVANESE LETTER TTA MAHAPRANA (U+A99C)"
"U+A99D", "\xea\xa6\x9d", "JAVANESE LETTER DDA (U+A99D)"
