# Unicode Characters in the Cham Block
# Source: http://www.fileformat.info/info/unicode/block/cham/list.htm
"U+AA00", "\xea\xa8\x80", "CHAM LETTER A (U+AA00)"
"U+AA01", "\xea\xa8\x81", "CHAM LETTER I (U+AA01)"
"U+AA02", "\xea\xa8\x82", "CHAM LETTER U (U+AA02)"
"U+AA03", "\xea\xa8\x83", "CHAM LETTER E (U+AA03)"
"U+AA04", "\xea\xa8\x84", "CHAM LETTER AI (U+AA04)"
"U+AA05", "\xea\xa8\x85", "CHAM LETTER O (U+AA05)"
"U+AA06", "\xea\xa8\x86", "CHAM LETTER KA (U+AA06)"
"U+AA07", "\xea\xa8\x87", "CHAM LETTER KHA (U+AA07)"
"U+AA08", "\xea\xa8\x88", "CHAM LETTER GA (U+AA08)"
"U+AA09", "\xea\xa8\x89", "CHAM LETTER GHA (U+AA09)"
"U+AA0A", "\xea\xa8\x8a", "CHAM LETTER NGUE (U+AA0A)"
"U+AA0B", "\xea\xa8\x8b", "CHAM LETTER NGA (U+AA0B)"
"U+AA0C", "\xea\xa8\x8c", "CHAM LETTER CHA (U+AA0C)"
"U+AA0D", "\xea\xa8\x8d", "CHAM LETTER CHHA (U+AA0D)"
"U+AA0E", "\xea\xa8\x8e", "CHAM LETTER JA (U+AA0E)"
"U+AA0F", "\xea\xa8\x8f", "CHAM LETTER JHA (U+AA0F)"
"U+AA10", "\xea\xa8\x90", "CHAM LETTER NHUE (U+AA10)"
"U+AA11", "\xea\xa8\x91", "CHAM LETTER NHA (U+AA11)"
"U+AA12", "\xea\xa8\x92", "CHAM LETTER NHJA (U+AA12)"
"U+AA13", "\xea\xa8\x93", "CHAM LETTER TA (U+AA13)"
"U+AA14", "\xea\xa8\x94", "CHAM LETTER THA (U+AA14)"
"U+AA15", "\xea\xa8\x95", "CHAM LETTER DA (U+AA15)"
"U+AA16", "\xea\xa8\x96", "CHAM LETTER DHA (U+AA16)"
"U+AA17", "\xea\xa8\x97", "CHAM LETTER NUE (U+AA17)"
"U+AA18", "\xea\xa8\x98", "CHAM LETTER NA (U+AA18)"
"U+AA19", "\xea\xa8\x99", "CHAM LETTER DDA (U+AA19)"
"U+AA1A", "\xea\xa8\x9a", "CHAM LETTER PA (U+AA1A)"
"U+AA1B", "\xea\xa8\x9b", "CHAM LETTER PPA (U+AA1B)"
"U+AA1C", "\xea\xa8\x9c", "CHAM LETTER PHA (U+AA1C)"
"U+AA1D", "\xea\xa8\x9d", "CHAM LETTER BA (U+AA1D)"
"U+AA1E", "\xea\xa8\x9e", "CHAM LETTER BHA (U+AA1E)"
"U+AA1F", "\xea\xa8\x9f", "CHAM LETTER MUE (U+AA1F)"
"U+AA20", "\xea\xa8\xa0", "CHAM LETTER MA (U+AA20)"
"U+AA21", "\xea\xa8\xa1", "CHAM LETTER BBA (U+AA21)"
"U+AA22", "\xea\xa8\xa2", "CHAM LETTER YA (U+AA22)"
"U+AA23", "\xea\xa8\xa3", "CHAM LETTER RA (U+AA23)"
"U+AA24", "\xea\xa8\xa4", "CHAM LETTER LA (U+AA24)"
"U+AA25", "\xea\xa8\xa5", "CHAM LETTER VA (U+AA25)"
"U+AA26", "\xea\xa8\xa6", "CHAM LETTER SSA (U+AA26)"
"U+AA27", "\xea\xa8\xa7", "CHAM LETTER SA (U+AA27)"
"U+AA28", "\xea\xa8\xa8", "CHAM LETTER HA (U+AA28)"
"U+AA29", "\xea\xa8\xa9", "CHAM VOWEL SIGN AA (U+AA29)"
"U+AA2A", "\xea\xa8\xaa", "CHAM VOWEL SIGN I (U+AA2A)"
"U+AA2B", "\xea\xa8\xab", "CHAM VOWEL SIGN II (U+AA2B)"
"U+AA2C", "\xea\xa8\xac", "CHAM VOWEL SIGN EI (U+AA2C)"
"U+AA2D", "\xea\xa8\xad", "CHAM VOWEL SIGN U (U+AA2D)"
"U+AA2E", "\xea\xa8\xae", "CHAM VOWEL SIGN OE (U+AA2E)"
"U+AA2F", "\xea\xa8\xaf", "CHAM VOWEL SIGN O (U+AA2F)"
"U+AA30", "\xea\xa8\xb0", "CHAM VOWEL SIGN AI (U+AA30)"
