# Unicode Characters in the Myanmar Extended-A Block
# Source: http://www.fileformat.info/info/unicode/block/myanmar_extended_a/list.htm
"U+AA60", "\xea\xa9\xa0", "MYANMAR LETTER KHAMTI GA (U+AA60)"
"U+AA61", "\xea\xa9\xa1", "MYANMAR LETTER KHAMTI CA (U+AA61)"
"U+AA62", "\xea\xa9\xa2", "MYANMAR LETTER KHAMTI CHA (U+AA62)"
"U+AA63", "\xea\xa9\xa3", "MYANMAR LETTER KHAMTI JA (U+AA63)"
"U+AA64", "\xea\xa9\xa4", "MYANMAR LETTER KHAMTI JHA (U+AA64)"
"U+AA65", "\xea\xa9\xa5", "MYANMAR LETTER KHAMTI NYA (U+AA65)"
"U+AA66", "\xea\xa9\xa6", "MYANMAR LETTER KHAMTI TTA (U+AA66)"
"U+AA67", "\xea\xa9\xa7", "MYANMAR LETTER KHAMTI TTHA (U+AA67)"
"U+AA68", "\xea\xa9\xa8", "MYANMAR LETTER KHAMTI DDA (U+AA68)"
"U+AA69", "\xea\xa9\xa9", "MYANMAR LETTER KHAMTI DDHA (U+AA69)"
"U+AA6A", "\xea\xa9\xaa", "MYANMAR LETTER KHAMTI DHA (U+AA6A)"
"U+AA6B", "\xea\xa9\xab", "MYANMAR LETTER KHAMTI NA (U+AA6B)"
"U+AA6C", "\xea\xa9\xac", "MYANMAR LETTER KHAMTI SA (U+AA6C)"
"U+AA6D", "\xea\xa9\xad", "MYANMAR LETTER KHAMTI HA (U+AA6D)"
"U+AA6E", "\xea\xa9\xae", "MYANMAR LETTER KHAMTI HHA (U+AA6E)"
"U+AA6F", "\xea\xa9\xaf", "MYANMAR LETTER KHAMTI FA (U+AA6F)"
"U+AA70", "\xea\xa9\xb0", "MYANMAR MODIFIER LETTER KHAMTI REDUPLICATION (U+AA70)"
"U+AA71", "\xea\xa9\xb1", "MYANMAR LETTER KHAMTI XA (U+AA71)"
"U+AA72", "\xea\xa9\xb2", "MYANMAR LETTER KHAMTI ZA (U+AA72)"
"U+AA73", "\xea\xa9\xb3", "MYANMAR LETTER KHAMTI RA (U+AA73)"
"U+AA74", "\xea\xa9\xb4", "MYANMAR LOGOGRAM KHAMTI OAY (U+AA74)"
"U+AA75", "\xea\xa9\xb5", "MYANMAR LOGOGRAM KHAMTI QN (U+AA75)"
"U+AA76", "\xea\xa9\xb6", "MYANMAR LOGOGRAM KHAMTI HM (U+AA76)"
"U+AA77", "\xea\xa9\xb7", "MYANMAR SYMBOL AITON EXCLAMATION (U+AA77)"
"U+AA78", "\xea\xa9\xb8", "MYANMAR SYMBOL AITON ONE (U+AA78)"
"U+AA79", "\xea\xa9\xb9", "MYANMAR SYMBOL AITON TWO (U+AA79)"
"U+AA7A", "\xea\xa9\xba", "MYANMAR LETTER AITON RA (U+AA7A)"
"U+AA7B", "\xea\xa9\xbb", "MYANMAR SIGN PAO KAREN TONE (U+AA7B)"
