# Unicode Characters in the Tai Viet Block
# Source: http://www.fileformat.info/info/unicode/block/tai_viet/list.htm
"U+AA80", "\xea\xaa\x80", "TAI VIET LETTER LOW KO (U+AA80)"
"U+AA81", "\xea\xaa\x81", "TAI VIET LETTER HIGH KO (U+AA81)"
"U+AA82", "\xea\xaa\x82", "TAI VIET LETTER LOW KHO (U+AA82)"
"U+AA83", "\xea\xaa\x83", "TAI VIET LETTER HIGH KHO (U+AA83)"
"U+AA84", "\xea\xaa\x84", "TAI VIET LETTER LOW KHHO (U+AA84)"
"U+AA85", "\xea\xaa\x85", "TAI VIET LETTER HIGH KHHO (U+AA85)"
"U+AA86", "\xea\xaa\x86", "TAI VIET LETTER LOW GO (U+AA86)"
"U+AA87", "\xea\xaa\x87", "TAI VIET LETTER HIGH GO (U+AA87)"
"U+AA88", "\xea\xaa\x88", "TAI VIET LETTER LOW NGO (U+AA88)"
"U+AA89", "\xea\xaa\x89", "TAI VIET LETTER HIGH NGO (U+AA89)"
"U+AA8A", "\xea\xaa\x8a", "TAI VIET LETTER LOW CO (U+AA8A)"
"U+AA8B", "\xea\xaa\x8b", "TAI VIET LETTER HIGH CO (U+AA8B)"
"U+AA8C", "\xea\xaa\x8c", "TAI VIET LETTER LOW CHO (U+AA8C)"
"U+AA8D", "\xea\xaa\x8d", "TAI VIET LETTER HIGH CHO (U+AA8D)"
"U+AA8E", "\xea\xaa\x8e", "TAI VIET LETTER LOW SO (U+AA8E)"
"U+AA8F", "\xea\xaa\x8f", "TAI VIET LETTER HIGH SO (U+AA8F)"
"U+AA90", "\xea\xaa\x90", "TAI VIET LETTER LOW NYO (U+AA90)"
"U+AA91", "\xea\xaa\x91", "TAI VIET LETTER HIGH NYO (U+AA91)"
"U+AA92", "\xea\xaa\x92", "TAI VIET LETTER LOW DO (U+AA92)"
"U+AA93", "\xea\xaa\x93", "TAI VIET LETTER HIGH DO (U+AA93)"
"U+AA94", "\xea\xaa\x94", "TAI VIET LETTER LOW TO (U+AA94)"
"U+AA95", "\xea\xaa\x95", "TAI VIET LETTER HIGH TO (U+AA95)"
"U+AA96", "\xea\xaa\x96", "TAI VIET LETTER LOW THO (U+AA96)"
"U+AA97", "\xea\xaa\x97", "TAI VIET LETTER HIGH THO (U+AA97)"
"U+AA98", "\xea\xaa\x98", "TAI VIET LETTER LOW NO (U+AA98)"
"U+AA99", "\xea\xaa\x99", "TAI VIET LETTER HIGH NO (U+AA99)"
