# Unicode Characters in the Ethiopic Extended-A Block
# Source: http://www.fileformat.info/info/unicode/block/ethiopic_extended_a/list.htm
"U+AB01", "\xea\xac\x81", "ETHIOPIC SYLLABLE TTHU (U+AB01)"
"U+AB02", "\xea\xac\x82", "ETHIOPIC SYLLABLE TTHI (U+AB02)"
"U+AB03", "\xea\xac\x83", "ETHIOPIC SYLLABLE TTHAA (U+AB03)"
"U+AB04", "\xea\xac\x84", "ETHIOPIC SYLLABLE TTHEE (U+AB04)"
"U+AB05", "\xea\xac\x85", "ETHIOPIC SYLLABLE TTHE (U+AB05)"
"U+AB06", "\xea\xac\x86", "ETHIOPIC SYLLABLE TTHO (U+AB06)"
"U+AB09", "\xea\xac\x89", "ETHIOPIC SYLLABLE DDHU (U+AB09)"
"U+AB0A", "\xea\xac\x8a", "ETHIOPIC SYLLABLE DDHI (U+AB0A)"
"U+AB0B", "\xea\xac\x8b", "ETHIOPIC SYLLABLE DDHAA (U+AB0B)"
"U+AB0C", "\xea\xac\x8c", "ETHIOPIC SYLLABLE DDHEE (U+AB0C)"
"U+AB0D", "\xea\xac\x8d", "ETHIOPIC SYLLABLE DDHE (U+AB0D)"
"U+AB0E", "\xea\xac\x8e", "ETHIOPIC SYLLABLE DDHO (U+AB0E)"
"U+AB11", "\xea\xac\x91", "ETHIOPIC SYLLABLE DZU (U+AB11)"
"U+AB12", "\xea\xac\x92", "ETHIOPIC SYLLABLE DZI (U+AB12)"
"U+AB13", "\xea\xac\x93", "ETHIOPIC SYLLABLE DZAA (U+AB13)"
"U+AB14", "\xea\xac\x94", "ETHIOPIC SYLLABLE DZEE (U+AB14)"
"U+AB15", "\xea\xac\x95", "ETHIOPIC SYLLABLE DZE (U+AB15)"
"U+AB16", "\xea\xac\x96", "ETHIOPIC SYLLABLE DZO (U+AB16)"
"U+AB20", "\xea\xac\xa0", "ETHIOPIC SYLLABLE CCHHA (U+AB20)"
"U+AB21", "\xea\xac\xa1", "ETHIOPIC SYLLABLE CCHHU (U+AB21)"
"U+AB22", "\xea\xac\xa2", "ETHIOPIC SYLLABLE CCHHI (U+AB22)"
"U+AB23", "\xea\xac\xa3", "ETHIOPIC SYLLABLE CCHHAA (U+AB23)"
"U+AB24", "\xea\xac\xa4", "ETHIOPIC SYLLABLE CCHHEE (U+AB24)"
"U+AB25", "\xea\xac\xa5", "ETHIOPIC SYLLABLE CCHHE (U+AB25)"
"U+AB26", "\xea\xac\xa6", "ETHIOPIC SYLLABLE CCHHO (U+AB26)"
"U+AB28", "\xea\xac\xa8", "ETHIOPIC SYLLABLE BBA (U+AB28)"
"U+AB29", "\xea\xac\xa9", "ETHIOPIC SYLLABLE BBU (U+AB29)"
"U+AB2A", "\xea\xac\xaa", "ETHIOPIC SYLLABLE BBI (U+AB2A)"
"U+AB2B", "\xea\xac\xab", "ETHIOPIC SYLLABLE BBAA (U+AB2B)"
"U+AB2C", "\xea\xac\xac", "ETHIOPIC SYLLABLE BBEE (U+AB2C)"
"U+AB2D", "\xea\xac\xad", "ETHIOPIC SYLLABLE BBE (U+AB2D)"
"U+AB2E", "\xea\xac\xae", "ETHIOPIC SYLLABLE BBO (U+AB2E)"
