# Unicode Characters in the Meetei Mayek Block
# Source: http://www.fileformat.info/info/unicode/block/meetei_mayek/list.htm
"U+ABC0", "\xea\xaf\x80", "MEETEI MAYEK LETTER KOK (U+ABC0)"
"U+ABC1", "\xea\xaf\x81", "MEETEI MAYEK LETTER SAM (U+ABC1)"
"U+ABC2", "\xea\xaf\x82", "MEETEI MAYEK LETTER LAI (U+ABC2)"
"U+ABC3", "\xea\xaf\x83", "MEETEI MAYEK LETTER MIT (U+ABC3)"
"U+ABC4", "\xea\xaf\x84", "MEETEI MAYEK LETTER PA (U+ABC4)"
"U+ABC5", "\xea\xaf\x85", "MEETEI MAYEK LETTER NA (U+ABC5)"
"U+ABC6", "\xea\xaf\x86", "MEETEI MAYEK LETTER CHIL (U+ABC6)"
"U+ABC7", "\xea\xaf\x87", "MEETEI MAYEK LETTER TIL (U+ABC7)"
"U+ABC8", "\xea\xaf\x88", "MEETEI MAYEK LETTER KHOU (U+ABC8)"
"U+ABC9", "\xea\xaf\x89", "MEETEI MAYEK LETTER NGOU (U+ABC9)"
"U+ABCA", "\xea\xaf\x8a", "MEETEI MAYEK LETTER THOU (U+ABCA)"
"U+ABCB", "\xea\xaf\x8b", "MEETEI MAYEK LETTER WAI (U+ABCB)"
"U+ABCC", "\xea\xaf\x8c", "MEETEI MAYEK LETTER YANG (U+ABCC)"
"U+ABCD", "\xea\xaf\x8d", "MEETEI MAYEK LETTER HUK (U+ABCD)"
"U+ABCE", "\xea\xaf\x8e", "MEETEI MAYEK LETTER UN (U+ABCE)"
"U+ABCF", "\xea\xaf\x8f", "MEETEI MAYEK LETTER I (U+ABCF)"
"U+ABD0", "\xea\xaf\x90", "MEETEI MAYEK LETTER PHAM (U+ABD0)"
"U+ABD1", "\xea\xaf\x91", "MEETEI MAYEK LETTER ATIYA (U+ABD1)"
"U+ABD2", "\xea\xaf\x92", "MEETEI MAYEK LETTER GOK (U+ABD2)"
"U+ABD3", "\xea\xaf\x93", "MEETEI MAYEK LETTER JHAM (U+ABD3)"
"U+ABD4", "\xea\xaf\x94", "MEETEI MAYEK LETTER RAI (U+ABD4)"
"U+ABD5", "\xea\xaf\x95", "MEETEI MAYEK LETTER BA (U+ABD5)"
"U+ABD6", "\xea\xaf\x96", "MEETEI MAYEK LETTER JIL (U+ABD6)"
"U+ABD7", "\xea\xaf\x97", "MEETEI MAYEK LETTER DIL (U+ABD7)"
"U+ABD8", "\xea\xaf\x98", "MEETEI MAYEK LETTER GHOU (U+ABD8)"
"U+ABD9", "\xea\xaf\x99", "MEETEI MAYEK LETTER DHOU (U+ABD9)"
"U+ABDA", "\xea\xaf\x9a", "MEETEI MAYEK LETTER BHAM (U+ABDA)"
"U+ABDB", "\xea\xaf\x9b", "MEETEI MAYEK LETTER KOK LONSUM (U+ABDB)"
"U+ABDC", "\xea\xaf\x9c", "MEETEI MAYEK LETTER LAI LONSUM (U+ABDC)"
