# Unicode Characters in the Hangul Jamo Extended-B Block
# Source: http://www.fileformat.info/info/unicode/block/hangul_jamo_extended_b/list.htm
"U+D7B0", "\xed\x9e\xb0", "HANGUL JUNGSEONG O-YEO (U+D7B0)"
"U+D7B1", "\xed\x9e\xb1", "HANGUL JUNGSEONG O-O-I (U+D7B1)"
"U+D7B2", "\xed\x9e\xb2", "HANGUL JUNGSEONG YO-A (U+D7B2)"
"U+D7B3", "\xed\x9e\xb3", "HANGUL JUNGSEONG YO-AE (U+D7B3)"
"U+D7B4", "\xed\x9e\xb4", "HANGUL JUNGSEONG YO-EO (U+D7B4)"
"U+D7B5", "\xed\x9e\xb5", "HANGUL JUNGSEONG U-YEO (U+D7B5)"
"U+D7B6", "\xed\x9e\xb6", "HANGUL JUNGSEONG U-I-I (U+D7B6)"
"U+D7B7", "\xed\x9e\xb7", "HANGUL JUNGSEONG YU-AE (U+D7B7)"
"U+D7B8", "\xed\x9e\xb8", "HANGUL JUNGSEONG YU-O (U+D7B8)"
"U+D7B9", "\xed\x9e\xb9", "HANGUL JUNGSEONG EU-A (U+D7B9)"
"U+D7BA", "\xed\x9e\xba", "HANGUL JUNGSEONG EU-EO (U+D7BA)"
"U+D7BB", "\xed\x9e\xbb", "HANGUL JUNGSEONG EU-E (U+D7BB)"
"U+D7BC", "\xed\x9e\xbc", "HANGUL JUNGSEONG EU-O (U+D7BC)"
"U+D7BD", "\xed\x9e\xbd", "HANGUL JUNGSEONG I-YA-O (U+D7BD)"
"U+D7BE", "\xed\x9e\xbe", "HANGUL JUNGSEONG I-YAE (U+D7BE)"
"U+D7BF", "\xed\x9e\xbf", "HANGUL JUNGSEONG I-YEO (U+D7BF)"
"U+D7C0", "\xed\x9f\x80", "HANGUL JUNGSEONG I-YE (U+D7C0)"
"U+D7C1", "\xed\x9f\x81", "HANGUL JUNGSEONG I-O-I (U+D7C1)"
"U+D7C2", "\xed\x9f\x82", "HANGUL JUNGSEONG I-YO (U+D7C2)"
"U+D7C3", "\xed\x9f\x83", "HANGUL JUNGSEONG I-YU (U+D7C3)"
"U+D7C4", "\xed\x9f\x84", "HANGUL JUNGSEONG I-I (U+D7C4)"
"U+D7C5", "\xed\x9f\x85", "HANGUL JUNGSEONG ARAEA-A (U+D7C5)"
"U+D7C6", "\xed\x9f\x86", "HANGUL JUNGSEONG ARAEA-E (U+D7C6)"
"U+D7CB", "\xed\x9f\x8b", "HANGUL JONGSEONG NIEUN-RIEUL (U+D7CB)"
"U+D7CC", "\xed\x9f\x8c", "HANGUL JONGSEONG NIEUN-CHIEUCH (U+D7CC)"
"U+D7CD", "\xed\x9f\x8d", "HANGUL JONGSEONG SSANGTIKEUT (U+D7CD)"
"U+D7CE", "\xed\x9f\x8e", "HANGUL JONGSEONG SSANGTIKEUT-PIEUP (U+D7CE)"
"U+D7CF", "\xed\x9f\x8f", "HANGUL JONGSEONG TIKEUT-PIEUP (U+D7CF)"
"U+D7D0", "\xed\x9f\x90", "HANGUL JONGSEONG TIKEUT-SIOS (U+D7D0)"
"U+D7D1", "\xed\x9f\x91", "HANGUL JONGSEONG TIKEUT-SIOS-KIYEOK (U+D7D1)"
"U+D7D2", "\xed\x9f\x92", "HANGUL JONGSEONG TIKEUT-CIEUC (U+D7D2)"
"U+D7D3", "\xed\x9f\x93", "HANGUL JONGSEONG TIKEUT-CHIEUCH (U+D7D3)"
"U+D7D4", "\xed\x9f\x94", "HANGUL JONGSEONG TIKEUT-THIEUTH (U+D7D4)"
"U+D7D5", "\xed\x9f\x95", "HANGUL JONGSEONG RIEUL-SSANGKIYEOK (U+D7D5)"
"U+D7D6", "\xed\x9f\x96", "HANGUL JONGSEONG RIEUL-KIYEOK-HIEUH (U+D7D6)"
"U+D7D7", "\xed\x9f\x97", "HANGUL JONGSEONG SSANGRIEUL-KHIEUKH (U+D7D7)"
"U+D7D8", "\xed\x9f\x98", "HANGUL JONGSEONG RIEUL-MIEUM-HIEUH (U+D7D8)"
"U+D7D9", "\xed\x9f\x99", "HANGUL JONGSEONG RIEUL-PIEUP-TIKEUT (U+D7D9)"
"U+D7DA", "\xed\x9f\x9a", "HANGUL JONGSEONG RIEUL-PIEUP-PHIEUPH (U+D7DA)"
"U+D7DB", "\xed\x9f\x9b", "HANGUL JONGSEONG RIEUL-YESIEUNG (U+D7DB)"
"U+D7DC", "\xed\x9f\x9c", "HANGUL JONGSEONG RIEUL-YEORINHIEUH-HIEUH (U+D7DC)"
"U+D7DD", "\xed\x9f\x9d", "HANGUL JONGSEONG KAPYEOUNRIEUL (U+D7DD)"
"U+D7DE", "\xed\x9f\x9e", "HANGUL JONGSEONG MIEUM-NIEUN (U+D7DE)"
"U+D7DF", "\xed\x9f\x9f", "HANGUL JONGSEONG MIEUM-SSANGNIEUN (U+D7DF)"
"U+D7E0", "\xed\x9f\xa0", "HANGUL JONGSEONG SSANGMIEUM (U+D7E0)"
"U+D7E1", "\xed\x9f\xa1", "HANGUL JONGSEONG MIEUM-PIEUP-SIOS (U+D7E1)"
"U+D7E2", "\xed\x9f\xa2", "HANGUL JONGSEONG MIEUM-CIEUC (U+D7E2)"
"U+D7E3", "\xed\x9f\xa3", "HANGUL JONGSEONG PIEUP-TIKEUT (U+D7E3)"
"U+D7E4", "\xed\x9f\xa4", "HANGUL JONGSEONG PIEUP-RIEUL-PHIEUPH (U+D7E4)"
"U+D7E5", "\xed\x9f\xa5", "HANGUL JONGSEONG PIEUP-MIEUM (U+D7E5)"
"U+D7E6", "\xed\x9f\xa6", "HANGUL JONGSEONG SSANGPIEUP (U+D7E6)"
"U+D7E7", "\xed\x9f\xa7", "HANGUL JONGSEONG PIEUP-SIOS-TIKEUT (U+D7E7)"
"U+D7E8", "\xed\x9f\xa8", "HANGUL JONGSEONG PIEUP-CIEUC (U+D7E8)"
"U+D7E9", "\xed\x9f\xa9", "HANGUL JONGSEONG PIEUP-CHIEUCH (U+D7E9)"
"U+D7EA", "\xed\x9f\xaa", "HANGUL JONGSEONG SIOS-MIEUM (U+D7EA)"
"U+D7EB", "\xed\x9f\xab", "HANGUL JONGSEONG SIOS-KAPYEOUNPIEUP (U+D7EB)"
"U+D7EC", "\xed\x9f\xac", "HANGUL JONGSEONG SSANGSIOS-KIYEOK (U+D7EC)"
"U+D7ED", "\xed\x9f\xad", "HANGUL JONGSEONG SSANGSIOS-TIKEUT (U+D7ED)"
"U+D7EE", "\xed\x9f\xae", "HANGUL JONGSEONG SIOS-PANSIOS (U+D7EE)"
"U+D7EF", "\xed\x9f\xaf", "HANGUL JONGSEONG SIOS-CIEUC (U+D7EF)"
"U+D7F0", "\xed\x9f\xb0", "HANGUL JONGSEONG SIOS-CHIEUCH (U+D7F0)"
"U+D7F1", "\xed\x9f\xb1", "HANGUL JONGSEONG SIOS-THIEUTH (U+D7F1)"
"U+D7F2", "\xed\x9f\xb2", "HANGUL JONGSEONG SIOS-HIEUH (U+D7F2)"
"U+D7F3", "\xed\x9f\xb3", "HANGUL JONGSEONG PANSIOS-PIEUP (U+D7F3)"
"U+D7F4", "\xed\x9f\xb4", "HANGUL JONGSEONG PANSIOS-KAPYEOUNPIEUP (U+D7F4)"
"U+D7F5", "\xed\x9f\xb5", "HANGUL JONGSEONG YESIEUNG-MIEUM (U+D7F5)"
"U+D7F6", "\xed\x9f\xb6", "HANGUL JONGSEONG YESIEUNG-HIEUH (U+D7F6)"
"U+D7F7", "\xed\x9f\xb7", "HANGUL JONGSEONG CIEUC-PIEUP (U+D7F7)"
"U+D7F8", "\xed\x9f\xb8", "HANGUL JONGSEONG CIEUC-SSANGPIEUP (U+D7F8)"
"U+D7F9", "\xed\x9f\xb9", "HANGUL JONGSEONG SSANGCIEUC (U+D7F9)"
"U+D7FA", "\xed\x9f\xba", "HANGUL JONGSEONG PHIEUPH-SIOS (U+D7FA)"
"U+D7FB", "\xed\x9f\xbb", "HANGUL JONGSEONG PHIEUPH-THIEUTH (U+D7FB)"
