# Unicode Characters in the Tags Block
# Source: http://www.fileformat.info/info/unicode/block/tags/list.htm
"U+E0001", "\xee\x80\x80\x31", "LANGUAGE TAG (U+E0001)"
"U+E0020", "\xee\x80\x82\x30", "TAG SPACE (U+E0020)"
"U+E0021", "\xee\x80\x82\x31", "TAG EXCLAMATION MARK (U+E0021)"
"U+E0022", "\xee\x80\x82\x32", "TAG QUOTATION MARK (U+E0022)"
"U+E0023", "\xee\x80\x82\x33", "TAG NUMBER SIGN (U+E0023)"
"U+E0024", "\xee\x80\x82\x34", "TAG DOLLAR SIGN (U+E0024)"
"U+E0025", "\xee\x80\x82\x35", "TAG PERCENT SIGN (U+E0025)"
"U+E0026", "\xee\x80\x82\x36", "TAG AMPERSAND (U+E0026)"
"U+E0027", "\xee\x80\x82\x37", "TAG APOSTROPHE (U+E0027)"
"U+E0028", "\xee\x80\x82\x38", "TAG LEFT PARENTHESIS (U+E0028)"
"U+E0029", "\xee\x80\x82\x39", "TAG RIGHT PARENTHESIS (U+E0029)"
"U+E002A", "\xee\x80\x82\x41", "TAG ASTERISK (U+E002A)"
"U+E002B", "\xee\x80\x82\x42", "TAG PLUS SIGN (U+E002B)"
"U+E002C", "\xee\x80\x82\x43", "TAG COMMA (U+E002C)"
"U+E002D", "\xee\x80\x82\x44", "TAG HYPHEN-MINUS (U+E002D)"
"U+E002E", "\xee\x80\x82\x45", "TAG FULL STOP (U+E002E)"
"U+E002F", "\xee\x80\x82\x46", "TAG SOLIDUS (U+E002F)"
"U+E0030", "\xee\x80\x83\x30", "TAG DIGIT ZERO (U+E0030)"
"U+E0031", "\xee\x80\x83\x31", "TAG DIGIT ONE (U+E0031)"
"U+E0032", "\xee\x80\x83\x32", "TAG DIGIT TWO (U+E0032)"
"U+E0033", "\xee\x80\x83\x33", "TAG DIGIT THREE (U+E0033)"
"U+E0034", "\xee\x80\x83\x34", "TAG DIGIT FOUR (U+E0034)"
"U+E0035", "\xee\x80\x83\x35", "TAG DIGIT FIVE (U+E0035)"
"U+E0036", "\xee\x80\x83\x36", "TAG DIGIT SIX (U+E0036)"
"U+E0037", "\xee\x80\x83\x37", "TAG DIGIT SEVEN (U+E0037)"
"U+E0038", "\xee\x80\x83\x38", "TAG DIGIT EIGHT (U+E0038)"
"U+E0039", "\xee\x80\x83\x39", "TAG DIGIT NINE (U+E0039)"
"U+E003A", "\xee\x80\x83\x41", "TAG COLON (U+E003A)"
"U+E003B", "\xee\x80\x83\x42", "TAG SEMICOLON (U+E003B)"
"U+E003C", "\xee\x80\x83\x43", "TAG LESS-THAN SIGN (U+E003C)"
"U+E003D", "\xee\x80\x83\x44", "TAG EQUALS SIGN (U+E003D)"
"U+E003E", "\xee\x80\x83\x45", "TAG GREATER-THAN SIGN (U+E003E)"
"U+E003F", "\xee\x80\x83\x46", "TAG QUESTION MARK (U+E003F)"
"U+E0040", "\xee\x80\x84\x30", "TAG COMMERCIAL AT (U+E0040)"
"U+E0041", "\xee\x80\x84\x31", "TAG LATIN CAPITAL LETTER A (U+E0041)"
"U+E0042", "\xee\x80\x84\x32", "TAG LATIN CAPITAL LETTER B (U+E0042)"
"U+E0043", "\xee\x80\x84\x33", "TAG LATIN CAPITAL LETTER C (U+E0043)"
"U+E0044", "\xee\x80\x84\x34", "TAG LATIN CAPITAL LETTER D (U+E0044)"
"U+E0045", "\xee\x80\x84\x35", "TAG LATIN CAPITAL LETTER E (U+E0045)"
"U+E0046", "\xee\x80\x84\x36", "TAG LATIN CAPITAL LETTER F (U+E0046)"
"U+E0047", "\xee\x80\x84\x37", "TAG LATIN CAPITAL LETTER G (U+E0047)"
"U+E0048", "\xee\x80\x84\x38", "TAG LATIN CAPITAL LETTER H (U+E0048)"
"U+E0049", "\xee\x80\x84\x39", "TAG LATIN CAPITAL LETTER I (U+E0049)"
"U+E004A", "\xee\x80\x84\x41", "TAG LATIN CAPITAL LETTER J (U+E004A)"
"U+E004B", "\xee\x80\x84\x42", "TAG LATIN CAPITAL LETTER K (U+E004B)"
"U+E004C", "\xee\x80\x84\x43", "TAG LATIN CAPITAL LETTER L (U+E004C)"
"U+E004D", "\xee\x80\x84\x44", "TAG LATIN CAPITAL LETTER M (U+E004D)"
"U+E004E", "\xee\x80\x84\x45", "TAG LATIN CAPITAL LETTER N (U+E004E)"
"U+E004F", "\xee\x80\x84\x46", "TAG LATIN CAPITAL LETTER O (U+E004F)"
"U+E0050", "\xee\x80\x85\x30", "TAG LATIN CAPITAL LETTER P (U+E0050)"
"U+E0051", "\xee\x80\x85\x31", "TAG LATIN CAPITAL LETTER Q (U+E0051)"
"U+E0052", "\xee\x80\x85\x32", "TAG LATIN CAPITAL LETTER R (U+E0052)"
"U+E0053", "\xee\x80\x85\x33", "TAG LATIN CAPITAL LETTER S (U+E0053)"
"U+E0054", "\xee\x80\x85\x34", "TAG LATIN CAPITAL LETTER T (U+E0054)"
"U+E0055", "\xee\x80\x85\x35", "TAG LATIN CAPITAL LETTER U (U+E0055)"
"U+E0056", "\xee\x80\x85\x36", "TAG LATIN CAPITAL LETTER V (U+E0056)"
"U+E0057", "\xee\x80\x85\x37", "TAG LATIN CAPITAL LETTER W (U+E0057)"
"U+E0058", "\xee\x80\x85\x38", "TAG LATIN CAPITAL LETTER X (U+E0058)"
"U+E0059", "\xee\x80\x85\x39", "TAG LATIN CAPITAL LETTER Y (U+E0059)"
"U+E005A", "\xee\x80\x85\x41", "TAG LATIN CAPITAL LETTER Z (U+E005A)"
"U+E005B", "\xee\x80\x85\x42", "TAG LEFT SQUARE BRACKET (U+E005B)"
"U+E005C", "\xee\x80\x85\x43", "TAG REVERSE SOLIDUS (U+E005C)"
"U+E005D", "\xee\x80\x85\x44", "TAG RIGHT SQUARE BRACKET (U+E005D)"
"U+E005E", "\xee\x80\x85\x45", "TAG CIRCUMFLEX ACCENT (U+E005E)"
"U+E005F", "\xee\x80\x85\x46", "TAG LOW LINE (U+E005F)"
"U+E0060", "\xee\x80\x86\x30", "TAG GRAVE ACCENT (U+E0060)"
