# Unicode Characters in the Variation Selectors Supplement Block
# Source: http://www.fileformat.info/info/unicode/block/variation_selectors_supplement/list.htm
"U+E0100", "\xee\x80\x90\x30", "VARIATION SELECTOR-17 (U+E0100)"
"U+E0101", "\xee\x80\x90\x31", "VARIATION SELECTOR-18 (U+E0101)"
"U+E0102", "\xee\x80\x90\x32", "VARIATION SELECTOR-19 (U+E0102)"
"U+E0103", "\xee\x80\x90\x33", "VARIATION SELECTOR-20 (U+E0103)"
"U+E0104", "\xee\x80\x90\x34", "VARIATION SELECTOR-21 (U+E0104)"
"U+E0105", "\xee\x80\x90\x35", "VARIATION SELECTOR-22 (U+E0105)"
"U+E0106", "\xee\x80\x90\x36", "VARIATION SELECTOR-23 (U+E0106)"
"U+E0107", "\xee\x80\x90\x37", "VARIATION SELECTOR-24 (U+E0107)"
"U+E0108", "\xee\x80\x90\x38", "VARIATION SELECTOR-25 (U+E0108)"
"U+E0109", "\xee\x80\x90\x39", "VARIATION SELECTOR-26 (U+E0109)"
"U+E010A", "\xee\x80\x90\x41", "VARIATION SELECTOR-27 (U+E010A)"
"U+E010B", "\xee\x80\x90\x42", "VARIATION SELECTOR-28 (U+E010B)"
"U+E010C", "\xee\x80\x90\x43", "VARIATION SELECTOR-29 (U+E010C)"
"U+E010D", "\xee\x80\x90\x44", "VARIATION SELECTOR-30 (U+E010D)"
"U+E010E", "\xee\x80\x90\x45", "VARIATION SELECTOR-31 (U+E010E)"
"U+E010F", "\xee\x80\x90\x46", "VARIATION SELECTOR-32 (U+E010F)"
"U+E0110", "\xee\x80\x91\x30", "VARIATION SELECTOR-33 (U+E0110)"
"U+E0111", "\xee\x80\x91\x31", "VARIATION SELECTOR-34 (U+E0111)"
"U+E0112", "\xee\x80\x91\x32", "VARIATION SELECTOR-35 (U+E0112)"
"U+E0113", "\xee\x80\x91\x33", "VARIATION SELECTOR-36 (U+E0113)"
"U+E0114", "\xee\x80\x91\x34", "VARIATION SELECTOR-37 (U+E0114)"
"U+E0115", "\xee\x80\x91\x35", "VARIATION SELECTOR-38 (U+E0115)"
"U+E0116", "\xee\x80\x91\x36", "VARIATION SELECTOR-39 (U+E0116)"
"U+E0117", "\xee\x80\x91\x37", "VARIATION SELECTOR-40 (U+E0117)"
"U+E0118", "\xee\x80\x91\x38", "VARIATION SELECTOR-41 (U+E0118)"
"U+E0119", "\xee\x80\x91\x39", "VARIATION SELECTOR-42 (U+E0119)"
"U+E011A", "\xee\x80\x91\x41", "VARIATION SELECTOR-43 (U+E011A)"
"U+E011B", "\xee\x80\x91\x42", "VARIATION SELECTOR-44 (U+E011B)"
"U+E011C", "\xee\x80\x91\x43", "VARIATION SELECTOR-45 (U+E011C)"
"U+E011D", "\xee\x80\x91\x44", "VARIATION SELECTOR-46 (U+E011D)"
"U+E011E", "\xee\x80\x91\x45", "VARIATION SELECTOR-47 (U+E011E)"
"U+E011F", "\xee\x80\x91\x46", "VARIATION SELECTOR-48 (U+E011F)"
"U+E0120", "\xee\x80\x92\x30", "VARIATION SELECTOR-49 (U+E0120)"
"U+E0121", "\xee\x80\x92\x31", "VARIATION SELECTOR-50 (U+E0121)"
"U+E0122", "\xee\x80\x92\x32", "VARIATION SELECTOR-51 (U+E0122)"
"U+E0123", "\xee\x80\x92\x33", "VARIATION SELECTOR-52 (U+E0123)"
"U+E0124", "\xee\x80\x92\x34", "VARIATION SELECTOR-53 (U+E0124)"
"U+E0125", "\xee\x80\x92\x35", "VARIATION SELECTOR-54 (U+E0125)"
"U+E0126", "\xee\x80\x92\x36", "VARIATION SELECTOR-55 (U+E0126)"
"U+E0127", "\xee\x80\x92\x37", "VARIATION SELECTOR-56 (U+E0127)"
"U+E0128", "\xee\x80\x92\x38", "VARIATION SELECTOR-57 (U+E0128)"
"U+E0129", "\xee\x80\x92\x39", "VARIATION SELECTOR-58 (U+E0129)"
"U+E012A", "\xee\x80\x92\x41", "VARIATION SELECTOR-59 (U+E012A)"
"U+E012B", "\xee\x80\x92\x42", "VARIATION SELECTOR-60 (U+E012B)"
"U+E012C", "\xee\x80\x92\x43", "VARIATION SELECTOR-61 (U+E012C)"
"U+E012D", "\xee\x80\x92\x44", "VARIATION SELECTOR-62 (U+E012D)"
"U+E012E", "\xee\x80\x92\x45", "VARIATION SELECTOR-63 (U+E012E)"
"U+E012F", "\xee\x80\x92\x46", "VARIATION SELECTOR-64 (U+E012F)"
"U+E0130", "\xee\x80\x93\x30", "VARIATION SELECTOR-65 (U+E0130)"
"U+E0131", "\xee\x80\x93\x31", "VARIATION SELECTOR-66 (U+E0131)"
"U+E0132", "\xee\x80\x93\x32", "VARIATION SELECTOR-67 (U+E0132)"
"U+E0133", "\xee\x80\x93\x33", "VARIATION SELECTOR-68 (U+E0133)"
"U+E0134", "\xee\x80\x93\x34", "VARIATION SELECTOR-69 (U+E0134)"
"U+E0135", "\xee\x80\x93\x35", "VARIATION SELECTOR-70 (U+E0135)"
"U+E0136", "\xee\x80\x93\x36", "VARIATION SELECTOR-71 (U+E0136)"
"U+E0137", "\xee\x80\x93\x37", "VARIATION SELECTOR-72 (U+E0137)"
"U+E0138", "\xee\x80\x93\x38", "VARIATION SELECTOR-73 (U+E0138)"
"U+E0139", "\xee\x80\x93\x39", "VARIATION SELECTOR-74 (U+E0139)"
"U+E013A", "\xee\x80\x93\x41", "VARIATION SELECTOR-75 (U+E013A)"
"U+E013B", "\xee\x80\x93\x42", "VARIATION SELECTOR-76 (U+E013B)"
"U+E013C", "\xee\x80\x93\x43", "VARIATION SELECTOR-77 (U+E013C)"
"U+E013D", "\xee\x80\x93\x44", "VARIATION SELECTOR-78 (U+E013D)"
"U+E013E", "\xee\x80\x93\x45", "VARIATION SELECTOR-79 (U+E013E)"
"U+E013F", "\xee\x80\x93\x46", "VARIATION SELECTOR-80 (U+E013F)"
"U+E0140", "\xee\x80\x94\x30", "VARIATION SELECTOR-81 (U+E0140)"
"U+E0141", "\xee\x80\x94\x31", "VARIATION SELECTOR-82 (U+E0141)"
"U+E0142", "\xee\x80\x94\x32", "VARIATION SELECTOR-83 (U+E0142)"
"U+E0143", "\xee\x80\x94\x33", "VARIATION SELECTOR-84 (U+E0143)"
"U+E0144", "\xee\x80\x94\x34", "VARIATION SELECTOR-85 (U+E0144)"
"U+E0145", "\xee\x80\x94\x35", "VARIATION SELECTOR-86 (U+E0145)"
"U+E0146", "\xee\x80\x94\x36", "VARIATION SELECTOR-87 (U+E0146)"
"U+E0147", "\xee\x80\x94\x37", "VARIATION SELECTOR-88 (U+E0147)"
"U+E0148", "\xee\x80\x94\x38", "VARIATION SELECTOR-89 (U+E0148)"
"U+E0149", "\xee\x80\x94\x39", "VARIATION SELECTOR-90 (U+E0149)"
"U+E014A", "\xee\x80\x94\x41", "VARIATION SELECTOR-91 (U+E014A)"
"U+E014B", "\xee\x80\x94\x42", "VARIATION SELECTOR-92 (U+E014B)"
"U+E014C", "\xee\x80\x94\x43", "VARIATION SELECTOR-93 (U+E014C)"
"U+E014D", "\xee\x80\x94\x44", "VARIATION SELECTOR-94 (U+E014D)"
"U+E014E", "\xee\x80\x94\x45", "VARIATION SELECTOR-95 (U+E014E)"
"U+E014F", "\xee\x80\x94\x46", "VARIATION SELECTOR-96 (U+E014F)"
"U+E0150", "\xee\x80\x95\x30", "VARIATION SELECTOR-97 (U+E0150)"
"U+E0151", "\xee\x80\x95\x31", "VARIATION SELECTOR-98 (U+E0151)"
"U+E0152", "\xee\x80\x95\x32", "VARIATION SELECTOR-99 (U+E0152)"
"U+E0153", "\xee\x80\x95\x33", "VARIATION SELECTOR-100 (U+E0153)"
"U+E0154", "\xee\x80\x95\x34", "VARIATION SELECTOR-101 (U+E0154)"
"U+E0155", "\xee\x80\x95\x35", "VARIATION SELECTOR-102 (U+E0155)"
"U+E0156", "\xee\x80\x95\x36", "VARIATION SELECTOR-103 (U+E0156)"
"U+E0157", "\xee\x80\x95\x37", "VARIATION SELECTOR-104 (U+E0157)"
"U+E0158", "\xee\x80\x95\x38", "VARIATION SELECTOR-105 (U+E0158)"
"U+E0159", "\xee\x80\x95\x39", "VARIATION SELECTOR-106 (U+E0159)"
"U+E015A", "\xee\x80\x95\x41", "VARIATION SELECTOR-107 (U+E015A)"
"U+E015B", "\xee\x80\x95\x42", "VARIATION SELECTOR-108 (U+E015B)"
"U+E015C", "\xee\x80\x95\x43", "VARIATION SELECTOR-109 (U+E015C)"
"U+E015D", "\xee\x80\x95\x44", "VARIATION SELECTOR-110 (U+E015D)"
"U+E015E", "\xee\x80\x95\x45", "VARIATION SELECTOR-111 (U+E015E)"
"U+E015F", "\xee\x80\x95\x46", "VARIATION SELECTOR-112 (U+E015F)"
"U+E0160", "\xee\x80\x96\x30", "VARIATION SELECTOR-113 (U+E0160)"
"U+E0161", "\xee\x80\x96\x31", "VARIATION SELECTOR-114 (U+E0161)"
"U+E0162", "\xee\x80\x96\x32", "VARIATION SELECTOR-115 (U+E0162)"
"U+E0163", "\xee\x80\x96\x33", "VARIATION SELECTOR-116 (U+E0163)"
"U+E0164", "\xee\x80\x96\x34", "VARIATION SELECTOR-117 (U+E0164)"
"U+E0165", "\xee\x80\x96\x35", "VARIATION SELECTOR-118 (U+E0165)"
"U+E0166", "\xee\x80\x96\x36", "VARIATION SELECTOR-119 (U+E0166)"
"U+E0167", "\xee\x80\x96\x37", "VARIATION SELECTOR-120 (U+E0167)"
"U+E0168", "\xee\x80\x96\x38", "VARIATION SELECTOR-121 (U+E0168)"
"U+E0169", "\xee\x80\x96\x39", "VARIATION SELECTOR-122 (U+E0169)"
"U+E016A", "\xee\x80\x96\x41", "VARIATION SELECTOR-123 (U+E016A)"
"U+E016B", "\xee\x80\x96\x42", "VARIATION SELECTOR-124 (U+E016B)"
"U+E016C", "\xee\x80\x96\x43", "VARIATION SELECTOR-125 (U+E016C)"
"U+E016D", "\xee\x80\x96\x44", "VARIATION SELECTOR-126 (U+E016D)"
"U+E016E", "\xee\x80\x96\x45", "VARIATION SELECTOR-127 (U+E016E)"
"U+E016F", "\xee\x80\x96\x46", "VARIATION SELECTOR-128 (U+E016F)"
"U+E0170", "\xee\x80\x97\x30", "VARIATION SELECTOR-129 (U+E0170)"
"U+E0171", "\xee\x80\x97\x31", "VARIATION SELECTOR-130 (U+E0171)"
"U+E0172", "\xee\x80\x97\x32", "VARIATION SELECTOR-131 (U+E0172)"
"U+E0173", "\xee\x80\x97\x33", "VARIATION SELECTOR-132 (U+E0173)"
"U+E0174", "\xee\x80\x97\x34", "VARIATION SELECTOR-133 (U+E0174)"
"U+E0175", "\xee\x80\x97\x35", "VARIATION SELECTOR-134 (U+E0175)"
"U+E0176", "\xee\x80\x97\x36", "VARIATION SELECTOR-135 (U+E0176)"
"U+E0177", "\xee\x80\x97\x37", "VARIATION SELECTOR-136 (U+E0177)"
"U+E0178", "\xee\x80\x97\x38", "VARIATION SELECTOR-137 (U+E0178)"
"U+E0179", "\xee\x80\x97\x39", "VARIATION SELECTOR-138 (U+E0179)"
"U+E017A", "\xee\x80\x97\x41", "VARIATION SELECTOR-139 (U+E017A)"
"U+E017B", "\xee\x80\x97\x42", "VARIATION SELECTOR-140 (U+E017B)"
"U+E017C", "\xee\x80\x97\x43", "VARIATION SELECTOR-141 (U+E017C)"
"U+E017D", "\xee\x80\x97\x44", "VARIATION SELECTOR-142 (U+E017D)"
"U+E017E", "\xee\x80\x97\x45", "VARIATION SELECTOR-143 (U+E017E)"
"U+E017F", "\xee\x80\x97\x46", "VARIATION SELECTOR-144 (U+E017F)"
"U+E0180", "\xee\x80\x98\x30", "VARIATION SELECTOR-145 (U+E0180)"
"U+E0181", "\xee\x80\x98\x31", "VARIATION SELECTOR-146 (U+E0181)"
"U+E0182", "\xee\x80\x98\x32", "VARIATION SELECTOR-147 (U+E0182)"
"U+E0183", "\xee\x80\x98\x33", "VARIATION SELECTOR-148 (U+E0183)"
"U+E0184", "\xee\x80\x98\x34", "VARIATION SELECTOR-149 (U+E0184)"
"U+E0185", "\xee\x80\x98\x35", "VARIATION SELECTOR-150 (U+E0185)"
"U+E0186", "\xee\x80\x98\x36", "VARIATION SELECTOR-151 (U+E0186)"
"U+E0187", "\xee\x80\x98\x37", "VARIATION SELECTOR-152 (U+E0187)"
"U+E0188", "\xee\x80\x98\x38", "VARIATION SELECTOR-153 (U+E0188)"
"U+E0189", "\xee\x80\x98\x39", "VARIATION SELECTOR-154 (U+E0189)"
"U+E018A", "\xee\x80\x98\x41", "VARIATION SELECTOR-155 (U+E018A)"
"U+E018B", "\xee\x80\x98\x42", "VARIATION SELECTOR-156 (U+E018B)"
"U+E018C", "\xee\x80\x98\x43", "VARIATION SELECTOR-157 (U+E018C)"
"U+E018D", "\xee\x80\x98\x44", "VARIATION SELECTOR-158 (U+E018D)"
"U+E018E", "\xee\x80\x98\x45", "VARIATION SELECTOR-159 (U+E018E)"
"U+E018F", "\xee\x80\x98\x46", "VARIATION SELECTOR-160 (U+E018F)"
"U+E0190", "\xee\x80\x99\x30", "VARIATION SELECTOR-161 (U+E0190)"
"U+E0191", "\xee\x80\x99\x31", "VARIATION SELECTOR-162 (U+E0191)"
"U+E0192", "\xee\x80\x99\x32", "VARIATION SELECTOR-163 (U+E0192)"
"U+E0193", "\xee\x80\x99\x33", "VARIATION SELECTOR-164 (U+E0193)"
"U+E0194", "\xee\x80\x99\x34", "VARIATION SELECTOR-165 (U+E0194)"
"U+E0195", "\xee\x80\x99\x35", "VARIATION SELECTOR-166 (U+E0195)"
"U+E0196", "\xee\x80\x99\x36", "VARIATION SELECTOR-167 (U+E0196)"
"U+E0197", "\xee\x80\x99\x37", "VARIATION SELECTOR-168 (U+E0197)"
"U+E0198", "\xee\x80\x99\x38", "VARIATION SELECTOR-169 (U+E0198)"
"U+E0199", "\xee\x80\x99\x39", "VARIATION SELECTOR-170 (U+E0199)"
"U+E019A", "\xee\x80\x99\x41", "VARIATION SELECTOR-171 (U+E019A)"
"U+E019B", "\xee\x80\x99\x42", "VARIATION SELECTOR-172 (U+E019B)"
"U+E019C", "\xee\x80\x99\x43", "VARIATION SELECTOR-173 (U+E019C)"
"U+E019D", "\xee\x80\x99\x44", "VARIATION SELECTOR-174 (U+E019D)"
"U+E019E", "\xee\x80\x99\x45", "VARIATION SELECTOR-175 (U+E019E)"
"U+E019F", "\xee\x80\x99\x46", "VARIATION SELECTOR-176 (U+E019F)"
"U+E01A0", "\xee\x80\x9a\x30", "VARIATION SELECTOR-177 (U+E01A0)"
"U+E01A1", "\xee\x80\x9a\x31", "VARIATION SELECTOR-178 (U+E01A1)"
"U+E01A2", "\xee\x80\x9a\x32", "VARIATION SELECTOR-179 (U+E01A2)"
"U+E01A3", "\xee\x80\x9a\x33", "VARIATION SELECTOR-180 (U+E01A3)"
"U+E01A4", "\xee\x80\x9a\x34", "VARIATION SELECTOR-181 (U+E01A4)"
"U+E01A5", "\xee\x80\x9a\x35", "VARIATION SELECTOR-182 (U+E01A5)"
"U+E01A6", "\xee\x80\x9a\x36", "VARIATION SELECTOR-183 (U+E01A6)"
"U+E01A7", "\xee\x80\x9a\x37", "VARIATION SELECTOR-184 (U+E01A7)"
"U+E01A8", "\xee\x80\x9a\x38", "VARIATION SELECTOR-185 (U+E01A8)"
"U+E01A9", "\xee\x80\x9a\x39", "VARIATION SELECTOR-186 (U+E01A9)"
"U+E01AA", "\xee\x80\x9a\x41", "VARIATION SELECTOR-187 (U+E01AA)"
"U+E01AB", "\xee\x80\x9a\x42", "VARIATION SELECTOR-188 (U+E01AB)"
"U+E01AC", "\xee\x80\x9a\x43", "VARIATION SELECTOR-189 (U+E01AC)"
"U+E01AD", "\xee\x80\x9a\x44", "VARIATION SELECTOR-190 (U+E01AD)"
"U+E01AE", "\xee\x80\x9a\x45", "VARIATION SELECTOR-191 (U+E01AE)"
"U+E01AF", "\xee\x80\x9a\x46", "VARIATION SELECTOR-192 (U+E01AF)"
"U+E01B0", "\xee\x80\x9b\x30", "VARIATION SELECTOR-193 (U+E01B0)"
"U+E01B1", "\xee\x80\x9b\x31", "VARIATION SELECTOR-194 (U+E01B1)"
"U+E01B2", "\xee\x80\x9b\x32", "VARIATION SELECTOR-195 (U+E01B2)"
"U+E01B3", "\xee\x80\x9b\x33", "VARIATION SELECTOR-196 (U+E01B3)"
"U+E01B4", "\xee\x80\x9b\x34", "VARIATION SELECTOR-197 (U+E01B4)"
"U+E01B5", "\xee\x80\x9b\x35", "VARIATION SELECTOR-198 (U+E01B5)"
"U+E01B6", "\xee\x80\x9b\x36", "VARIATION SELECTOR-199 (U+E01B6)"
"U+E01B7", "\xee\x80\x9b\x37", "VARIATION SELECTOR-200 (U+E01B7)"
"U+E01B8", "\xee\x80\x9b\x38", "VARIATION SELECTOR-201 (U+E01B8)"
"U+E01B9", "\xee\x80\x9b\x39", "VARIATION SELECTOR-202 (U+E01B9)"
"U+E01BA", "\xee\x80\x9b\x41", "VARIATION SELECTOR-203 (U+E01BA)"
"U+E01BB", "\xee\x80\x9b\x42", "VARIATION SELECTOR-204 (U+E01BB)"
"U+E01BC", "\xee\x80\x9b\x43", "VARIATION SELECTOR-205 (U+E01BC)"
"U+E01BD", "\xee\x80\x9b\x44", "VARIATION SELECTOR-206 (U+E01BD)"
"U+E01BE", "\xee\x80\x9b\x45", "VARIATION SELECTOR-207 (U+E01BE)"
"U+E01BF", "\xee\x80\x9b\x46", "VARIATION SELECTOR-208 (U+E01BF)"
"U+E01C0", "\xee\x80\x9c\x30", "VARIATION SELECTOR-209 (U+E01C0)"
"U+E01C1", "\xee\x80\x9c\x31", "VARIATION SELECTOR-210 (U+E01C1)"
"U+E01C2", "\xee\x80\x9c\x32", "VARIATION SELECTOR-211 (U+E01C2)"
