# Unicode Characters in the Alphabetic Presentation Forms Block
# Source: http://www.fileformat.info/info/unicode/block/alphabetic_presentation_forms/list.htm
"U+FB00", "\xef\xac\x80", "LATIN SMALL LIGATURE FF (U+FB00)"
"U+FB01", "\xef\xac\x81", "LATIN SMALL LIGATURE FI (U+FB01)"
"U+FB02", "\xef\xac\x82", "LATIN SMALL LIGATURE FL (U+FB02)"
"U+FB03", "\xef\xac\x83", "LATIN SMALL LIGATURE FFI (U+FB03)"
"U+FB04", "\xef\xac\x84", "LATIN SMALL LIGATURE FFL (U+FB04)"
"U+FB05", "\xef\xac\x85", "LATIN SMALL LIGATURE LONG S T (U+FB05)"
"U+FB06", "\xef\xac\x86", "LATIN SMALL LIGATURE ST (U+FB06)"
"U+FB13", "\xef\xac\x93", "ARMENIAN SMALL LIGATURE MEN NOW (U+FB13)"
"U+FB14", "\xef\xac\x94", "ARMENIAN SMALL LIGATURE MEN ECH (U+FB14)"
"U+FB15", "\xef\xac\x95", "ARMENIAN SMALL LIGATURE MEN INI (U+FB15)"
"U+FB16", "\xef\xac\x96", "ARMENIAN SMALL LIGATURE VEW NOW (U+FB16)"
"U+FB17", "\xef\xac\x97", "ARMENIAN SMALL LIGATURE MEN XEH (U+FB17)"
"U+FB1D", "\xef\xac\x9d", "HEBREW LETTER YOD WITH HIRIQ (U+FB1D)"
"U+FB1E", "\xef\xac\x9e", "HEBREW POINT JUDEO-SPANISH VARIKA (U+FB1E)"
"U+FB1F", "\xef\xac\x9f", "HEBREW LIGATURE YIDDISH YOD YOD PATAH (U+FB1F)"
"U+FB20", "\xef\xac\xa0", "HEBREW LETTER ALTERNATIVE AYIN (U+FB20)"
"U+FB21", "\xef\xac\xa1", "HEBREW LETTER WIDE ALEF (U+FB21)"
"U+FB22", "\xef\xac\xa2", "HEBREW LETTER WIDE DALET (U+FB22)"
"U+FB23", "\xef\xac\xa3", "HEBREW LETTER WIDE HE (U+FB23)"
"U+FB24", "\xef\xac\xa4", "HEBREW LETTER WIDE KAF (U+FB24)"
"U+FB25", "\xef\xac\xa5", "HEBREW LETTER WIDE LAMED (U+FB25)"
"U+FB26", "\xef\xac\xa6", "HEBREW LETTER WIDE FINAL MEM (U+FB26)"
"U+FB27", "\xef\xac\xa7", "HEBREW LETTER WIDE RESH (U+FB27)"
"U+FB28", "\xef\xac\xa8", "HEBREW LETTER WIDE TAV (U+FB28)"
"U+FB29", "\xef\xac\xa9", "HEBREW LETTER ALTERNATIVE PLUS SIGN (U+FB29)"
"U+FB2A", "\xef\xac\xaa", "HEBREW LETTER SHIN WITH SHIN DOT (U+FB2A)"
"U+FB2B", "\xef\xac\xab", "HEBREW LETTER SHIN WITH SIN DOT (U+FB2B)"
"U+FB2C", "\xef\xac\xac", "HEBREW LETTER SHIN WITH DAGESH AND SHIN DOT (U+FB2C)"
"U+FB2D", "\xef\xac\xad", "HEBREW LETTER SHIN WITH DAGESH AND SIN DOT (U+FB2D)"
"U+FB2E", "\xef\xac\xae", "HEBREW LETTER ALEF WITH PATAH (U+FB2E)"
"U+FB2F", "\xef\xac\xaf", "HEBREW LETTER ALEF WITH QAMATS (U+FB2F)"
"U+FB30", "\xef\xac\xb0", "HEBREW LETTER ALEF WITH MAPIQ (U+FB30)"
"U+FB31", "\xef\xac\xb1", "HEBREW LETTER BET WITH DAGESH (U+FB31)"
"U+FB32", "\xef\xac\xb2", "HEBREW LETTER GIMEL WITH DAGESH (U+FB32)"
"U+FB33", "\xef\xac\xb3", "HEBREW LETTER DALET WITH DAGESH (U+FB33)"
"U+FB34", "\xef\xac\xb4", "HEBREW LETTER HE WITH MAPIQ (U+FB34)"
"U+FB35", "\xef\xac\xb5", "HEBREW LETTER VAV WITH DAGESH (U+FB35)"
"U+FB36", "\xef\xac\xb6", "HEBREW LETTER ZAYIN WITH DAGESH (U+FB36)"
