# Unicode Characters in the Arabic Presentation Forms-A Block
# Source: http://www.fileformat.info/info/unicode/block/arabic_presentation_forms_a/list.htm
"U+FB50", "\xef\xad\x90", "ARABIC LETTER ALEF WASLA ISOLATED FORM (U+FB50)"
"U+FB51", "\xef\xad\x91", "ARABIC LETTER ALEF WASLA FINAL FORM (U+FB51)"
"U+FB52", "\xef\xad\x92", "ARABIC LETTER BEEH ISOLATED FORM (U+FB52)"
"U+FB53", "\xef\xad\x93", "ARABIC LETTER BEEH FINAL FORM (U+FB53)"
"U+FB54", "\xef\xad\x94", "ARABIC LETTER BEEH INITIAL FORM (U+FB54)"
"U+FB55", "\xef\xad\x95", "ARABIC LETTER BEEH MEDIAL FORM (U+FB55)"
"U+FB56", "\xef\xad\x96", "ARABIC LETTER PEH ISOLATED FORM (U+FB56)"
"U+FB57", "\xef\xad\x97", "ARABIC LETTER PEH FINAL FORM (U+FB57)"
"U+FB58", "\xef\xad\x98", "ARABIC LETTER PEH INITIAL FORM (U+FB58)"
"U+FB59", "\xef\xad\x99", "ARABIC LETTER PEH MEDIAL FORM (U+FB59)"
"U+FB5A", "\xef\xad\x9a", "ARABIC LETTER BEHEH ISOLATED FORM (U+FB5A)"
"U+FB5B", "\xef\xad\x9b", "ARABIC LETTER BEHEH FINAL FORM (U+FB5B)"
"U+FB5C", "\xef\xad\x9c", "ARABIC LETTER BEHEH INITIAL FORM (U+FB5C)"
"U+FB5D", "\xef\xad\x9d", "ARABIC LETTER BEHEH MEDIAL FORM (U+FB5D)"
"U+FB5E", "\xef\xad\x9e", "ARABIC LETTER TTEHEH ISOLATED FORM (U+FB5E)"
"U+FB5F", "\xef\xad\x9f", "ARABIC LETTER TTEHEH FINAL FORM (U+FB5F)"
"U+FB60", "\xef\xad\xa0", "ARABIC LETTER TTEHEH INITIAL FORM (U+FB60)"
"U+FB61", "\xef\xad\xa1", "ARABIC LETTER TTEHEH MEDIAL FORM (U+FB61)"
"U+FB62", "\xef\xad\xa2", "ARABIC LETTER TEHEH ISOLATED FORM (U+FB62)"
"U+FB63", "\xef\xad\xa3", "ARABIC LETTER TEHEH FINAL FORM (U+FB63)"
"U+FB64", "\xef\xad\xa4", "ARABIC LETTER TEHEH INITIAL FORM (U+FB64)"
"U+FB65", "\xef\xad\xa5", "ARABIC LETTER TEHEH MEDIAL FORM (U+FB65)"
"U+FB66", "\xef\xad\xa6", "ARABIC LETTER TTEH ISOLATED FORM (U+FB66)"
"U+FB67", "\xef\xad\xa7", "ARABIC LETTER TTEH FINAL FORM (U+FB67)"
"U+FB68", "\xef\xad\xa8", "ARABIC LETTER TTEH INITIAL FORM (U+FB68)"
"U+FB69", "\xef\xad\xa9", "ARABIC LETTER TTEH MEDIAL FORM (U+FB69)"
"U+FB6A", "\xef\xad\xaa", "ARABIC LETTER VEH ISOLATED FORM (U+FB6A)"
"U+FB6B", "\xef\xad\xab", "ARABIC LETTER VEH FINAL FORM (U+FB6B)"
"U+FB6C", "\xef\xad\xac", "ARABIC LETTER VEH INITIAL FORM (U+FB6C)"
"U+FB6D", "\xef\xad\xad", "ARABIC LETTER VEH MEDIAL FORM (U+FB6D)"
"U+FB6E", "\xef\xad\xae", "ARABIC LETTER PEHEH ISOLATED FORM (U+FB6E)"
"U+FB6F", "\xef\xad\xaf", "ARABIC LETTER PEHEH FINAL FORM (U+FB6F)"
"U+FB70", "\xef\xad\xb0", "ARABIC LETTER PEHEH INITIAL FORM (U+FB70)"
