# Unicode Characters in the Vertical Forms Block
# Source: http://www.fileformat.info/info/unicode/block/vertical_forms/list.htm
"U+FE10", "\xef\xb8\x90", "PRESENTATION FORM FOR VERTICAL COMMA (U+FE10)"
"U+FE11", "\xef\xb8\x91", "PRESENTATION FORM FOR VERTICAL IDEOGRAPHIC COMMA (U+FE11)"
"U+FE12", "\xef\xb8\x92", "PRESENTATION FORM FOR VERTICAL IDEOGRAPHIC FULL STOP (U+FE12)"
"U+FE13", "\xef\xb8\x93", "PRESENTATION FORM FOR VERTICAL COLON (U+FE13)"
"U+FE14", "\xef\xb8\x94", "PRESENTATION FORM FOR VERTICAL SEMICOLON (U+FE14)"
"U+FE15", "\xef\xb8\x95", "PRESENTATION FORM FOR VERTICAL EXCLAMATION MARK (U+FE15)"
"U+FE16", "\xef\xb8\x96", "PRESENTATION FORM FOR VERTICAL QUESTION MARK (U+FE16)"
"U+FE17", "\xef\xb8\x97", "PRESENTATION FORM FOR VERTICAL LEFT WHITE LENTICULAR BRACKET (U+FE17)"
"U+FE18", "\xef\xb8\x98", "PRESENTATION FORM FOR VERTICAL RIGHT WHITE LENTICULAR BRAKCET (U+FE18)"
"U+FE19", "\xef\xb8\x99", "PRESENTATION FORM FOR VERTICAL HORIZONTAL ELLIPSIS (U+FE19)"
